property_id,transaction_id,address,zipcode,ypred,list,url,lat,long,date_listed,transaction_date
930303,20703245,"24813 W Durango St, Buckeye, AZ 85326 ",85326,0.9291357398033142,52000,http://www.zillow.com/homedetails/24813-W-Durango-St-Buckeye-AZ-85326/8314520_zpid,33.4276,-112.585,2010-07-15,2010-07-15
659521,22684348,"2309 S Ananea, Mesa, AZ 85209 ",85209,0.8066650032997131,225000,https://www.zillow.com/homedetails/2309-S-Ananea-Mesa-AZ-85209/8273238_zpid/,33.3732,-111.67200000000001,2017-09-15,2017-09-15
1190875,22681257,"564 W Orchard Way, Gilbert, AZ 85233 ",85233,0.8036115169525146,222900,https://www.zillow.com/homedetails/564-W-Orchard-Way-Gilbert-AZ-85233/8174530_zpid/,33.3525,-111.802,2017-09-13,2017-09-13
1196579,22726918,"827 W Leah Ln, Gilbert, AZ 85233 ",85233,0.8030316829681396,249900,https://www.zillow.com/homedetails/827-W-Leah-Ln-Gilbert-AZ-85233/8173210_zpid/,33.3719,-111.809,2017-09-27,2017-09-27
565077,22610214,"10030 E Isleta Ave, Mesa, AZ 85209 ",85209,0.8005744218826294,210000,https://www.zillow.com/homedetails/10030-E-Isleta-Ave-Mesa-AZ-85209/71607613_zpid/,33.3855,-111.615,2017-09-01,2017-09-01
63209,22579733,"40701 N Courage Trl, Anthem, AZ 85086 ",85086,0.7952050566673279,239990,https://www.zillow.com/homedetails/40701-N-Courage-Trl-Anthem-AZ-85086/53611232_zpid/,33.854,-112.137,2017-08-25,2017-08-25
679392,22695008,"8503 E Keats Ave, Mesa, AZ 85209 ",85209,0.7937254309654236,245000,https://www.zillow.com/homedetails/8503-E-Keats-Ave-Mesa-AZ-85209/60050816_zpid/,33.3774,-111.65100000000001,2017-09-20,2017-09-20
1094347,22710242,"805 W Nopal Pl, Chandler, AZ 85225 ",85225,0.78505939245224,225000,https://www.zillow.com/homedetails/805-W-Nopal-Pl-Chandler-AZ-85225/8177761_zpid/,33.3419,-111.85600000000001,2017-09-21,2017-09-21
672525,22677334,"7552 E Medina Ave, Mesa, AZ 85209 ",85209,0.7838845252990723,248500,https://www.zillow.com/homedetails/7552-E-Medina-Ave-Mesa-AZ-85209/8273379_zpid/,33.3717,-111.67200000000001,2017-09-13,2017-09-13
89596,22735932,"20896 E Desert Hills Blvd, Queen Creek, AZ 85142 ",85142,0.779116153717041,229900,https://www.zillow.com/homedetails/20896-E-Desert-Hills-Blvd-Queen-Creek-AZ-85142/59260585_zpid/,33.2436,-111.631,2017-09-21,2017-09-21
196517,22710785,"3714 W Burgess Ln, Phoenix, AZ 85041 ",85041,0.7785504460334778,229000,https://www.zillow.com/homedetails/3714-W-Burgess-Ln-Phoenix-AZ-85041/67774286_zpid/,33.3891,-112.139,2017-09-21,2017-09-21
191577,22688185,"1926 W Burgess Ln, Phoenix, AZ 85041 ",85041,0.7767544388771057,236500,https://www.zillow.com/homedetails/1926-W-Burgess-Ln-Phoenix-AZ-85041/67781758_zpid/,33.3897,-112.101,2017-09-13,2017-09-13
658688,22705407,"2223 S Gordon, Mesa, AZ 85209 ",85209,0.7726391553878784,205000,https://www.zillow.com/homedetails/2223-S-Gordon-Mesa-AZ-85209/55279970_zpid/,33.3751,-111.645,2017-09-22,2017-09-22
771912,23796908,"954 N Sinova, Mesa, AZ 85205 ",85205,0.7718262076377869,245000,https://www.zillow.com/homedetails/954-N-Sinova-Mesa-AZ-85205/7673032_zpid/,33.4335,-111.71600000000001,2017-09-28,2017-09-28
195437,22710779,"3202 W Saint Catherine Ave, Phoenix, AZ 85041 ",85041,0.770928144454956,235000,https://www.zillow.com/homedetails/3202-W-Saint-Catherine-Ave-Phoenix-AZ-85041/67764960_zpid/,33.388000000000005,-112.12700000000001,2017-09-21,2017-09-21
928938,22675342,"2404 S 238th Ln, Buckeye, AZ 85326 ",85326,0.7703413367271423,219900,https://www.zillow.com/homedetails/2404-S-238th-Ln-Buckeye-AZ-85326/92354814_zpid/,33.4247,-112.564,2017-09-14,2017-09-14
90843,22656903,"21154 E Via Del Olivos, Queen Creek, AZ 85142 ",85142,0.7699194550514221,233500,https://www.zillow.com/homedetails/21154-E-Via-Del-Olivos-Queen-Creek-AZ-85142/95115047_zpid/,33.2333,-111.62700000000001,2017-09-11,2017-09-11
928773,22692800,"24013 W Twilight Trl, Buckeye, AZ 85326 ",85326,0.7688525915145874,210000,https://www.zillow.com/homedetails/24013-W-Twilight-Trl-Buckeye-AZ-85326/61631333_zpid/,33.4405,-112.568,2017-09-19,2017-09-19
91342,22656906,"21251 E Avenida Del Valle, Queen Creek, AZ 85142 ",85142,0.7687803506851196,235000,https://www.zillow.com/homedetails/21251-E-Avenida-Del-Valle-Queen-Creek-AZ-85142/60050853_zpid/,33.2442,-111.62299999999999,2017-09-10,2017-09-10
63228,22689830,"40707 N Courage Trl, Anthem, AZ 85086 ",85086,0.7670616507530212,249900,https://www.zillow.com/homedetails/40707-N-Courage-Trl-Anthem-AZ-85086/55264648_zpid/,33.8541,-112.137,2017-09-18,2017-09-18
7447911,22576289,"8204 S 6th Ln, Phoenix, AZ 85041 ",85041,0.7664190530776978,236900,https://www.zillow.com/homedetails/8204-S-6th-Ln-Phoenix-AZ-85041/95127702_zpid/,33.372,-112.083,2017-08-23,2017-08-23
7447915,22576292,"8216 S 6th Ln, Phoenix, AZ 85041 ",85041,0.7664190530776978,234900,https://www.zillow.com/homedetails/8216-S-6th-Ln-Phoenix-AZ-85041/95089441_zpid/,33.3716,-112.083,2017-08-23,2017-08-23
7447909,22576290,"8225 S 5th Ln, Phoenix, AZ 85041 ",85041,0.7664190530776978,234900,https://www.zillow.com/homedetails/8225-S-5th-Ln-Phoenix-AZ-85041/95083688_zpid/,33.3714,-112.08200000000001,2017-08-23,2017-08-23
770442,22593845,"6556 E Ivy St, Mesa, AZ 85205 ",85205,0.765850841999054,240000,https://www.zillow.com/homedetails/6556-E-Ivy-St-Mesa-AZ-85205/7676957_zpid/,33.4459,-111.68799999999999,2017-08-28,2017-08-28
84629,22737912,"19083 E Pelican Dr, Queen Creek, AZ 85142 ",85142,0.7655956149101257,242900,https://www.zillow.com/homedetails/19083-E-Pelican-Dr-Queen-Creek-AZ-85142/82242640_zpid/,33.2776,-111.67200000000001,2017-09-29,2017-09-29
937071,22621194,"25858 W Pleasant Ln, Buckeye, AZ 85326 ",85326,0.765199601650238,210000,https://www.zillow.com/homedetails/25858-W-Pleasant-Ln-Buckeye-AZ-85326/71610647_zpid/,33.3914,-112.60700000000001,2017-09-03,2017-09-03
1264136,22731232,"2870 E Megan St, Gilbert, AZ 85295 ",85295,0.7650229930877686,245000,https://www.zillow.com/homedetails/2870-E-Megan-St-Gilbert-AZ-85295/71618739_zpid/,33.3209,-111.728,2017-09-29,2017-09-29
934139,22626862,"25610 W Red Sky Pl, Buckeye, AZ 85326 ",85326,0.763817548751831,218000,https://www.zillow.com/homedetails/25610-W-Red-Sky-Pl-Buckeye-AZ-85326/60997726_zpid/,33.3819,-112.601,2017-09-05,2017-09-05
910573,22706964,"136 S 230th Dr, Buckeye, AZ 85326 ",85326,0.76325523853302,239900,https://www.zillow.com/homedetails/136-S-230th-Dr-Buckeye-AZ-85326/67801665_zpid/,33.446,-112.54700000000001,2017-09-21,2017-09-21
1239329,22731291,"937 N Starling Dr, Gilbert, AZ 85234 ",85234,0.7626479864120483,248000,https://www.zillow.com/homedetails/937-N-Starling-Dr-Gilbert-AZ-85234/8230703_zpid/,33.3681,-111.693,2017-09-30,2017-09-30
192659,23798591,"2235 W Burgess Ln, Phoenix, AZ 85041 ",85041,0.7616864442825317,229900,https://www.zillow.com/homedetails/2235-W-Burgess-Ln-Phoenix-AZ-85041/59269643_zpid/,33.3892,-112.10700000000001,2017-09-25,2017-09-25
9016019,22707065,"83 N 225th Dr, Buckeye, AZ 85326 ",85326,0.7615265846252441,185000,https://www.zillow.com/homedetails/83-N-225th-Dr-Buckeye-AZ-85326/71492945_zpid/,33.4482,-112.536,2017-09-20,2017-09-20
61298,23796856,"34932 N 31st Ave, Phoenix, AZ 85086 ",85086,0.7607003450393677,248880,https://www.zillow.com/homedetails/34932-N-31st-Ave-Phoenix-AZ-85086/60981123_zpid/,33.8022,-112.126,2017-10-05,2017-10-05
1234842,22699575,"4616 E Laurel Ct, Gilbert, AZ 85234 ",85234,0.7606734037399292,238888,https://www.zillow.com/homedetails/4616-E-Laurel-Ct-Gilbert-AZ-85234/67786616_zpid/,33.3609,-111.69200000000001,2017-09-07,2017-09-07
656864,22564338,"2031 S Gordon, Mesa, AZ 85209 ",85209,0.7600013017654419,205000,https://www.zillow.com/homedetails/2031-S-Gordon-Mesa-AZ-85209/52478809_zpid/,33.3783,-111.645,2017-08-22,2017-08-22
193092,23512160,"2336 W Fawn Dr, Phoenix, AZ 85041 ",85041,0.7593697905540466,246900,https://www.zillow.com/homedetails/2336-W-Fawn-Dr-Phoenix-AZ-85041/81997525_zpid/,33.3757,-112.111,2017-09-28,2017-09-28
62818,22680698,"40045 N Cross Timbers Ct, Anthem, AZ 85086 ",85086,0.7587478756904602,215000,https://www.zillow.com/homedetails/40045-N-Cross-Timbers-Ct-Anthem-AZ-85086/60543016_zpid/,33.8485,-112.118,2017-09-13,2017-09-13
308996,22734530,"41252 N Ericson Ln, Anthem, AZ 85086 ",85086,0.7584972381591797,249900,https://www.zillow.com/homedetails/41252-N-Ericson-Ln-Anthem-AZ-85086/60980245_zpid/,33.8591,-112.14,2017-10-03,2017-10-03
308702,22713034,"40812 N Citrus Canyon Trl, Anthem, AZ 85086 ",85086,0.757824718952179,238000,https://www.zillow.com/homedetails/40812-N-Citrus-Canyon-Trl-Anthem-AZ-85086/61209672_zpid/,33.8549,-112.113,2017-09-23,2017-09-23
1235038,22648326,"4646 E Redfield Rd, Gilbert, AZ 85234 ",85234,0.7570146322250366,240000,https://www.zillow.com/homedetails/4646-E-Redfield-Rd-Gilbert-AZ-85234/67794145_zpid/,33.3604,-111.691,2017-09-08,2017-09-08
1211290,22739736,"1149 E Harvard Ave, Gilbert, AZ 85234 ",85234,0.7559981346130371,235000,https://www.zillow.com/homedetails/1149-E-Harvard-Ave-Gilbert-AZ-85234/8247986_zpid/,33.367,-111.766,2017-10-04,2017-10-04
917461,22719030,"22026 W Loma Linda Blvd, Buckeye, AZ 85326 ",85326,0.7555981874465942,235000,https://www.zillow.com/homedetails/22026-W-Loma-Linda-Blvd-Buckeye-AZ-85326/62739176_zpid/,33.4434,-112.524,2017-09-25,2017-09-25
62801,23752298,"40028 N Cross Timbers Ct, Anthem, AZ 85086 ",85086,0.7544108629226685,239000,https://www.zillow.com/homedetails/40028-N-Cross-Timbers-Ct-Anthem-AZ-85086/60255187_zpid/,33.8484,-112.118,2017-10-14,2017-10-14
1223698,22745574,"3009 E Millbrae Ln, Gilbert, AZ 85234 ",85234,0.7541356682777405,240000,https://www.zillow.com/homedetails/3009-E-Millbrae-Ln-Gilbert-AZ-85234/8232721_zpid/,33.375,-111.726,2017-10-08,2017-10-08
1230889,22732877,"4043 E Princeton Ave, Gilbert, AZ 85234 ",85234,0.7536623477935791,249000,https://www.zillow.com/homedetails/4043-E-Princeton-Ave-Gilbert-AZ-85234/8272541_zpid/,33.3655,-111.70299999999999,2017-10-01,2017-10-01
429812,23796734,"10750 W Coolidge St, Phoenix, AZ 85037 ",85037,0.7529783248901367,215000,https://www.zillow.com/homedetails/10750-W-Coolidge-St-Phoenix-AZ-85037/81982882_zpid/,33.5037,-112.292,2017-09-18,2017-09-18
685218,23796909,"9730 E Knowles Ave, Mesa, AZ 85209 ",85209,0.7526162266731262,225000,https://www.zillow.com/homedetails/9730-E-Knowles-Ave-Mesa-AZ-85209/52355197_zpid/,33.3723,-111.62899999999999,2017-10-06,2017-10-06
90845,22738117,"21155 E Aspen Valley Dr, Queen Creek, AZ 85142 ",85142,0.7516179084777832,235000,https://www.zillow.com/homedetails/21155-E-Aspen-Valley-Dr-Queen-Creek-AZ-85142/59260845_zpid/,33.2426,-111.625,2017-10-03,2017-10-03
1273751,22693412,"4533 E Harrison St, Gilbert, AZ 85295 ",85295,0.7515064477920532,225000,https://www.zillow.com/homedetails/4533-E-Harrison-St-Gilbert-AZ-85295/60987720_zpid/,33.3169,-111.693,2017-09-19,2017-09-19
90743,22738107,"21140 E Cherrywood Dr, Queen Creek, AZ 85142 ",85142,0.7512888312339783,235000,https://www.zillow.com/homedetails/21140-E-Cherrywood-Dr-Queen-Creek-AZ-85142/95088035_zpid/,33.2339,-111.62700000000001,2017-10-03,2017-10-03
429776,22703731,"10740 W Taft St, Phoenix, AZ 85037 ",85037,0.7504938244819641,209000,https://www.zillow.com/homedetails/10740-W-Taft-St-Phoenix-AZ-85037/81977416_zpid/,33.5043,-112.292,2017-09-20,2017-09-20
306556,22699181,"3878 W Ashton Dr, Anthem, AZ 85086 ",85086,0.7499857544898987,239000,https://www.zillow.com/homedetails/3878-W-Ashton-Dr-Anthem-AZ-85086/67802475_zpid/,33.8724,-112.14399999999999,2017-09-20,2017-09-20
196550,22714145,"3717 W Nancy Ln, Phoenix, AZ 85041 ",85041,0.7498278617858887,209000,https://www.zillow.com/homedetails/3717-W-Nancy-Ln-Phoenix-AZ-85041/67774261_zpid/,33.3894,-112.139,2017-09-25,2017-09-25
196994,22694497,"3905 W Park St, Phoenix, AZ 85041 ",85041,0.7490687370300293,197000,https://www.zillow.com/homedetails/3905-W-Park-St-Phoenix-AZ-85041/55258381_zpid/,33.3804,-112.14399999999999,2017-09-19,2017-09-19
