property_id,transaction_id,address,zipcode,ypred,list,url,lat,long
1190220,22381563,"525 W Princeton Ave, Gilbert, AZ 85233 ",85233,0.5194783806800842,265000,https://www.zillow.com/homedetails/525-W-Princeton-Ave-Gilbert-AZ-85233/8281514_zpid/,33.3648,-111.801
8995211,22554092,"14577 S 182nd Ln, Goodyear, AZ 85338 ",85338,0.5194768309593201,350000,https://www.zillow.com/homedetails/14577-S-182nd-Ln-Goodyear-AZ-85338/95182780_zpid/,33.3135,-112.443
8966831,22571053,"12023 S 185th Dr, Goodyear, AZ 85338 ",85338,0.5194768309593201,344000,https://www.zillow.com/homedetails/12023-S-185th-Dr-Goodyear-AZ-85338/125145409_zpid/,33.3371,-112.45
210463,22486411,"1110 E Cochise Dr, Phoenix, AZ 85020 ",85020,0.5194733738899231,181000,https://www.zillow.com/homedetails/1110-E-Cochise-Dr-Phoenix-AZ-85020/7787860_zpid/,33.5802,-112.05799999999999
727817,22450350,"24 N Ashland, Mesa, AZ 85203 ",85203,0.519472599029541,249400,https://www.zillow.com/homedetails/24-N-Ashland-Mesa-AZ-85203/92353227_zpid/,33.4158,-111.816
922717,22558931,"22942 W Cantilever St, Buckeye, AZ 85326 ",85326,0.5194666981697083,182900,https://www.zillow.com/homedetails/22942-W-Cantilever-St-Buckeye-AZ-85326/67799720_zpid/,33.4477,-112.544
922723,22558932,"22943 W Devin Dr, Buckeye, AZ 85326 ",85326,0.5194666981697083,182500,https://www.zillow.com/homedetails/22943-W-Devin-Dr-Buckeye-AZ-85326/81975227_zpid/,33.4401,-112.544
444371,22583639,"4551 N 109th Ave, Phoenix, AZ 85037 ",85037,0.5194666981697083,179999,https://www.zillow.com/homedetails/4551-N-109th-Ave-Phoenix-AZ-85037/81992956_zpid/,33.5026,-112.294
1324445,22542383,"6836 S Birdie Way, Gilbert, AZ 85298 ",85298,0.5194253325462341,396990,https://www.zillow.com/homedetails/6836-S-Birdie-Way-Gilbert-AZ-85298/60990933_zpid/,33.2259,-111.697
8976755,22426111,"542 N 99th St, Mesa, AZ 85207 ",85207,0.5194205641746521,119750,https://www.zillow.com/homedetails/542-N-99th-St-Mesa-AZ-85207/8085976_zpid/,33.4255,-111.618
969451,22374568,"5261 W Jupiter Way S, Chandler, AZ 85226 ",85226,0.5194039940834045,215900,https://www.zillow.com/homedetails/5261-W-Jupiter-Way-S-Chandler-AZ-85226/8166336_zpid/,,
8988972,22501782,"9950 E Diamond Ave, Mesa, AZ 85208 ",85208,0.5194018483161926,189900,https://www.zillow.com/homedetails/9950-E-Diamond-Ave-Mesa-AZ-85208/8091210_zpid/,33.4022,-111.616
8991917,22523510,"10606 E Bramble Ave, Mesa, AZ 85208 ",85208,0.5194018483161926,195000,https://www.zillow.com/homedetails/10606-E-Bramble-Ave-Mesa-AZ-85208/8087269_zpid/,33.4101,-111.602
8977514,22484487,"10253 E Crescent Ave, Mesa, AZ 85208 ",85208,0.5194018483161926,200000,https://www.zillow.com/homedetails/10253-E-Crescent-Ave-Mesa-AZ-85208/52429396_zpid/,33.4063,-111.609
8976750,22484499,"10637 E Bramble Ave, Mesa, AZ 85208 ",85208,0.5194018483161926,214900,https://www.zillow.com/homedetails/10637-E-Bramble-Ave-Mesa-AZ-85208/8087282_zpid/,33.4097,-111.601
8980325,22431934,"308 S Valle Verde, Mesa, AZ 85208 ",85208,0.5194018483161926,209900,https://www.zillow.com/homedetails/308-S-Valle-Verde-Mesa-AZ-85208/8087058_zpid/,33.4096,-111.60600000000001
1885318,22593849,"9964 E Dolphin Cir, Mesa, AZ 85208 ",85208,0.5194018483161926,197500,https://www.zillow.com/homedetails/9964-E-Dolphin-Cir-Mesa-AZ-85208/8091194_zpid/,33.4033,-111.616
8989834,22593803,"10930 E Wier Ave, Mesa, AZ 85208 ",85208,0.5194018483161926,198500,https://www.zillow.com/homedetails/10930-E-Wier-Ave-Mesa-AZ-85208/52429435_zpid/,33.4042,-111.595
8958720,22583494,"9952 E Dolphin Cir, Mesa, AZ 85208 ",85208,0.5194018483161926,199000,https://www.zillow.com/homedetails/9952-E-Dolphin-Cir-Mesa-AZ-85208/8091192_zpid/,33.403,-111.616
8937639,22407950,"1252 E Cindy St, Chandler, AZ 85225 ",85225,0.5193772912025452,305000,https://www.zillow.com/homedetails/1252-E-Cindy-St-Chandler-AZ-85225/8222797_zpid/,,
1707964,22437121,"21748 N Limousine Dr, Sun City West, AZ 85375 ",85375,0.5193730592727661,174000,https://www.zillow.com/homedetails/21748-N-Limousine-Dr-Sun-City-West-AZ-85375/8119871_zpid/,33.6808,-112.4
8969202,22515524,"16664 S 38th Pl, Phoenix, AZ 85048 ",85048,0.519371509552002,379000,https://www.zillow.com/homedetails/16664-S-38th-Pl-Phoenix-AZ-85048/2093611618_zpid/,33.2953,-112.00200000000001
8945278,22515616,"2736 E Verbena Dr, Phoenix, AZ 85048 ",85048,0.519371509552002,393500,https://www.zillow.com/homedetails/2736-E-Verbena-Dr-Phoenix-AZ-85048/2094345739_zpid/,33.3051,-112.023
8963937,22555132,"1746 W Cathedral Rock Dr, Phoenix, AZ 85045 ",85045,0.519371509552002,369000,https://www.zillow.com/homedetails/1746-W-Cathedral-Rock-Dr-Phoenix-AZ-85045/8134904_zpid/,33.3041,-112.09700000000001
8993110,22539816,"9410 S 51st St, Phoenix, AZ 85044 ",85044,0.519371509552002,349999,https://www.zillow.com/homedetails/9410-S-51st-St-Phoenix-AZ-85044/8142835_zpid/,33.3582,-111.975
