property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
9029976,23905541,"8769 W Grovers Ave, Peoria, AZ 85382 ",85382,0.7442862689495087,189900,https://www.zillow.com/homedetails/8769-W-Grovers-Ave-Peoria-AZ-85382/7898340_zpid/,33.6451,-112.24799999999999,6607,2018-02-02
380873,23882112,"2919 W Seldon Ln, Phoenix, AZ 85051 ",85051,0.7441425025463104,184999,https://www.zillow.com/homedetails/2919-W-Seldon-Ln-Phoenix-AZ-85051/7750574_zpid/,33.5609,-112.12200000000001,6600,2018-01-26
9030435,23907757,"5907 W Whitton Ave, Phoenix, AZ 85033 ",85033,0.7440939545631409,180000,https://www.zillow.com/homedetails/5907-W-Whitton-Ave-Phoenix-AZ-85033/7489295_zpid/,33.4892,-112.18700000000001,6592,2018-01-18
1410883,23888985,"7120 W Sierra Vista Dr, Glendale, AZ 85303 ",85303,0.7440860867500305,182000,https://www.zillow.com/homedetails/7120-W-Sierra-Vista-Dr-Glendale-AZ-85303/7706907_zpid/,33.5318,-112.213,6622,2018-02-17
405482,23915699,"4721 W Lavey Rd, Glendale, AZ 85306 ",85306,0.7440716326236725,210000,https://www.zillow.com/homedetails/4721-W-Lavey-Rd-Glendale-AZ-85306/7951053_zpid/,33.6369,-112.162,6628,2018-02-23
8986493,23870095,"1714 E Madison St, Phoenix, AZ 85034 ",85034,0.744043231010437,165000,https://www.zillow.com/homedetails/1714-E-Madison-St-Phoenix-AZ-85034/7527760_zpid/,33.4464,-112.045,6596,2018-01-22
326637,23878774,"1821 W Heatherbrae Dr, Phoenix, AZ 85015 ",85015,0.7437897324562073,235000,https://www.zillow.com/homedetails/1821-W-Heatherbrae-Dr-Phoenix-AZ-85015/7772229_zpid/,33.498000000000005,-112.09899999999999,6614,2018-02-09
396390,23870156,"3924 W Sunnyside Ave, Phoenix, AZ 85029 ",85029,0.7434819936752319,215000,https://www.zillow.com/homedetails/3924-W-Sunnyside-Ave-Phoenix-AZ-85029/7744517_zpid/,33.5926,-112.14399999999999,6597,2018-01-23
9026576,23892731,"9754 W Edward Dr, Sun City, AZ 85351 ",85351,0.7428664267063141,172000,https://www.zillow.com/homedetails/9754-W-Edward-Dr-Sun-City-AZ-85351/7686035_zpid/,33.5921,-112.26799999999999,6605,2018-01-31
6833,23886010,"3873 W Commonwealth Ave, Chandler, AZ 85226 ",85226,0.7428120970726013,230000,https://www.zillow.com/homedetails/3873-W-Commonwealth-Ave-Chandler-AZ-85226/55273361_zpid/,33.3027,-111.90899999999999,6618,2018-02-13
