property_id,transaction_id,address,ypred,list,url
8962343,22260154,"17372 W Hilton Ave, Goodyear, AZ 85338 ",0.6661092042922974,225540,https://www.zillow.com/homedetails/17372-W-Hilton-Ave-Goodyear-AZ-85338/55287429_zpid/
360069,22269886,"3419 S 87th Dr, Tolleson, AZ 85353 ",0.6661092042922974,258000,https://www.zillow.com/homedetails/3419-S-87th-Dr-Tolleson-AZ-85353/81969664_zpid/
7498975,21963340,"9009 S 57th Dr, Laveen, AZ 85339 ",0.6659348607063293,245000,https://www.zillow.com/homedetails/9009-S-57th-Dr-Laveen-AZ-85339/82800929_zpid/
532694,22269785,"6607 S 44th Ln, Laveen, AZ 85339 ",0.665107786655426,255900,https://www.zillow.com/homedetails/6607-S-44th-Ln-Laveen-AZ-85339/67773825_zpid/
8964834,22104744,"6925 W Beverly Rd, Laveen, AZ 85339 ",0.6649857759475708,244900,https://www.zillow.com/homedetails/6925-W-Beverly-Rd-Laveen-AZ-85339/71613670_zpid/
1151217,21896361,"12721 W Calavar Rd, El Mirage, AZ 85335 ",0.6641230583190918,245000,https://www.zillow.com/homedetails/12721-W-Calavar-Rd-El-Mirage-AZ-85335/59983007_zpid/
513590,21924494,"12403 W Palo Brea Ln, Peoria, AZ 85383 ",0.6637387871742249,340000,https://www.zillow.com/homedetails/12403-W-Palo-Brea-Ln-Peoria-AZ-85383/82799723_zpid/
8957063,21664250,"30037 N 128th Ave, Peoria, AZ 85383 ",0.6637387871742249,359900,https://www.zillow.com/homedetails/30037-N-128th-Ave-Peoria-AZ-85383/67784065_zpid/
195512,20728828,"3215 W Saint Anne Ave, Phoenix, AZ 85041 ",0.6629356145858765,235000,https://www.zillow.com/homedetails/3215-W-Saint-Anne-Ave-Phoenix-AZ-85041/67764919_zpid/
8963827,22040878,"7253 W St Catherine Ave, Laveen, AZ 85339 ",0.6618574857711792,268000,https://www.zillow.com/homedetails/7253-W-St-Catherine-Ave-Laveen-AZ-85339/71605010_zpid/
7540223,22027261,"17542 W Wind Drift Ct, Goodyear, AZ 85338 ",0.6616902947425842,259000,https://www.zillow.com/homedetails/17542-W-Wind-Drift-Ct-Goodyear-AZ-85338/54274650_zpid/
881444,22019835,"23724 W Adams St, Buckeye, AZ 85396 ",0.6594740748405457,266900,https://www.zillow.com/homedetails/23724-W-Adams-St-Buckeye-AZ-85396/71626117_zpid/
714332,21815282,"6236 E Riverdale St, Mesa, AZ 85215 ",0.6586653590202332,350000,https://www.zillow.com/homedetails/6236-E-Riverdale-St-Mesa-AZ-85215/7679724_zpid/
1152299,22260277,"12808 W Saint Moritz Ln, El Mirage, AZ 85335 ",0.6585994958877563,239900,https://www.zillow.com/homedetails/12808-W-Saint-Moritz-Ln-El-Mirage-AZ-85335/62740887_zpid/
1495021,22064896,"17624 W Voltaire St, Surprise, AZ 85388 ",0.6585994958877563,258400,https://www.zillow.com/homedetails/17624-W-Voltaire-St-Surprise-AZ-85388/71628775_zpid/
7459753,21929403,"15655 W Ventura St, Surprise, AZ 85379 ",0.6585994958877563,238000,https://www.zillow.com/homedetails/15655-W-Ventura-St-Surprise-AZ-85379/67767995_zpid/
8969767,22281840,"15976 W Ventura St, Surprise, AZ 85379 ",0.6585994958877563,249900,https://www.zillow.com/homedetails/15976-W-Ventura-St-Surprise-AZ-85379/59253107_zpid/
7543012,22229910,"16134 W Christy Dr, Surprise, AZ 85379 ",0.6585994958877563,264000,https://www.zillow.com/homedetails/16134-W-Christy-Dr-Surprise-AZ-85379/67795121_zpid/
7526840,22235776,"15773 W Caribbean Ln, Surprise, AZ 85379 ",0.6585994958877563,238000,https://www.zillow.com/homedetails/15773-W-Caribbean-Ln-Surprise-AZ-85379/64694580_zpid/
927443,21974021,"23836 W La Salle St, Buckeye, AZ 85326 ",0.6576579809188843,180000,https://www.zillow.com/homedetails/23836-W-La-Salle-St-Buckeye-AZ-85326/82827279_zpid/
940741,21987084,"5764 S 236th Dr, Buckeye, AZ 85326 ",0.6576579809188843,183900,https://www.zillow.com/homedetails/5764-S-236th-Dr-Buckeye-AZ-85326/82826956_zpid/
7512692,17958341,"25944 N Sandstone Way, Surprise, AZ 85387 ",0.6572547554969788,269000,https://www.zillow.com/homedetails/25944-N-Sandstone-Way-Surprise-AZ-85387/71610062_zpid/
935592,21975279,"25759 W Crown King Rd, Buckeye, AZ 85326 ",0.6549994349479675,249900,https://www.zillow.com/homedetails/25759-W-Crown-King-Rd-Buckeye-AZ-85326/67797244_zpid/
1483412,22262302,"16423 N 172nd Ave, Surprise, AZ 85388 ",0.6548859477043152,265000,https://www.zillow.com/homedetails/16423-N-172nd-Ave-Surprise-AZ-85388/67768305_zpid/
62691,17192758,"39906 N Thunder Hills Ln, Anthem, AZ 85086 ",0.6537657976150513,259900,https://www.zillow.com/homedetails/39906-N-Thunder-Hills-Ln-Anthem-AZ-85086/67785840_zpid/
524860,21644225,"9133 W Lewis Ave, Phoenix, AZ 85037 ",0.6537165641784668,255000,https://www.zillow.com/homedetails/9133-W-Lewis-Ave-Phoenix-AZ-85037/67764412_zpid/
607454,21809272,"5910 E Norwood St, Mesa, AZ 85215 ",0.6530506014823914,175000,https://www.zillow.com/homedetails/5910-E-Norwood-St-Mesa-AZ-85215/7675254_zpid/
582162,22106103,"10849 E Stanton Ave, Mesa, AZ 85212 ",0.652690052986145,299000,https://www.zillow.com/homedetails/10849-E-Stanton-Ave-Mesa-AZ-85212/81987813_zpid/
134647,21947823,"16851 W Tonbridge St, Surprise, AZ 85374 ",0.6524889469146729,249900,https://www.zillow.com/homedetails/16851-W-Tonbridge-St-Surprise-AZ-85374/62732168_zpid/
304078,22001195,"3216 W Walden Ct, Anthem, AZ 85086 ",0.6524426937103271,288000,https://www.zillow.com/homedetails/3216-W-Walden-Ct-Anthem-AZ-85086/50184016_zpid/
195456,17161035,"3206 W Saint Catherine Ave, Phoenix, AZ 85041 ",0.6522173285484314,209900,https://www.zillow.com/homedetails/3206-W-Saint-Catherine-Ave-Phoenix-AZ-85041/67764961_zpid/
345471,22114111,"2841 W Pima St, Phoenix, AZ 85009 ",0.6521407961845398,56500,https://www.zillow.com/homedetails/2841-W-Pima-St-Phoenix-AZ-85009/7501053_zpid/
1271179,21980707,"3951 E Yeager Dr, Gilbert, AZ 85295 ",0.651922345161438,370000,https://www.zillow.com/homedetails/3951-E-Yeager-Dr-Gilbert-AZ-85295/71608350_zpid/
68157,21977684,"3235 E Bluebird Dr, Gilbert, AZ 85297 ",0.651922345161438,330000,https://www.zillow.com/homedetails/3235-E-Bluebird-Dr-Gilbert-AZ-85297/55281473_zpid/
1305674,21969877,"1696 E Dubois Ave, Gilbert, AZ 85298 ",0.651922345161438,360000,https://www.zillow.com/homedetails/1696-E-Dubois-Ave-Gilbert-AZ-85298/95097538_zpid/
1214427,22054520,"1435 N Roanoke St, Gilbert, AZ 85234 ",0.651922345161438,359000,https://www.zillow.com/homedetails/1435-N-Roanoke-St-Gilbert-AZ-85234/35964623_zpid/
1257398,21971065,"1902 S Tucana Ln, Gilbert, AZ 85295 ",0.651922345161438,318900,https://www.zillow.com/homedetails/1902-S-Tucana-Ln-Gilbert-AZ-85295/81953635_zpid/
1315192,21980443,"3912 E Blue Spruce Ln, Gilbert, AZ 85298 ",0.651922345161438,379900,https://www.zillow.com/homedetails/3912-E-Blue-Spruce-Ln-Gilbert-AZ-85298/121423520_zpid/
527986,22045753,"9530 W Hazelwood St, Phoenix, AZ 85037 ",0.6517505049705505,240000,https://www.zillow.com/homedetails/9530-W-Hazelwood-St-Phoenix-AZ-85037/55256244_zpid/
877676,21837910,"20843 N 260th Ln, Buckeye, AZ 85396 ",0.6514580845832825,225000,https://www.zillow.com/homedetails/20843-N-260th-Ln-Buckeye-AZ-85396/89457744_zpid/
136638,21949300,"18401 W Westfall Way, Surprise, AZ 85374 ",0.6514153480529785,239900,https://www.zillow.com/homedetails/18401-W-Westfall-Way-Surprise-AZ-85374/71610999_zpid/
1021837,18406969,"1330 E Crescent Way, Chandler, AZ 85249 ",0.6512701511383057,398000,https://www.zillow.com/homedetails/1330-E-Crescent-Way-Chandler-AZ-85249/50195316_zpid/
7443803,22046761,"9865 E Idaho Ave, Mesa, AZ 85209 ",0.6512701511383057,364500,https://www.zillow.com/homedetails/9865-E-Idaho-Ave-Mesa-AZ-85209/8090881_zpid/
23272,21459102,"6925 W Maldonado Rd, Laveen, AZ 85339 ",0.6510705351829529,230000,https://www.zillow.com/homedetails/6925-W-Maldonado-Rd-Laveen-AZ-85339/71604857_zpid/
195296,22029666,"3132 W Saint Anne Ave, Phoenix, AZ 85041 ",0.6509408354759216,245000,https://www.zillow.com/homedetails/3132-W-Saint-Anne-Ave-Phoenix-AZ-85041/67764934_zpid/
8962331,21906943,"16178 W Meade Ln, Goodyear, AZ 85338 ",0.650851845741272,269900,https://www.zillow.com/homedetails/16178-W-Meade-Ln-Goodyear-AZ-85338/63202199_zpid/
7447996,21897600,"16145 W Papago St, Goodyear, AZ 85338 ",0.650851845741272,299900,https://www.zillow.com/homedetails/16145-W-Papago-St-Goodyear-AZ-85338/95176224_zpid/
435323,22069317,"2103 N Rascon Loop, Phoenix, AZ 85037 ",0.650851845741272,269900,https://www.zillow.com/homedetails/2103-N-Rascon-Loop-Phoenix-AZ-85037/60046966_zpid/
1498926,21698802,"17824 W Andora St, Surprise, AZ 85388 ",0.650851845741272,285000,https://www.zillow.com/homedetails/17824-W-Andora-St-Surprise-AZ-85388/81982889_zpid/
8962316,21906867,"15321 W Jefferson St, Goodyear, AZ 85338 ",0.650851845741272,299900,https://www.zillow.com/homedetails/15321-W-Jefferson-St-Goodyear-AZ-85338/59255361_zpid/
8959378,21816227,"16408 W Monroe St, Goodyear, AZ 85338 ",0.650851845741272,299000,https://www.zillow.com/homedetails/16408-W-Monroe-St-Goodyear-AZ-85338/59256418_zpid/
8959374,21816221,"16398 W Adams St, Goodyear, AZ 85338 ",0.650851845741272,305000,https://www.zillow.com/homedetails/16398-W-Adams-St-Goodyear-AZ-85338/2093883806_zpid/
2078944,21526324,"8632 E Inca St, Mesa, AZ 85207 ",0.6503421068191528,378500,http://www.zillow.com/homedetails/8632-E-Inca-St-Mesa-AZ-85207/87800600_zpid/
