property_id,transaction_id,address,zipcode,ypred,list,url
8947229,22128019,"6834 W Darrel Rd, Laveen, AZ 85339 ",85339,0.5989195704460144,255000,https://www.zillow.com/homedetails/6834-W-Darrel-Rd-Laveen-AZ-85339/64628549_zpid/
8953047,21966684,"12210 W Del Rio Ln, Avondale, AZ 85323 ",85323,0.5986960530281067,305579,https://www.zillow.com/homedetails/12210-W-Del-Rio-Ln-Avondale-AZ-85323/95151089_zpid/
887293,22029307,"29642 W Columbus Ave, Buckeye, AZ 85396 ",85396,0.5983033180236816,255000,https://www.zillow.com/homedetails/29642-W-Columbus-Ave-Buckeye-AZ-85396/71625955_zpid/
889057,22029538,"30206 W Cheery Lynn Rd, Buckeye, AZ 85396 ",85396,0.5983033180236816,229999,https://www.zillow.com/homedetails/30206-W-Cheery-Lynn-Rd-Buckeye-AZ-85396/81983777_zpid/
929097,22292407,"24117 W Hadley St, Buckeye, AZ 85326 ",85326,0.5981819033622742,230000,https://www.zillow.com/homedetails/24117-W-Hadley-St-Buckeye-AZ-85326/67797767_zpid/
136638,21949300,"18401 W Westfall Way, Surprise, AZ 85374 ",85374,0.5980936288833618,239900,https://www.zillow.com/homedetails/18401-W-Westfall-Way-Surprise-AZ-85374/71610999_zpid/
925466,22168031,"23458 W Mohave St, Buckeye, AZ 85326 ",85326,0.5973191261291504,225000,https://www.zillow.com/homedetails/23458-W-Mohave-St-Buckeye-AZ-85326/67779766_zpid/
527986,22045753,"9530 W Hazelwood St, Phoenix, AZ 85037 ",85037,0.5972439646720886,240000,https://www.zillow.com/homedetails/9530-W-Hazelwood-St-Phoenix-AZ-85037/55256244_zpid/
8964834,22104744,"6925 W Beverly Rd, Laveen, AZ 85339 ",85339,0.5971275568008423,244900,https://www.zillow.com/homedetails/6925-W-Beverly-Rd-Laveen-AZ-85339/71613670_zpid/
8948294,22113596,"26011 N Sandstone Way, Surprise, AZ 85387 ",85387,0.5969746708869934,264900,https://www.zillow.com/homedetails/26011-N-Sandstone-Way-Surprise-AZ-85387/71610017_zpid/
