property_id,transaction_id,address,zipcode,ypred,list,url,lat,long,date_listed,transaction_date
43124,23755414,"7301 W Payson Rd, Phoenix, AZ 85043 ",85043,0.8107766747474671,195000,https://www.zillow.com/homedetails/7301-W-Payson-Rd-Phoenix-AZ-85043/60975135_zpid/,33.4225,-112.21700000000001,2017-10-18,2017-10-18
1413516,22924606,"7311 N 73rd Dr, Glendale, AZ 85303 ",85303,0.7800287783145905,248700,https://www.zillow.com/homedetails/7311-N-73rd-Dr-Glendale-AZ-85303/59270763_zpid/,33.5425,-112.21600000000001,2017-10-07,2017-10-07
424819,23757935,"9632 N 53rd Ave, Glendale, AZ 85302 ",85302,0.7737380981445312,195000,https://www.zillow.com/homedetails/9632-N-53rd-Ave-Glendale-AZ-85302/7734288_zpid/,33.5739,-112.17399999999999,2017-10-20,2017-10-20
1090459,23810641,"631 W Caroline Ln, Chandler, AZ 85225 ",85225,0.7728943467140198,230000,https://www.zillow.com/homedetails/631-W-Caroline-Ln-Chandler-AZ-85225/8183658_zpid/,33.3304,-111.851,2017-10-27,2017-10-27
1859,23650472,"9128 W Alvarado St, Phoenix, AZ 85037 ",85037,0.7638493418693543,214000,https://www.zillow.com/homedetails/9128-W-Alvarado-St-Phoenix-AZ-85037/60047210_zpid/,33.4712,-112.257,2017-10-12,2017-10-12
359488,23526402,"2409 S 90th Gln, Tolleson, AZ 85353 ",85353,0.759890216588974,204900,https://www.zillow.com/homedetails/2409-S-90th-Gln-Tolleson-AZ-85353/67772730_zpid/,33.425,-112.25399999999999,2017-10-11,2017-10-11
8987452,23806670,"13360 N 79th Ave, Peoria, AZ 85381 ",85381,0.7589242637157441,219000,https://www.zillow.com/homedetails/13360-N-79th-Ave-Peoria-AZ-85381/8100973_zpid/,33.6063,-112.229,2017-10-25,2017-10-25
1118311,23754280,"2019 W Western Dr, Chandler, AZ 85224 ",85224,0.7587772071361542,236500,https://www.zillow.com/homedetails/2019-W-Western-Dr-Chandler-AZ-85224/8197093_zpid/,33.3558,-111.87899999999999,2017-10-12,2017-10-12
359160,23759845,"15 N 86th Ln, Tolleson, AZ 85353 ",85353,0.7576003849506379,219000,https://www.zillow.com/homedetails/15-N-86th-Ln-Tolleson-AZ-85353/95078499_zpid/,33.4485,-112.24600000000001,2017-10-21,2017-10-21
380868,23801450,"12018 N 42nd Dr, Phoenix, AZ 85029 ",85029,0.7570945501327515,189000,https://www.zillow.com/homedetails/12018-N-42nd-Dr-Phoenix-AZ-85029/7744164_zpid/,33.595,-112.15100000000001,2017-10-21,2017-10-21
