property_id,transaction_id,address,zipcode,ypred,list,url
345471,22114111,"2841 W Pima St, Phoenix, AZ 85009 ",85009,0.5416385531425476,56500,https://www.zillow.com/homedetails/2841-W-Pima-St-Phoenix-AZ-85009/7501053_zpid/
211079,22064474,"414 N 32nd Pl, Phoenix, AZ 85008 ",85008,0.5406239032745361,55000,https://www.zillow.com/homedetails/414-N-32nd-Pl-Phoenix-AZ-85008/7544573_zpid/
303079,22135487,"2508 W Shackleton Dr, Anthem, AZ 85086 ",85086,0.5381119847297668,180000,https://www.zillow.com/homedetails/2508-W-Shackleton-Dr-Anthem-AZ-85086/61797076_zpid/
7540223,22027261,"17542 W Wind Drift Ct, Goodyear, AZ 85338 ",85338,0.5370563864707947,259000,https://www.zillow.com/homedetails/17542-W-Wind-Drift-Ct-Goodyear-AZ-85338/54274650_zpid/
7887177,21895178,"10959 Clear Water, Goodyear, AZ 85338 ",85338,0.5367226600646973,276000,https://www.zillow.com/homedetails/10959-Clear-Water-Goodyear-AZ-85338/88889577_zpid/
1269537,21979199,"3636 E Parkview Dr, Gilbert, AZ 85295 ",85295,0.534885048866272,325000,https://www.zillow.com/homedetails/3636-E-Parkview-Dr-Gilbert-AZ-85295/67793461_zpid/
74935,21982791,"4450 E Warbler Ct, Gilbert, AZ 85297 ",85297,0.534885048866272,322500,https://www.zillow.com/homedetails/4450-E-Warbler-Ct-Gilbert-AZ-85297/61630509_zpid/
1273215,21982412,"4339 E Harrison St, Gilbert, AZ 85295 ",85295,0.534885048866272,295000,https://www.zillow.com/homedetails/4339-E-Harrison-St-Gilbert-AZ-85295/55275929_zpid/
72378,21980687,"3937 E Blue Sage Rd, Gilbert, AZ 85297 ",85297,0.534885048866272,329000,https://www.zillow.com/homedetails/3937-E-Blue-Sage-Rd-Gilbert-AZ-85297/81976482_zpid/
182258,22108570,"15846 S 17th Ln, Phoenix, AZ 85045 ",85045,0.534885048866272,315000,https://www.zillow.com/homedetails/15846-S-17th-Ln-Phoenix-AZ-85045/8284857_zpid/
1270241,21979772,"3760 E Megan St, Gilbert, AZ 85295 ",85295,0.534885048866272,328500,https://www.zillow.com/homedetails/3760-E-Megan-St-Gilbert-AZ-85295/60050381_zpid/
72289,21980596,"3925 E Blue Sage Rd, Gilbert, AZ 85297 ",85297,0.534885048866272,319900,https://www.zillow.com/homedetails/3925-E-Blue-Sage-Rd-Gilbert-AZ-85297/71489033_zpid/
1040902,21829036,"4460 E Westchester Dr, Chandler, AZ 85249 ",85249,0.534885048866272,315000,https://www.zillow.com/homedetails/4460-E-Westchester-Dr-Chandler-AZ-85249/67777795_zpid/
1051716,21832651,"809 E Cherrywood Pl, Chandler, AZ 85249 ",85249,0.534885048866272,325000,https://www.zillow.com/homedetails/809-E-Cherrywood-Pl-Chandler-AZ-85249/50449249_zpid/
1131809,21813751,"930 S Meadows Dr, Chandler, AZ 85224 ",85224,0.534551203250885,290000,https://www.zillow.com/homedetails/930-S-Meadows-Dr-Chandler-AZ-85224/8225787_zpid/
185233,22108207,"1520 E Windsong Dr, Phoenix, AZ 85048 ",85048,0.534551203250885,324900,https://www.zillow.com/homedetails/1520-E-Windsong-Dr-Phoenix-AZ-85048/8162706_zpid/
7416354,22076145,"856 E Geronimo Ct, Chandler, AZ 85225 ",85225,0.534551203250885,333000,https://www.zillow.com/homedetails/856-E-Geronimo-Ct-Chandler-AZ-85225/8206129_zpid/
1110624,21813232,"1280 W Geronimo Pl, Chandler, AZ 85224 ",85224,0.534551203250885,325000,https://www.zillow.com/homedetails/1280-W-Geronimo-Pl-Chandler-AZ-85224/8225665_zpid/
7449119,20728794,"3107 W Pleasant Ln, Phoenix, AZ 85041 ",85041,0.534087598323822,275000,https://www.zillow.com/homedetails/3107-W-Pleasant-Ln-Phoenix-AZ-85041/67789597_zpid/
524785,22076900,"9129 W Lewis Ave, Phoenix, AZ 85037 ",85037,0.534087598323822,266000,https://www.zillow.com/homedetails/9129-W-Lewis-Ave-Phoenix-AZ-85037/67764411_zpid/
435323,22069317,"2103 N Rascon Loop, Phoenix, AZ 85037 ",85037,0.534087598323822,269900,https://www.zillow.com/homedetails/2103-N-Rascon-Loop-Phoenix-AZ-85037/60046966_zpid/
444334,21838503,"2310 N 107th Dr, Avondale, AZ 85392 ",85392,0.534087598323822,269900,https://www.zillow.com/homedetails/2310-N-107th-Dr-Avondale-AZ-85392/55256387_zpid/
8948016,17771550,"1131 S Western Skies Dr, Gilbert, AZ 85296 ",85296,0.5339637994766235,304900,https://www.zillow.com/homedetails/1131-S-Western-Skies-Dr-Gilbert-AZ-85296/8240934_zpid/
1111814,18406978,"1372 W Glenmere Dr, Chandler, AZ 85224 ",85224,0.5339637994766235,315000,https://www.zillow.com/homedetails/1372-W-Glenmere-Dr-Chandler-AZ-85224/8207310_zpid/
3493,21940309,"1302 W Seascape Dr, Gilbert, AZ 85233 ",85233,0.5338726043701172,284500,https://www.zillow.com/homedetails/1302-W-Seascape-Dr-Gilbert-AZ-85233/8202722_zpid/
1314640,21979791,"3752 E Morning Star Ln, Gilbert, AZ 85298 ",85298,0.5337626934051514,336000,https://www.zillow.com/homedetails/3752-E-Morning-Star-Ln-Gilbert-AZ-85298/58579527_zpid/
1080033,17857721,"2361 E Binner Dr, Chandler, AZ 85225 ",85225,0.5337626934051514,325000,https://www.zillow.com/homedetails/2361-E-Binner-Dr-Chandler-AZ-85225/8283891_zpid/
