property_id,transaction_id,address,zipcode,any_sell,good_sell,bayesian,list,url,lat,long,date_listed,transaction_date
350131,22705127,"6405 W Preston Ln, Phoenix, AZ 85043 ",85043,0.6782238185405731,0.8437326550483704,0.5722395831342819,187000,https://www.zillow.com/homedetails/6405-W-Preston-Ln-Phoenix-AZ-85043/55257428_zpid/,33.4235,-112.198,6474,2017-09-22
454952,23752844,"4630 W Indianola Ave, Phoenix, AZ 85031 ",85031,0.688075602054596,0.8302040100097656,0.5712431240156093,159000,https://www.zillow.com/homedetails/4630-W-Indianola-Ave-Phoenix-AZ-85031/7508079_zpid/,33.4927,-112.15899999999999,6497,2017-10-15
8990554,23839230,"3845 N 59th Ave, Phoenix, AZ 85033 ",85033,0.6594705283641815,0.8652170598506927,0.57058515160944,176000,https://www.zillow.com/homedetails/3845-N-59th-Ave-Phoenix-AZ-85033/7496809_zpid/,33.493,-112.186,6531,2017-11-18
8999379,22680357,"9308 W Glen Oaks Cir, Sun City, AZ 85351 ",85351,0.7411051392555237,0.7698505222797394,0.5705401785200639,249800,https://www.zillow.com/homedetails/9308-W-Glen-Oaks-Cir-Sun-City-AZ-85351/7922796_zpid/,33.6312,-112.26,6465,2017-09-13
5187848,21947200,"16030 N Lakeforest Dr, Sun City, AZ 85351 ",85351,0.7184952795505524,0.7932331562042236,0.5699342783157206,239900,https://www.zillow.com/homedetails/16030-N-Lakeforest-Dr-Sun-City-AZ-85351/7923097_zpid/,33.6324,-112.272,6375,2017-06-15
9020195,23820290,"8638 W Laurel Ln, Peoria, AZ 85345 ",85345,0.6612101495265961,0.8610920011997223,0.5693627708694242,247700,https://www.zillow.com/homedetails/8638-W-Laurel-Ln-Peoria-AZ-85345/7685468_zpid/,33.5934,-112.245,6516,2017-11-03
9021795,23854390,"747 W Rosal Pl, Chandler, AZ 85225 ",85225,0.6445085108280182,0.8830948173999786,0.5691621256824009,244800,https://www.zillow.com/homedetails/747-W-Rosal-Pl-Chandler-AZ-85225/8177685_zpid/,33.3412,-111.855,6551,2017-12-08
7413432,13306387,"7110 E Continental Dr, Scottsdale, AZ 85257 ",85257,0.5927190184593201,0.9594480097293854,0.5686830825895495,150000,https://www.zillow.com/homedetails/7110-E-Continental-Dr-Scottsdale-AZ-85257/2111146291_zpid/,33.4595,-111.928,6248,2017-02-08
22933,22734467,"8739 W Fairmount Ave, Phoenix, AZ 85037 ",85037,0.6754630208015442,0.841517835855484,0.5684141794653232,170000,https://www.zillow.com/homedetails/8739-W-Fairmount-Ave-Phoenix-AZ-85037/7471067_zpid/,33.492,-112.24799999999999,6485,2017-10-03
336868,23820918,"2122 W Glendale Ave, Phoenix, AZ 85021 ",85021,0.6810148656368256,0.8343988656997681,0.5682380314120472,208400,https://www.zillow.com/homedetails/2122-W-Glendale-Ave-Phoenix-AZ-85021/7778952_zpid/,33.5389,-112.105,6516,2017-11-03
8959309,23803780,"4201 W Mission Ln, Phoenix, AZ 85051 ",85051,0.6823759377002716,0.8313508927822113,0.5672938450202194,219000,https://www.zillow.com/homedetails/4201-W-Mission-Ln-Phoenix-AZ-85051/7746195_zpid/,33.5703,-112.149,6501,2017-10-19
836722,23830966,"5221 N 41st Dr, Phoenix, AZ 85019 ",85019,0.6618428230285645,0.8561455309391022,0.5666337751200246,179000,https://www.zillow.com/homedetails/5221-N-41st-Dr-Phoenix-AZ-85019/67083438_zpid/,33.5124,-112.148,6526,2017-11-13
8992552,23527037,"6029 W Mary Jane Ln, Glendale, AZ 85306 ",85306,0.7041850686073303,0.8040840029716492,0.5662239487986476,239000,https://www.zillow.com/homedetails/6029-W-Mary-Jane-Ln-Glendale-AZ-85306/8097193_zpid/,33.6273,-112.189,6493,2017-10-11
9017511,23846619,"7346 W Coolidge St, Phoenix, AZ 85033 ",85033,0.6473130285739899,0.8729022145271301,0.5650409761344992,199900,https://www.zillow.com/homedetails/7346-W-Coolidge-St-Phoenix-AZ-85033/7710836_zpid/,33.5042,-112.21799999999999,6544,2017-12-01
239765,21170292,"3054 W Acoma Dr, Phoenix, AZ 85053 ",85053,0.7475058734416962,0.7551319301128387,0.5644655529827114,198500,http://www.zillow.com/homedetails/3054-W-Acoma-Dr-Phoenix-AZ-85053/7942812_zpid/,33.6179,-112.125,6272,2017-03-04
7428103,23779456,"14238 N Lakeforest Dr, Sun City, AZ 85351 ",85351,0.7300713062286377,0.773036539554596,0.5643717961950898,169900,https://www.zillow.com/homedetails/14238-N-Lakeforest-Dr-Sun-City-AZ-85351/7922322_zpid/,33.6141,-112.26700000000001,6265,2017-02-25
501018,22711998,"7420 W Alvarado Rd, Phoenix, AZ 85035 ",85035,0.7176044583320618,0.7863612473011017,0.5642963369228315,119900,https://www.zillow.com/homedetails/7420-W-Alvarado-Rd-Phoenix-AZ-85035/7474905_zpid/,33.4717,-112.22,6475,2017-09-23
434601,23841755,"1838 N 83rd Ln, Phoenix, AZ 85037 ",85037,0.6360621154308319,0.8870759606361389,0.5642354120700599,195000,https://www.zillow.com/homedetails/1838-N-83rd-Ln-Phoenix-AZ-85037/7487940_zpid/,33.4683,-112.24,6536,2017-11-23
149903,23800141,"8309 E Indian School Rd, Scottsdale, AZ 85251 ",85251,0.6897875070571899,0.8174178898334503,0.5638446484521644,239850,https://www.zillow.com/homedetails/8309-E-Indian-School-Rd-Scottsdale-AZ-85251/7577019_zpid/,33.4948,-111.902,6497,2017-10-15
446554,23770921,"4817 N 92nd Dr, Phoenix, AZ 85037 ",85037,0.7060657143592834,0.7985337972640991,0.5638173360053074,218000,http://www.zillow.com/homedetails/4817-N-92nd-Dr-Phoenix-AZ-85037/7466453_zpid,33.5076,-112.258,6266,2017-02-26
1346962,23823701,"4935 W Lamar Rd, Glendale, AZ 85301 ",85301,0.6723766326904297,0.8362573683261871,0.5622799133777221,149900,https://www.zillow.com/homedetails/4935-W-Lamar-Rd-Glendale-AZ-85301/7722382_zpid/,33.5365,-112.166,6520,2017-11-07
459441,22441396,"5651 W Sells Dr, Phoenix, AZ 85031 ",85031,0.7298023104667664,0.7694083154201508,0.5615159662859686,191000,https://www.zillow.com/homedetails/5651-W-Sells-Dr-Phoenix-AZ-85031/7712751_zpid/,33.4999,-112.182,6333,2017-05-04
232170,23847359,"17834 N 33rd Dr, Phoenix, AZ 85053 ",85053,0.6413377821445465,0.8748167157173157,0.5610530122411195,249999,https://www.zillow.com/homedetails/17834-N-33rd-Dr-Phoenix-AZ-85053/7941287_zpid/,33.6484,-112.131,6543,2017-11-30
493050,23849853,"5901 W Cypress St, Phoenix, AZ 85035 ",85035,0.641240656375885,0.8742468357086182,0.5606026147643348,184500,https://www.zillow.com/homedetails/5901-W-Cypress-St-Phoenix-AZ-85035/7491471_zpid/,33.4723,-112.18700000000001,6550,2017-12-07
