property_id,transaction_id,address,zipcode,good_sell,list,url,lat,long,date_listed,transaction_date
9030467,23907928,"1105 S 6th Ave, Phoenix, AZ 85003 ",85003,0.9997619390487671,50000,https://www.zillow.com/homedetails/1105-S-6th-Ave-Phoenix-AZ-85003/2091048360_zpid/,33.437,-112.08200000000001,6619,2018-02-14
9034546,23940259,"10960 N 67th Ave LOT 77, Glendale, AZ 85304 ",85304,0.9994522333145142,51500,https://www.zillow.com/homedetails/10960-N-67th-Ave-LOT-77-Glendale-AZ-85304/2123701142_zpid/,33.5847,-112.205,6674,2018-04-10
501169,23933727,"7736 W Bonitos Dr, Phoenix, AZ 85035 ",85035,0.9919898211956024,183000,https://www.zillow.com/homedetails/7736-W-Bonitos-Dr-Phoenix-AZ-85035/95177794_zpid/,33.4719,-112.226,6672,2018-04-08
9031745,23915938,"754 E Rosemonte Dr, Phoenix, AZ 85024 ",85024,0.991430401802063,249999,https://www.zillow.com/homedetails/754-E-Rosemonte-Dr-Phoenix-AZ-85024/7997468_zpid/,33.6572,-112.064,6656,2018-03-23
1853625,23949955,"4907 W Joyce Cir, Glendale, AZ 85308 ",85308,0.9910848736763,249900,https://www.zillow.com/homedetails/4907-W-Joyce-Cir-Glendale-AZ-85308/7949882_zpid/,33.6402,-112.165,6680,2018-04-16
9036012,23951447,"433 N Robson, Mesa, AZ 85201 ",85201,0.9907983839511871,224500,https://www.zillow.com/homedetails/433-N-Robson-Mesa-AZ-85201/7622209_zpid/,33.4234,-111.837,6711,2018-05-17
9035153,23944997,"6617 W Weldon Ave, Phoenix, AZ 85033 ",85033,0.9889765381813049,184986,https://www.zillow.com/homedetails/6617-W-Weldon-Ave-Phoenix-AZ-85033/92348192_zpid/,33.4903,-112.20200000000001,6676,2018-04-12
9031627,23933708,"6517 W Sells Dr, Phoenix, AZ 85033 ",85033,0.9888844192028046,179499,https://www.zillow.com/homedetails/6517-W-Sells-Dr-Phoenix-AZ-85033/7717149_zpid/,33.5011,-112.2,6664,2018-03-31
9033767,23933763,"4813 N 78TH Ave, Phoenix, AZ 85033 ",85033,0.9887337982654572,210000,https://www.zillow.com/homedetails/4813-N-78TH-Ave-Phoenix-AZ-85033/7467909_zpid/,33.5083,-112.227,6667,2018-04-03
1092216,23939633,"716 W Palomino Dr, Chandler, AZ 85225 ",85225,0.987976998090744,249999,https://www.zillow.com/homedetails/716-W-Palomino-Dr-Chandler-AZ-85225/8177692_zpid/,33.3408,-111.854,6657,2018-03-24
9033248,23941288,"8937 W Hess St, Tolleson, AZ 85353 ",85353,0.9879213273525238,199000,https://www.zillow.com/homedetails/8937-W-Hess-St-Tolleson-AZ-85353/62726927_zpid/,33.428000000000004,-112.25399999999999,6653,2018-03-20
418337,23938163,"5110 W Purdue Ave, Glendale, AZ 85302 ",85302,0.9877073168754578,209499,https://www.zillow.com/homedetails/5110-W-Purdue-Ave-Glendale-AZ-85302/7734371_zpid/,33.5739,-112.17,6673,2018-04-09
359590,23947472,"2524 S 89TH Ln, Tolleson, AZ 85353 ",85353,0.9875803589820862,214900,https://www.zillow.com/homedetails/2524-S-89TH-Ln-Tolleson-AZ-85353/67772844_zpid/,33.4239,-112.25299999999999,6676,2018-04-12
227983,23948520,"1547 W Topeka Dr, Phoenix, AZ 85027 ",85027,0.9873607754707336,224000,https://www.zillow.com/homedetails/1547-W-Topeka-Dr-Phoenix-AZ-85027/92347666_zpid/,33.6596,-112.09299999999999,6677,2018-04-13
394085,23950086,"7130 N 28th Ave, Phoenix, AZ 85051 ",85051,0.9867587089538574,248800,https://www.zillow.com/homedetails/7130-N-28TH-Ave-Phoenix-AZ-85051/7757271_zpid/,33.5406,-112.119,6685,2018-04-21
232386,23943394,"18821 N 13TH Dr, Phoenix, AZ 85027 ",85027,0.9866140186786652,243000,https://www.zillow.com/homedetails/18821-N-13TH-Dr-Phoenix-AZ-85027/7968998_zpid/,33.6574,-112.088,6663,2018-03-30
9034654,23940894,"9141 W Kimberly Way, Peoria, AZ 85382 ",85382,0.9865492284297943,249900,https://www.zillow.com/homedetails/9141-W-Kimberly-Way-Peoria-AZ-85382/7896500_zpid/,33.6556,-112.257,6669,2018-04-05
9034391,23938387,"8449 W 61st Dr, Glendale, AZ 85302 ",85302,0.9862432479858398,234587,https://www.zillow.com/homedetails/8449-W-61st-Dr-Glendale-AZ-85302/2090261909_zpid/,33.5225,-112.19200000000001,6669,2018-04-05
389690,23937320,"2628 W Wood Dr, Phoenix, AZ 85029 ",85029,0.985630989074707,249900,https://www.zillow.com/homedetails/2628-W-Wood-Dr-Phoenix-AZ-85029/7738383_zpid/,33.6049,-112.115,6674,2018-04-10
1469628,23940750,"8372 W Oraibi Dr, Peoria, AZ 85382 ",85382,0.9855055212974548,235000,https://www.zillow.com/homedetails/8372-W-Oraibi-Dr-Peoria-AZ-85382/8102069_zpid/,33.6626,-112.23899999999999,6667,2018-04-03
