address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"15230 S 42nd St, Phoenix, AZ 85044",3,2,1779,zillow_ph,http://www.zillow.com/homedetails/15230-S-42nd-St-Phoenix-AZ-85044/92353755_zpid/,-111.992,33.308,374.76,,,1,,,1122,rental,1395,open,,,2015-07-22,Ahwatukee Foothills 0,274,PH
"E Berridge Ln Phoenix, AZ 85014",3,2,1542,zillow_ph,http://www.zillow.com/homedetails/E-Berridge-Ln-Phoenix-AZ-85014/2101440773_zpid/,-112.061,33.5252,357.152,,,1,,,1125,rental,1300,open,,,2015-08-11,Camelback East,133,PH
"E Ahwatukee Dr Phoenix, AZ 85044",2,2,1715,zillow_ph,http://www.zillow.com/homedetails/E-Ahwatukee-Dr-Phoenix-AZ-85044/2101430795_zpid/,-111.991,33.3358,394.299,,,1,,,1126,rental,1300,open,,,2015-08-12,Ahwatukee Foothills 0,274,PH
"2421 W Monte Cristo Cir, Phoenix, AZ 85023",3,2,1440,zillow_ph,http://www.zillow.com/homedetails/2421-W-Monte-Cristo-Cir-Phoenix-AZ-85023/2101427361_zpid/,-112.112,33.6306,404.484,,,1,,,1127,rental,1250,open,,,2015-08-12,Deer Valley,307,PH
"S 2nd St Phoenix, AZ 85004",0,1,1000,zillow_ph,http://www.zillow.com/homedetails/S-2nd-St-Phoenix-AZ-85004/2101386042_zpid/,-112.071,33.4391,329.562,,,1,,,1129,rental,1499,open,,,2015-08-16,Central City,285,PH
"W Alice Ave Phoenix, AZ 85021",3,2,1354,zillow_ph,http://www.zillow.com/homedetails/W-Alice-Ave-Phoenix-AZ-85021/2101379277_zpid/,-112.078,33.5644,376.223,,,1,,,1130,rental,1400,open,,,2015-08-17,North Mountain,176,PH
"3551 E Campo Bello Dr, Phoenix, AZ 85032",3,2,1297,zillow_ph,http://www.zillow.com/homedetails/3551-E-Campo-Bello-Dr-Phoenix-AZ-85032/7998212_zpid/,-112.004,33.6436,448.471,,,1,,,1131,rental,985,open,,,2015-08-18,Paradise Valley,288,PH
"W Blackhawk Dr Phoenix, AZ 85027",3,2,1263,zillow_ph,http://www.zillow.com/homedetails/W-Blackhawk-Dr-Phoenix-AZ-85027/2101366011_zpid/,-112.087,33.6706,433.162,,,1,,,1132,rental,1250,open,,,2015-08-18,Deer Valley,307,PH
"E Indianola Ave Phoenix, AZ 85016",2,1,1100,zillow_ph,http://www.zillow.com/homedetails/E-Indianola-Ave-Phoenix-AZ-85016/2135805483_zpid/,-112.035,33.4921,349.677,,,1,,,1134,rental,1450,open,,,2015-08-19,Camelback East,133,PH
"W Roma Ave Phoenix, AZ 85013",3,2,1500,zillow_ph,http://www.zillow.com/homedetails/W-Roma-Ave-Phoenix-AZ-85013/2101397588_zpid/,-112.082,33.501,342.176,,,1,,,1136,rental,1395,open,,,2015-08-21,Encanto,314,PH
"4328 N 42nd Pl, Phoenix, AZ 85018",3,2,1400,zillow_ph,http://www.zillow.com/homedetails/4328-N-42nd-Pl-Phoenix-AZ-85018/7835895_zpid/,-111.99,33.4996,375.405,,,1,,,1513,rental,1550,open,,,2015-06-25,Camelback East,133,PH
"9005 W Avalon Dr, Phoenix, AZ 85037",4,2,1514,zillow_ph,http://www.zillow.com/homedetails/9005-W-Avalon-Dr-Phoenix-AZ-85037/55257113_zpid/,-112.253,33.4827,317.017,,,1,,,1514,rental,975,open,,,2015-06-30,Maryvale,208,PH
"3136 W Pollack St, Phoenix, AZ 85041",3,2,1540,zillow_ph,http://www.zillow.com/homedetails/3136-W-Pollack-St-Phoenix-AZ-85041/60977172_zpid/,-112.127,33.3801,325.325,,,1,,,1523,rental,1100,open,,,2015-07-12,Laveen,158,PH
"3815 W Tonopah Dr, Glendale, AZ 85308",3,2,1264,zillow_ph,http://www.zillow.com/homedetails/3815-W-Tonopah-Dr-Glendale-AZ-85308/7936540_zpid/,-112.142,33.6713,408.96,,,1,,,1527,rental,1200,open,,,2015-07-25,Deer Valley,307,PH
"17601 N 38th Ave, Glendale, AZ 85308",4,2,1832,zillow_ph,http://www.zillow.com/homedetails/17601-N-38th-Ave-Glendale-AZ-85308/7947509_zpid/,-112.141,33.6456,400.493,,,1,,,1530,rental,1400,open,,,2015-08-10,Deer Valley,307,PH
"921 W Villa Theresa Dr, Phoenix, AZ 85023",3,1,1342,zillow_ph,http://www.zillow.com/homedetails/921-W-Villa-Theresa-Dr-Phoenix-AZ-85023/7956788_zpid/,-112.086,33.6539,424.266,,,1,,,1531,rental,1025,open,,,2015-08-10,Deer Valley,307,PH
"3402 W Pershing Ave, Phoenix, AZ 85029",4,2,2132,zillow_ph,http://www.zillow.com/homedetails/3402-W-Pershing-Ave-Phoenix-AZ-85029/7741273_zpid/,-112.132,33.6053,387.031,,,1,,,1532,rental,1200,open,,,2015-08-10,North Mountain,176,PH
"206 E Danbury Rd, Phoenix, AZ 85022",3,2,1322,zillow_ph,http://www.zillow.com/homedetails/206-E-Danbury-Rd-Phoenix-AZ-85022/7959349_zpid/,-112.072,33.6424,419.987,,,1,,,1533,rental,1195,open,,,2015-08-10,Deer Valley,307,PH
"4734 W Michigan Ave, Glendale, AZ 85308",3,2,1273,zillow_ph,http://www.zillow.com/homedetails/4734-W-Michigan-Ave-Glendale-AZ-85308/7949542_zpid/,-112.162,33.6511,394.732,,,1,,,1534,rental,975,open,,,2015-08-10,Deer Valley,307,PH
"5244 S 3rd St, Phoenix, AZ 85040",2,1,924,zillow_ph,http://www.zillow.com/homedetails/5244-S-3rd-St-Phoenix-AZ-85040/2122630787_zpid/,-112.07,33.398,332.958,,,1,,,1535,rental,765,open,,,2015-08-10,South Mountain,151,PH
"6329 W Constance Way, Laveen, AZ 85339",4,2,2208,zillow_ph,http://www.zillow.com/homedetails/6329-W-Constance-Way-Laveen-AZ-85339/71607660_zpid/,-112.196,33.375,305.219,,,1,,,1536,rental,1200,open,,,2015-08-10,Laveen,158,PH
"19616 N 15th Pl, Phoenix, AZ 85024",3,2,1883,zillow_ph,http://www.zillow.com/homedetails/19616-N-15th-Pl-Phoenix-AZ-85024/7995671_zpid/,-112.049,33.6647,451.733,,,1,,,1537,rental,1550,open,,,2015-08-10,Deer Valley,307,PH
"6810 S 39th Ln, Phoenix, AZ 85041",4,2,3159,zillow_ph,http://www.zillow.com/homedetails/6810-S-39th-Ln-Phoenix-AZ-85041/55258490_zpid/,-112.144,33.3841,316.724,,,1,,,1538,rental,1295,open,,,2015-08-11,Laveen,158,PH
"22617 N 19th Way, Phoenix, AZ 85024",5,2,2677,zillow_ph,http://www.zillow.com/homedetails/22617-N-19th-Way-Phoenix-AZ-85024/61629207_zpid/,-112.04,33.6923,467.484,,,1,,,1540,rental,1800,open,,,2015-08-11,Desert View,273,PH
"4017 E Burgess Ln, Phoenix, AZ 85042",3,2,1331,zillow_ph,http://www.zillow.com/homedetails/4017-E-Burgess-Ln-Phoenix-AZ-85042/7551375_zpid/,-111.995,33.3898,352.617,,,1,,,1541,rental,895,open,,,2015-08-11,South Mountain,151,PH
"5024 S 21st Pl, Phoenix, AZ 85040",3,2,1275,zillow_ph,http://www.zillow.com/homedetails/5024-S-21st-Pl-Phoenix-AZ-85040/7546863_zpid/,-112.036,33.4005,337.236,,,1,,,1543,rental,1050,open,,,2015-08-12,South Mountain,151,PH
"6438 W Sells Dr, Phoenix, AZ 85033",5,2,1913,zillow_ph,http://www.zillow.com/homedetails/6438-W-Sells-Dr-Phoenix-AZ-85033/7717217_zpid/,-112.199,33.5015,336.381,,,1,,,1545,rental,1100,open,,,2015-08-12,Maryvale,208,PH
"1644 W Straight Arrow Ln, Phoenix, AZ 85085",3,2,1505,zillow_ph,http://www.zillow.com/homedetails/1644-W-Straight-Arrow-Ln-Phoenix-AZ-85085/95089445_zpid/,-112.095,33.7333,478.158,,,1,,,1546,rental,1595,open,,,2015-08-13,North Gateway,219,PH
"18418 N 30th Pl, Phoenix, AZ 85032",3,2,1230,zillow_ph,http://www.zillow.com/homedetails/18418-N-30th-Pl-Phoenix-AZ-85032/7999249_zpid/,-112.018,33.6538,447.874,,,1,,,1547,rental,1200,open,,,2015-08-13,Paradise Valley,288,PH
"910 E Fairmount Ave, Phoenix, AZ 85014",1,1,510,zillow_ph,http://www.zillow.com/homedetails/910-E-Fairmount-Ave-Phoenix-AZ-85014/81976246_zpid/,-112.062,33.4932,339.977,,,1,,,1548,rental,545,open,,,2015-08-13,Encanto,314,PH
