,address,ypred,list,gain-loss,gain-loss%,url
1666687,"17826 N Palo Verde Dr, Sun City, AZ 85373 ",196667.1875,194700,1967.1875,0.010103685156651165,https://www.zillow.com/homedetails/17826-N-Palo-Verde-Dr-Sun-City-AZ-85373/8095271_zpid/
3739059,"8213 Shad Bush Ave, Las Vegas, NV 89149 ",386965.0,385000,1965.0,0.005103896103896055,https://www.zillow.com/homedetails/8213-Shad-Bush-Ave-Las-Vegas-NV-89149/6899599_zpid/
684802,"9648 E Juanita Ave, Mesa, AZ 85209 ",350862.53125,349000,1862.53125,0.005336765759312412,https://www.zillow.com/homedetails/9648-E-Juanita-Ave-Mesa-AZ-85209/8090663_zpid/
7420804,"4920 Carmen Blvd, Las Vegas, NV 89108 ",136848.75,135000,1848.75,0.013694444444444454,https://www.zillow.com/homedetails/4920-Carmen-Blvd-Las-Vegas-NV-89108/6958780_zpid/
2560264,"16606 Glastonbury Rd, Detroit, MI 48219 ",166833.6875,165000,1833.6875,0.01111325757575754,https://www.zillow.com/homedetails/16606-Glastonbury-Rd-Detroit-MI-48219/88495506_zpid/
7429416,"14415 E Elk Pl, Denver, CO 80239 ",387685.9375,385900,1785.9375,0.00462798004664422,https://www.zillow.com/homedetails/14415-E-Elk-Pl-Denver-CO-80239/2095151134_zpid/
7457857,"5727 W Vista Ave, Glendale, AZ 85301 ",141750.5,140000,1750.5,0.012503571428571503,https://www.zillow.com/homedetails/5727-W-Vista-Ave-Glendale-AZ-85301/7726670_zpid/
1686295,"13226 W Flagstone Ct, Sun City West, AZ 85375 ",231742.5,230000,1742.5,0.007576086956521788,https://www.zillow.com/homedetails/13226-W-Flagstone-Ct-Sun-City-West-AZ-85375/8107832_zpid/
7416111,"850 E Cochise Dr, Phoenix, AZ 85020 ",110714.890625,109000,1714.890625,0.015732941513761478,https://www.zillow.com/homedetails/850-E-Cochise-Dr-Phoenix-AZ-85020/2095287884_zpid/
2627722,"1547 Fashion Hill Dr, Houston, TX 77088 ",136688.90625,135000,1688.90625,0.012510416666666746,https://www.zillow.com/homedetails/1547-Fashion-Hill-Dr-Houston-TX-77088/28142808_zpid/
1911967,"5209 Still Breeze Ave, Las Vegas, NV 89130 ",251576.046875,249900,1676.046875,0.006706870248099239,https://www.zillow.com/homedetails/5209-Still-Breeze-Ave-Las-Vegas-NV-89130/6895904_zpid/
7432182,"1406 W Emerald Ave, Mesa, AZ 85202 ",141559.71875,139900,1659.71875,0.011863607934238685,https://www.zillow.com/homedetails/1406-W-Emerald-Ave-Mesa-AZ-85202/2107764813_zpid/
7495131,"1317 E 5th Ave, Mesa, AZ 85204 ",214950.84375,213400,1550.84375,0.007267309044048709,https://www.zillow.com/homedetails/1317-E-5th-Ave-Mesa-AZ-85204/7626610_zpid/
7415090,"3435 W Dahlia Dr, Phoenix, AZ 85029 ",155532.78125,154000,1532.78125,0.009953125000000007,https://www.zillow.com/homedetails/3435-W-Dahlia-Dr-Phoenix-AZ-85029/7747595_zpid/
1149229,"12549 W Mandalay Ln, El Mirage, AZ 85335 ",191493.859375,190000,1493.859375,0.00786241776315788,https://www.zillow.com/homedetails/12549-W-Mandalay-Ln-El-Mirage-AZ-85335/61908513_zpid/
424363,"9210 N 53rd Ave, Glendale, AZ 85302 ",178963.015625,177500,1463.015625,0.008242341549295817,https://www.zillow.com/homedetails/9210-N-53rd-Ave-Glendale-AZ-85302/7734138_zpid/
7463044,"8813 W Indianola Ave, Phoenix, AZ 85037 ",156962.203125,155500,1462.203125,0.009403235530546672,https://www.zillow.com/homedetails/8813-W-Indianola-Ave-Phoenix-AZ-85037/2094842382_zpid/
7481500,"11833 W Bloomfield Rd, El Mirage, AZ 85335 ",175432.453125,174000,1432.453125,0.008232489224137884,https://www.zillow.com/homedetails/11833-W-Bloomfield-Rd-El-Mirage-AZ-85335/8829520_zpid/
7429417,"14417 E Elk Pl, Denver, CO 80239 ",387245.90625,385900,1345.90625,0.0034877073075927356,https://www.zillow.com/homedetails/14417-E-Elk-Pl-Denver-CO-80239/2095151126_zpid/
1683464,"12918 W Ashwood Dr, Sun City West, AZ 85375 ",233737.3125,232500,1237.3125,0.00532177419354829,https://www.zillow.com/homedetails/12918-W-Ashwood-Dr-Sun-City-West-AZ-85375/8109116_zpid/
7417617,"4107 S 6th Ave, Phoenix, AZ 85041 ",129212.9375,128000,1212.9375,0.009476074218750075,https://www.zillow.com/homedetails/4107-S-6th-Ave-Phoenix-AZ-85041/7523509_zpid/
7477163,"7000 Manny St, Las Vegas, NV 89131 ",386155.0625,384999,1156.0625,0.003002767539656004,https://www.zillow.com/homedetails/7000-Manny-St-Las-Vegas-NV-89131/6894451_zpid/
1672647,"9614 W Calico Dr, Sun City, AZ 85373 ",128037.75,126900,1137.75,0.008965721040189223,https://www.zillow.com/homedetails/9614-W-Calico-Dr-Sun-City-AZ-85373/8095108_zpid/
3481258,"6524 Mecham Ave, Las Vegas, NV 89107 ",216121.140625,215000,1121.140625,0.005214607558139628,https://www.zillow.com/homedetails/6524-Mecham-Ave-Las-Vegas-NV-89107/6961130_zpid/
7454025,"1009 W Villa Rita Dr, Phoenix, AZ 85023 ",171101.484375,170000,1101.484375,0.0064793198529411455,https://www.zillow.com/homedetails/1009-W-Villa-Rita-Dr-Phoenix-AZ-85023/7956626_zpid/
4093091,"5242 S Via Laguna Blanca, Tucson, AZ 85706 ",146097.609375,145000,1097.609375,0.007569719827586141,https://www.zillow.com/homedetails/5242-S-Via-Laguna-Blanca-Tucson-AZ-85706/55209664_zpid/
1954127,"5424 Lucky Clover St, Las Vegas, NV 89149 ",330957.03125,329900,1057.03125,0.003204095938163176,https://www.zillow.com/homedetails/5424-Lucky-Clover-St-Las-Vegas-NV-89149/6899683_zpid/
3736122,"7717 Classy Cashmere Ct, Las Vegas, NV 89149 ",193052.828125,192000,1052.828125,0.005483479817708359,https://www.zillow.com/homedetails/7717-Classy-Cashmere-Ct-Las-Vegas-NV-89149/123488329_zpid/
7428228,"11330 Sagetrail Dr, Houston, TX 77089 ",148940.09375,148000,940.09375,0.006351984797297261,https://www.zillow.com/homedetails/11330-Sagetrail-Dr-Houston-TX-77089/28156370_zpid/
7431414,"1017 Nassau Dr, Las Vegas, NV 89108 ",131908.9375,131000,908.9375,0.006938454198473387,https://www.zillow.com/homedetails/1017-Nassau-Dr-Las-Vegas-NV-89108/6958700_zpid/
7491293,"24 Wharf Dr, Bay Point, CA 94565 ",330904.71875,330000,904.71875,0.002741571969697043,https://www.zillow.com/homedetails/24-Wharf-Dr-Bay-Point-CA-94565/18336404_zpid/
1912307,"6201 Grandross Ct, Las Vegas, NV 89130 ",187902.515625,187000,902.515625,0.004826286764705978,https://www.zillow.com/homedetails/6201-Grandross-Ct-Las-Vegas-NV-89130/118196928_zpid/
2629167,"4210 Lemon Tree Ln, Houston, TX 77088 ",134895.890625,134000,895.890625,0.006685750932835743,https://www.zillow.com/homedetails/4210-Lemon-Tree-Ln-Houston-TX-77088/84037553_zpid/
1954005,"4777 Morton Manor Ct, Las Vegas, NV 89130 ",195837.8125,194999,838.8125,0.004301624623715972,https://www.zillow.com/homedetails/4777-Morton-Manor-Ct-Las-Vegas-NV-89130/68661388_zpid/
9715,"7814 E Rovey Ave, Scottsdale, AZ 85250 ",162711.78125,161900,811.78125,0.005014090487955425,https://www.zillow.com/homedetails/7814-E-Rovey-Ave-Scottsdale-AZ-85250/7857178_zpid/
1898867,"2114 Linea Del Pino St, Houston, TX 77077 ",270706.625,269900,806.625,0.0029886068914413144,https://www.zillow.com/homedetails/2114-Linea-Del-Pino-St-Houston-TX-77077/28329257_zpid/
436826,"12705 W Desert Flower Rd, Avondale, AZ 85392 ",210773.03125,210000,773.03125,0.003681101190476266,https://www.zillow.com/homedetails/12705-W-Desert-Flower-Rd-Avondale-AZ-85392/8306043_zpid/
256242,"3210 W Mohawk Ln, Phoenix, AZ 85027 ",150762.46875,150000,762.46875,0.005083125000000077,https://www.zillow.com/homedetails/3210-W-Mohawk-Ln-Phoenix-AZ-85027/7934124_zpid/
7443251,"1145 E Vogel Ave, Phoenix, AZ 85020 ",140660.296875,139900,760.296875,0.005434573802716169,https://www.zillow.com/homedetails/1145-E-Vogel-Ave-Phoenix-AZ-85020/7787404_zpid/
1858109,"19227 N Conquistador Dr, Sun City West, AZ 85375 ",183243.09375,182500,743.09375,0.004071746575342372,https://www.zillow.com/homedetails/19227-N-Conquistador-Dr-Sun-City-West-AZ-85375/8110600_zpid/
7380689,"12731 Sandri Ln, Houston, TX 77077 ",275716.3125,275000,716.3125,0.002604772727272664,https://www.zillow.com/homedetails/12731-Sandri-Ln-Houston-TX-77077/28329205_zpid/
937971,"302 5th Ave W, Buckeye, AZ 85326 ",130714.2578125,130000,714.2578125,0.005494290865384555,https://www.zillow.com/homedetails/302-5th-Ave-W-Buckeye-AZ-85326/8314377_zpid/
7459421,"11238 Carvel Ln, Houston, TX 77072 ",155711.140625,155000,711.140625,0.0045880040322581195,https://www.zillow.com/homedetails/11238-Carvel-Ln-Houston-TX-77072/28128176_zpid/
7460929,"2822 N Rosemont Ave, Tucson, AZ 85712 ",160704.03125,160000,704.03125,0.0044001953124999105,https://www.zillow.com/homedetails/2822-N-Rosemont-Ave-Tucson-AZ-85712/111914549_zpid/
7456853,"3845 W Betty Elyse Ln, Phoenix, AZ 85053 ",190694.890625,190000,694.890625,0.0036573190789472854,https://www.zillow.com/homedetails/3845-W-Betty-Elyse-Ln-Phoenix-AZ-85053/7945768_zpid/
1702141,"18018 N 129th Dr, Sun City West, AZ 85375 ",215686.5,215000,686.5,0.0031930232558139426,https://www.zillow.com/homedetails/18018-N-129th-Dr-Sun-City-West-AZ-85375/8111364_zpid/
1157067,"13314 N 123rd Ln, El Mirage, AZ 85335 ",185620.484375,185000,620.484375,0.0033539695945945525,https://www.zillow.com/homedetails/13314-N-123rd-Ln-El-Mirage-AZ-85335/60051357_zpid/
341879,"16626 N 22nd St, Phoenix, AZ 85022 ",234609.46875,234000,609.46875,0.002604567307692207,https://www.zillow.com/homedetails/16626-N-22nd-St-Phoenix-AZ-85022/8005164_zpid/
1490171,"17130 W Desert Ln, Surprise, AZ 85388 ",210590.734375,210000,590.734375,0.002813020833333235,https://www.zillow.com/homedetails/17130-W-Desert-Ln-Surprise-AZ-85388/67768689_zpid/
1497580,"17757 W Statler Dr, Surprise, AZ 85388 ",219564.40625,219000,564.40625,0.002577197488584426,https://www.zillow.com/homedetails/17757-W-Statler-Dr-Surprise-AZ-85388/67795825_zpid/
1660151,"10926 W Manzanita Dr, Sun City, AZ 85373 ",245462.59375,244900,562.59375,0.002297238668844459,https://www.zillow.com/homedetails/10926-W-Manzanita-Dr-Sun-City-AZ-85373/8094545_zpid/
1684531,"13018 W Butterfield Dr, Sun City West, AZ 85375 ",189557.828125,189000,557.828125,0.002951471560846519,https://www.zillow.com/homedetails/13018-W-Butterfield-Dr-Sun-City-West-AZ-85375/8111531_zpid/
7464016,"4246 W Vogel Ave, Phoenix, AZ 85051 ",185552.28125,185000,552.28125,0.00298530405405395,https://www.zillow.com/homedetails/4246-W-Vogel-Ave-Phoenix-AZ-85051/7746334_zpid/
250774,"2315 W Greenbriar Dr, Phoenix, AZ 85023 ",250391.890625,249900,491.890625,0.001968349839935879,https://www.zillow.com/homedetails/2315-W-Greenbriar-Dr-Phoenix-AZ-85023/7963780_zpid/
3770125,"9120 Silk Threads Ave, Las Vegas, NV 89149 ",198442.359375,198000,442.359375,0.0022341382575756796,https://www.zillow.com/homedetails/9120-Silk-Threads-Ave-Las-Vegas-NV-89149/69804654_zpid/
384248,"13426 N 33rd Ave, Phoenix, AZ 85029 ",190338.328125,189900,438.328125,0.002308204976303241,https://www.zillow.com/homedetails/13426-N-33rd-Ave-Phoenix-AZ-85029/7747877_zpid/
196529,"3715 W Carter Rd, Phoenix, AZ 85041 ",177927.03125,177500,427.03125,0.0024058098591548394,https://www.zillow.com/homedetails/3715-W-Carter-Rd-Phoenix-AZ-85041/67774136_zpid/
