,address,ypred,list,gain-loss,rent,cap rate
7346993,"3933 SE 29th Ave, Portland, OR 97202 ",275725.4375,190000,85725.4375,907.7698974609375,0.057332833059210525
7263470,"5250 NW Pondosa Dr, Portland, OR 97229 ",275059.59375,190000,85059.59375,975.721435546875,0.06162451171875
3865545,"2040 SE 52nd Ave For Rent # 6, Portland, OR 97215 ",217939.34375,132900,85039.34375,1147.343994140625,0.10359765184113995
7123343,"8650 NE Schuyler St, Portland, OR 97220 ",304504.84375,220000,84504.84375,919.5338134765625,0.050156392045454544
7087564,"7025 SE 66th Ave, Portland, OR 97206 ",204232.8125,120000,84232.8125,6593.3828125,0.65933828125
7352579,"930-932 SE Clatsop St, Portland, OR 97202 ",257745.296875,175000,82745.296875,935.0166015625,0.06411542410714285
3875114,"2271 SE 39th Ave, Portland, OR 97214 ",270254.78125,189900,80354.78125,1163.90283203125,0.07354836221366509
7107269,"15935 SW Oak Meadow Ln, Tigard, OR 97224 ",224845.078125,144900,79945.078125,2610.029296875,0.2161514945652174
3835122,"4345 SE 112th Ave, Portland, OR 97266 ",319840.28125,239900,79940.28125,2143.886474609375,0.10723900257919966
3835127,"4389 SE 112th Ave, Portland, OR 97266 ",319840.28125,239900,79940.28125,854.6265869140625,0.04274914352334306
3835114,"4333 SE 112th Ave, Portland, OR 97266 ",319840.28125,239900,79940.28125,991.7009887695312,0.04960571950552314
7313642,"17814 SE Addie St, Milwaukie, OR 97267 ",299480.25,219900,79580.25,1962.8223876953125,0.1071117286977035
7346155,"3718 SE 33rd Pl, Portland, OR 97202 ",308462.90625,229900,78562.90625,983.12353515625,0.051315713013810355
7346687,"3850 SE 21st Ave, Portland, OR 97202 ",232825.46875,155000,77825.46875,935.4002075195312,0.07241808215725806
7262906,"4645 NW Kahneeta Dr, Portland, OR 97229 ",325862.5,250000,75862.5,5410.3505859375,0.259696828125
7122944,"8428 NE Schuyler St, Portland, OR 97220 ",210424.109375,134900,75524.109375,1566.1802978515625,0.13931922952186804
