address,bedrooms,bathrooms,sqft,source,longitude,latitude,elevation,neighborhood,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed
"3506 E Montreal Pl, Phoenix, AZ 85032",2,2,2140,zillow_ph,-112.007,33.6333,440.745,Paradise Valley,rental,950,open,,,2013-05-16
"7154 W Globe Ave, Phoenix, AZ 85043",3,2,1711,zillow_ph,-112.214,33.4187,307.354,Estrella,rental,1050,open,,,2013-07-17
"5715 S 31st Dr, Phoenix, AZ 85041",5,2,2230,zillow_ph,-112.126,33.3946,318.096,Laveen,rental,1199,open,,,2013-10-06
"4525 E Heatherbrae Dr, Phoenix, AZ 85018",4,2,1819,zillow_ph,-111.984,33.4975,378.527,Camelback East,rental,1295,open,,,2013-12-23
"2318 W Blue Sky Dr, Phoenix, AZ 85085",3,2,1667,zillow_ph,,,,Deer Valley,rental,1350,open,,,2014-03-20
"3038 E Yucca St, Phoenix, AZ 85028",3,2,1570,zillow_ph,-112.016,33.5885,434.772,Paradise Valley,rental,1195,open,,,2014-04-26
"4537 W Sophie Ln, Laveen, AZ 85339",2,2,1050,zillow_ph,,,,Laveen,rental,1100,open,,,2015-09-05
"4636 E Evans Dr, Phoenix, AZ 85032",4,3,2718,zillow_ph,-111.981,33.6183,433.474,Paradise Valley,rental,2495,open,,,2015-01-30
"6530 W Chester Rd, Glendale, AZ 85310",4,3,2947,zillow_ph,,,,Deer Valley,rental,1850,open,,,2015-06-15
"4313 E Folgers Rd, Phoenix, AZ 85050",4,2,3207,zillow_ph,-111.978,33.6958,509.311,Desert View,rental,2800,open,,,2015-06-23
"1837 W Buckhorn Trl, Phoenix, AZ 85085",3,2,2180,zillow_ph,,,,North Gateway,rental,2300,open,,,2015-07-12
"4314 W Heyerdahl Dr, Phoenix, AZ 85087",4,3,2546,zillow_ph,-112.153,33.872,575.724,New Village,rental,1635,open,,,2015-07-25
"5564 N 12th St, Phoenix, AZ 85014",3,2,2371,zillow_ph,-112.057,33.5184,354.528,Camelback East,rental,3000,open,,,2015-07-30
"2223 E Bowker St, Phoenix, AZ 85040",5,3,2733,zillow_ph,,,,South Mountain,rental,1750,open,,,2015-07-31
"4116 E Sweetwater Ave, Phoenix, AZ 85032",2,1,840,zillow_ph,-111.993,33.6046,425.84,Paradise Valley,rental,1050,open,,,2015-08-03
"4714 N 76th Ave, Phoenix, AZ 85033",3,2,1338,zillow_ph,,,,Maryvale,rental,795,open,,,2015-08-04
"3229 W Pierce St, Phoenix, AZ 85009",3,1,891,zillow_ph,-112.13,33.4557,325.971,Estrella,rental,900,open,,,2015-08-06
"7005 S 31st Dr, Phoenix, AZ 85041",4,2,1531,zillow_ph,,,,Laveen,rental,1025,open,,,2015-08-30
"4555 W Corrine Dr, Glendale, AZ 85304",3,2,1845,zillow_ph,-112.158,33.6001,376.955,North Mountain,rental,1250,open,,,2015-09-01
"2967 E Tonto Ln, Phoenix, AZ 85050",3,2,1456,zillow_ph,,,,Paradise Valley,rental,1250,open,,,2015-09-02
"4901 E Indianola Ave, Phoenix, AZ 85018",3,1,1100,zillow_ph,-111.976,33.4911,378.013,Camelback East,rental,1575,open,,,2015-09-02
"9212 W Williams St, Tolleson, AZ 85353",3,2,2048,zillow_ph,-112.258,33.4192,302.043,Estrella,rental,4800,open,,,2015-09-03
"4921 W Kastler Ln, Phoenix, AZ 85087",3,2,2128,zillow_ph,-112.166,33.8814,585.139,New Village,rental,1575,open,,,2015-09-04
"3542 E Anderson Dr, Phoenix, AZ 85032",4,3,2140,zillow_ph,-112.007,33.6465,449.023,Paradise Valley,rental,1245,open,,,2015-09-04
"9913 W Kirby Ave, Tolleson, AZ 85353",4,3,2319,zillow_ph,-112.274,33.4157,298.246,Estrella,rental,1330,open,,,2015-09-04
"16412 N 49th Ave, Glendale, AZ 85306",3,2,1866,zillow_ph,-112.164,33.6342,387.152,Deer Valley,rental,1395,open,,,2015-09-04
"3807 E Hillery Dr, Phoenix, AZ 85032",3,2,1064,zillow_ph,-112.0,33.6218,434.334,Paradise Valley,rental,1095,open,,,2015-09-04
"2047 W Madre Del Oro Dr, Phoenix, AZ 85085",3,2,1941,zillow_ph,,,,North Gateway,rental,1450,open,,,2015-09-04
"1510 E Marco Polo Rd, Phoenix, AZ 85024",3,2,1883,zillow_ph,-112.05,33.6671,454.866,Deer Valley,rental,1350,open,,,2015-09-05
"15803 S 29th St, Phoenix, AZ 85048",3,2,1692,zillow_ph,,,,Ahwatukee Foothills,rental,1400,open,,,2015-09-06
"12424 N 60th St, Scottsdale, AZ 85254",4,3,3050,zillow_ph,-111.952,33.6001,424.107,Paradise Valley,rental,2990,open,,,2015-09-07
"E Ashland Ave Phoenix, AZ 85004",3,2,2100,zillow_ph,-112.072,33.4753,333.377,,rental,2650,open,,,2015-06-15
"6230 E Via Estrella Ave, Paradise Valley, AZ 85253",4,2,2528,zillow_ph,-111.946,33.5778,412.028,Paradise Valley,rental,2500,open,,,2015-07-06
"5121 E Nambe St, Phoenix, AZ 85044",3,1,1200,zillow_ph,-111.974,33.3299,378.017,Ahwatukee Foothills,rental,1195,open,,,2015-07-14
"E Weldon Ave Phoenix, AZ 85016",4,2,1819,zillow_ph,-112.03,33.4903,351.577,,rental,1650,open,,,2015-08-21
"4301 E Greenway Ln, Phoenix, AZ 85032",4,2,2162,zillow_ph,-111.989,33.6247,437.615,Paradise Valley,rental,2000,open,,,2015-09-09
"N 92nd Ln Phoenix, AZ 85037",4,2,2881,zillow_ph,-112.259,33.4964,318.077,,rental,1375,open,,,2015-09-09
"W Southern Hills Rd Phoenix, AZ 85023",3,2,3056,zillow_ph,-112.077,33.6094,409.697,,rental,3200,open,,,2015-09-11
"910 E Fairmount Ave, Phoenix, AZ 85014",1,1,510,zillow_ph,-112.062,33.4932,339.977,Encanto,rental,545,open,,,2015-09-11
"S Yuta St Phoenix, AZ 85044",3,2,1200,zillow_ph,-111.993,33.3481,404.871,,rental,1250,open,,,2015-09-13
"2508 E Hazelwood St, Phoenix, AZ 85016",3,2,1137,zillow_ph,-112.028,33.5045,358.069,Camelback East,rental,1295,open,,,2015-09-14
"3805 W Saguaro Ln, Glendale, AZ 85310",3,2,1859,zillow_ph,-112.139,33.7088,431.626,Deer Valley,rental,1375,open,,,2015-09-14
"E Hamblin Dr Phoenix, AZ 85050",3,2,2408,zillow_ph,-111.977,33.693,507.194,,rental,2100,open,,,2015-09-15
"1301 E Hubbell St, Phoenix, AZ 85006",3,1,1447,zillow_ph,-112.054,33.4701,336.304,Encanto,rental,895,open,,,2015-09-15
"2919 E Saltsage Dr, Phoenix, AZ 85048",3,2,1710,zillow_ph,-112.021,33.2959,366.177,Ahwatukee Foothills,rental,1450,open,,,2015-09-16
"W Pierson St Phoenix, AZ 85013",3,2,1500,zillow_ph,-112.082,33.5075,344.211,,rental,1475,open,,,2015-09-17
"5123 E Encanto Blvd, Phoenix, AZ 85035",3,1,1584,zillow_ph,-112.17,33.473,329.44,Maryvale,rental,900,open,,,2015-09-18
"604 N 5th Ave, Phoenix, AZ 85003",1,1,800,zillow_ph,-112.08,33.4548,329.816,Central City,rental,875,open,,,2015-09-18
"N 48th Dr Glendale, AZ 85304",3,2,1348,zillow_ph,-112.163,33.5955,372.862,,rental,1295,open,,,2015-09-18
"1647 E Rancho Dr, Phoenix, AZ 85016",4,2,1800,zillow_ph,,,,Camelback East,rental,1975,open,,,2015-09-19
"1801 W Tuckey Ln, Phoenix, AZ 85015",2,1,1007,zillow_ph,,,,Alahambra,rental,745,open,,,2015-09-19
"1137 E Palm Ln, Phoenix, AZ 85006",1,1,0,zillow_ph,,,,Encanto,rental,725,open,,,2015-09-19
"4039 E Sunnyside Dr, Phoenix, AZ 85028",3,2,2071,zillow_ph,-111.991,33.5946,422.075,Paradise Valley,rental,1795,open,,,2013-09-14
"3134 E Cottonwood Ln, Phoenix, AZ 85048",4,3,2000,zillow_ph,-112.015,33.2938,362.571,Ahwatukee Foothills,rental,1750,open,,,2015-09-09
"502 W Monona Dr, Phoenix, AZ 85027",3,1,1440,zillow_ph,-112.081,33.6755,438.866,Deer Valley,rental,1195,open,,,2015-09-09
"4126 N 30th Dr, Phoenix, AZ 85017",3,1,1371,zillow_ph,-112.125,33.496,343.269,Alahambra,rental,825,open,,,2015-09-09
"7507 S 30th Run, Phoenix, AZ 85042",3,2,1439,zillow_ph,-112.016,33.3789,359.851,South Mountain,rental,1245,open,,,2015-09-09
"3833 W Mission Ln, Phoenix, AZ 85051",4,2,1931,zillow_ph,-112.142,33.5712,372.608,North Mountain,rental,1350,open,,,2015-09-10
"315 W Herro Ln, Phoenix, AZ 85013",3,2,2236,zillow_ph,-112.079,33.5322,357.054,Alahambra,rental,2400,open,,,2015-09-10
"4211 E Hamblin Dr, Phoenix, AZ 85050",3,2,1828,zillow_ph,,,,Desert View,rental,1995,open,,,2015-09-11
"8815 S 51st Dr, Laveen, AZ 85339",5,3,3321,zillow_ph,,,,Laveen,rental,1995,open,,,2015-09-11
"22520 N 38th Pl, Phoenix, AZ 85050",3,3,3090,zillow_ph,-111.995,33.6912,492.047,Desert View,rental,2999,open,,,2015-09-11
"4202 W Denton Ln, Phoenix, AZ 85019",4,2,1997,zillow_ph,-112.149,33.5165,350.183,Alahambra,rental,1150,open,,,2015-09-11
"1626 W Saint Catherine Ave, Phoenix, AZ 85041",3,2,1345,zillow_ph,-112.094,33.3885,335.423,South Mountain,rental,1000,open,,,2015-09-11
"2514 W Mark Ln, Phoenix, AZ 85085",3,2,1860,zillow_ph,-112.113,33.7445,462.332,Deer Valley,rental,1500,open,,,2015-09-11
"4401 W Redfield Rd, Glendale, AZ 85306",3,2,1778,zillow_ph,-112.153,33.6138,384.374,North Mountain,rental,1300,open,,,2015-09-11
"2333 W Hedgehog Pl, Phoenix, AZ 85085",5,3,2856,zillow_ph,,,,Deer Valley,rental,2000,open,,,2015-09-13
"5642 S 14th Ave, Phoenix, AZ 85041",2,1,819,zillow_ph,,,,South Mountain,rental,799,open,,,2015-09-14
"6018 W Mulberry Dr, Phoenix, AZ 85033",3,1,1030,zillow_ph,-112.189,33.4872,332.562,Maryvale,rental,795,open,,,2015-09-14
"5738 W T Ryan Ln, Laveen, AZ 85339",4,2,2260,zillow_ph,,,,Laveen,rental,1320,open,,,2015-09-14
"3029 E Roveen Ave, Phoenix, AZ 85032",3,2,1632,zillow_ph,-112.016,33.6055,431.878,Paradise Valley,rental,1495,open,,,2015-09-15
"27723 N 18th Dr, Phoenix, AZ 85085",3,2,1783,zillow_ph,-112.098,33.7365,475.304,North Gateway,rental,1500,open,,,2015-09-15
"7929 S Kelsie Dr, Laveen, AZ 85339",3,2,1347,zillow_ph,-112.201,33.3736,304.488,Laveen,rental,1150,open,,,2015-09-15
"16053 S 18th Ave, Phoenix, AZ 85045",3,2,1854,zillow_ph,-112.099,33.2999,380.094,Ahwatukee Foothills,rental,1450,open,,,2015-09-15
"3712 W Sierra St, Phoenix, AZ 85029",3,2,1590,zillow_ph,,,,North Mountain,rental,1200,open,,,2015-09-15
"5026 E Oakhurst Way, Scottsdale, AZ 85254",5,3,3400,zillow_ph,-111.973,33.591,418.019,Paradise Valley,rental,2995,open,,,2015-09-15
"4323 W Hopi Trl, Laveen, AZ 85339",5,3,3706,zillow_ph,,,,Laveen,rental,1725,open,,,2015-09-16
"3910 E Pollack St, Phoenix, AZ 85042",4,3,1770,zillow_ph,-111.998,33.3806,362.016,South Mountain,rental,1450,open,,,2015-09-16
"15029 N 54th St, Scottsdale, AZ 85254",3,2,1750,zillow_ph,,,,Paradise Valley,rental,1525,open,,,2015-09-16
"716 E Desert Park Ln, Phoenix, AZ 85020",3,3,2064,zillow_ph,,,,Camelback East,rental,2200,open,,,2015-09-16
"25518 N 54th Ln, Phoenix, AZ 85083",4,3,2810,zillow_ph,,,,Deer Valley,rental,1600,open,,,2015-09-16
"4801 W Aster Dr, Glendale, AZ 85304",3,2,1690,zillow_ph,-112.162,33.602,376.91,North Mountain,rental,1095,open,,,2015-09-16
"4749 E Desert Wind Dr, Phoenix, AZ 85044",3,2,1300,zillow_ph,-111.982,33.3157,375.329,Ahwatukee Foothills,rental,1195,open,,,2015-09-17
"3033 W Grenadine Rd, Phoenix, AZ 85041",4,3,2400,zillow_ph,-112.124,33.3985,317.162,Laveen,rental,1249,open,,,2015-09-17
"5732 W Encanto Blvd, Phoenix, AZ 85035",3,2,1375,zillow_ph,-112.184,33.4735,327.767,Maryvale,rental,930,open,,,2015-09-18
"5312 W Molly Ln, Phoenix, AZ 85083",3,2,1871,zillow_ph,,,,Deer Valley,rental,1795,open,,,2015-09-18
"510 E Piute Ave, Phoenix, AZ 85024",3,2,1100,zillow_ph,-112.067,33.6635,435.482,Deer Valley,rental,1150,open,,,2015-09-18
"17435 N 46th St, Phoenix, AZ 85032",4,2,1881,zillow_ph,-111.981,33.6454,454.325,Paradise Valley,rental,1800,open,,,2015-09-18
"3969 E Melinda Dr, Phoenix, AZ 85050",3,2,1654,zillow_ph,,,,Desert View,rental,1695,open,,,2015-09-18
"2423 W Fawn Dr, Phoenix, AZ 85041",5,3,2685,zillow_ph,-112.112,33.376,335.384,South Mountain,rental,1400,open,,,2015-09-18
"12219 S Shasta Pl, Phoenix, AZ 85044",3,2,2300,zillow_ph,-111.994,33.3358,398.106,Ahwatukee Foothills,rental,1450,open,,,2015-09-18
"1920 E Sharon Dr, Phoenix, AZ 85022",4,2,1812,zillow_ph,,,,Paradise Valley,rental,1700,open,,,2015-09-19
"19021 N 12th Dr, Phoenix, AZ 85027",3,2,1181,zillow_ph,-112.086,33.6591,427.112,Deer Valley,rental,1150,open,,,2015-09-19
"8430 W Lewis Ave, Phoenix, AZ 85037",2,2,1449,zillow_ph,,,,Maryvale,rental,1125,open,,,2015-09-19
"4770 W Menadota Dr, Glendale, AZ 85308",3,2,1136,zillow_ph,-112.163,33.6686,400.538,Deer Valley,rental,995,open,,,2015-09-19
