address,bedrooms,bathrooms,sqft,source,longitude,latitude,elevation,neighborhood,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed
"910 E Fairmount Ave, Phoenix, AZ 85014",1,1,510,zillow_ph,-112.062,33.4932,339.977,Encanto,rental,545,open,,,2015-08-13
"33236 N 48th Pl, Cave Creek, AZ 85331",4,2,2410,zillow_ph,-111.978,33.788,596.644,Desert View,rental,2200,open,,,2015-08-13
"2437 E Marmora St, Phoenix, AZ 85032",3,2,1400,zillow_ph,-112.029,33.5995,438.825,Paradise Valley,rental,1200,open,,,2015-08-13
"2215 W Spur Dr, Phoenix, AZ 85085",3,2,2231,zillow_ph,-112.106,33.7261,453.376,Deer Valley,rental,1775,open,,,2015-08-13
"11318 W Meadowbrook Ave, Phoenix, AZ 85037",3,2,1603,zillow_ph,-112.301,33.5023,310.426,Maryvale,rental,1200,open,,,2015-08-13
"3844 E Kings Ave, Phoenix, AZ 85032",4,2,2576,zillow_ph,-111.999,33.6365,444.003,Paradise Valley,rental,1895,open,,,2015-08-13
"4541 W Bluefield Ave, Glendale, AZ 85308",4,2,2620,zillow_ph,-112.158,33.6518,396.672,Deer Valley,rental,1600,open,,,2015-08-13
"1028 E Paradise Ln, Phoenix, AZ 85022",3,2,1624,zillow_ph,-112.058,33.6333,428.535,North Mountain,rental,1295,open,,,2015-08-14
"2331 W Larkspur Dr, Phoenix, AZ 85029",3,2,1494,zillow_ph,-112.11,33.5999,390.622,North Mountain,rental,995,open,,,2015-08-14
"4040 E Desert Forest Trl, Cave Creek, AZ 85331",4,3,2732,zillow_ph,-111.994,33.7817,569.527,Desert View,rental,1795,open,,,2015-08-14
"4001 W Villa Rita Dr, Glendale, AZ 85308",3,2,1397,zillow_ph,-112.145,33.6503,400.324,Deer Valley,rental,1150,open,,,2015-08-14
"12005 N 49th Dr, Glendale, AZ 85304",3,2,1700,zillow_ph,-112.165,33.5951,372.983,North Mountain,rental,950,open,,,2015-08-14
"1607 S 79th Ln, Phoenix, AZ 85043",3,2,1685,zillow_ph,-112.23,33.4331,308.744,Estrella,rental,1075,open,,,2015-08-14
"6032 S 22nd Dr, Phoenix, AZ 85041",3,2,1259,zillow_ph,-112.107,33.3907,329.184,South Mountain,rental,1095,open,,,2015-08-14
"2520 E Marilyn Rd, Phoenix, AZ 85032",3,2,1080,zillow_ph,-112.027,33.6206,444.15,Paradise Valley,rental,1150,open,,,2015-08-15
"16634 S 28th Pl, Phoenix, AZ 85048",4,3,2340,zillow_ph,-112.022,33.2937,363.143,Ahwatukee Foothills,rental,1750,open,,,2015-08-15
"34806 N 31st Ave, Anthem, AZ 85086",3,2,1642,zillow_ph,-112.126,33.8009,515.153,North Gateway,rental,1300,open,,,2015-08-15
"3509 E Rockledge Rd, Phoenix, AZ 85044",4,2,2308,zillow_ph,-112.008,33.3126,392.955,Ahwatukee Foothills,rental,2075,open,,,2015-08-15
"2942 W Montebello Ave, Phoenix, AZ 85017",3,2,1407,zillow_ph,-112.123,33.5206,353.727,Alahambra,rental,999,open,,,2015-08-16
"17633 N 35th Way, Phoenix, AZ 85032",3,2,1661,zillow_ph,-112.003,33.6465,449.396,Paradise Valley,rental,1100,open,,,2015-08-16
"2035 N 64th Ln, Phoenix, AZ 85035",3,2,1280,zillow_ph,-112.198,33.4708,325.186,Maryvale,rental,875,open,,,2015-08-17
"3028 N 48th Ave, Phoenix, AZ 85031",3,2,1884,zillow_ph,-112.162,33.4834,332.216,Maryvale,rental,940,open,,,2015-08-17
