property_id,transaction_log_id,id,address,neighborhood,bedrooms,bathrooms,sqft,source,origin_url,created_at,updated_at,latitude,longitude,elevation,lookup_address,id_1,price,transaction_status,date_listed,date_closed,days_on_market,created_at_1,updated_at_1,property_id_1,transaction_type
723,1555,723,"1028 E Paradise Ln, Phoenix, AZ 85022",North Mountain,3,2,1624,zillow_sf,http://www.zillow.com/homedetails/1028-E-Paradise-Ln-Phoenix-AZ-85022/8003410_zpid/,2015-08-24 02:24:33,2015-08-24 02:24:33,33.6333,-112.058,428.535,"1028 E Paradise Ln, Phoenix, AZ 85022, North Mountain",1555,1295,open,2015-08-14,,,2015-08-24 02:26:37,2015-08-24 02:26:37,723,rental
685,1556,685,"2331 W Larkspur Dr, Phoenix, AZ 85029",North Mountain,3,2,1494,zillow_sf,http://www.zillow.com/homedetails/2331-W-Larkspur-Dr-Phoenix-AZ-85029/7738617_zpid/,2015-08-24 02:24:30,2015-08-24 02:24:30,33.5999,-112.11,390.622,"2331 W Larkspur Dr, Phoenix, AZ 85029, North Mountain",1556,995,open,2015-08-14,,,2015-08-24 02:26:37,2015-08-24 02:26:37,685,rental
931,1557,931,"4040 E Desert Forest Trl, Cave Creek, AZ 85331",Desert View,4,3,2732,zillow_sf,http://www.zillow.com/homedetails/4040-E-Desert-Forest-Trl-Cave-Creek-AZ-85331/52427809_zpid/,2015-08-24 02:24:53,2015-08-28 15:35:33,33.7817,-111.994,569.527,"4040 E Desert Forest Trl, Cave Creek, AZ 85331, Desert View",1557,1795,open,2015-08-14,,,2015-08-24 02:26:37,2015-08-24 02:26:37,931,rental
664,1558,664,"4001 W Villa Rita Dr, Glendale, AZ 85308",Deer Valley,3,2,1397,zillow_sf,http://www.zillow.com/homedetails/4001-W-Villa-Rita-Dr-Glendale-AZ-85308/7948489_zpid/,2015-08-24 02:24:28,2015-08-24 02:24:28,33.6503,-112.145,400.324,"4001 W Villa Rita Dr, Glendale, AZ 85308, Deer Valley",1558,1150,open,2015-08-14,,,2015-08-24 02:26:37,2015-08-24 02:26:37,664,rental
964,1559,964,"12005 N 49th Dr, Glendale, AZ 85304",North Mountain,3,2,1698,zillow_sf,http://www.zillow.com/homedetails/12005-N-49th-Dr-Glendale-AZ-85304/7727413_zpid/,2015-08-24 02:24:57,2015-08-28 15:35:40,33.5951,-112.165,372.983,"12005 N 49th Dr, Glendale, AZ 85304, North Mountain",1559,950,open,2015-08-14,,,2015-08-24 02:26:38,2015-08-24 02:26:38,964,rental
963,1561,963,"1607 S 79th Ln, Phoenix, AZ 85043",Estrella,3,2,1685,zillow_sf,http://www.zillow.com/homedetails/1607-S-79th-Ln-Phoenix-AZ-85043/59271861_zpid/,2015-08-24 02:24:57,2015-08-28 15:35:40,33.4331,-112.23,308.744,"1607 S 79th Ln, Phoenix, AZ 85043, Estrella",1561,1075,open,2015-08-14,,,2015-08-24 02:26:38,2015-08-24 02:26:38,963,rental
924,1562,924,"6032 S 22nd Dr, Phoenix, AZ 85041",South Mountain,3,2,1259,zillow_sf,http://www.zillow.com/homedetails/6032-S-22nd-Dr-Phoenix-AZ-85041/59272682_zpid/,2015-08-24 02:24:53,2015-08-28 15:35:28,33.3907,-112.107,329.184,"6032 S 22nd Dr, Phoenix, AZ 85041, South Mountain",1562,1095,open,2015-08-14,,,2015-08-24 02:26:38,2015-08-24 02:26:38,924,rental
1104,1563,1104,"2520 E Marilyn Rd, Phoenix, AZ 85032",Paradise Valley,3,2,1080,zillow_sf,http://www.zillow.com/homedetails/2520-E-Marilyn-Rd-Phoenix-AZ-85032/8013736_zpid/,2015-08-24 02:25:11,2015-08-28 15:36:22,33.6206,-112.027,444.15,"2520 E Marilyn Rd, Phoenix, AZ 85032, Paradise Valley",1563,1150,open,2015-08-15,,,2015-08-24 02:26:38,2015-08-24 02:26:38,1104,rental
940,1564,940,"16634 S 28th Pl, Phoenix, AZ 85048",Ahwatukee Foothills,4,3,2340,zillow_sf,http://www.zillow.com/homedetails/16634-S-28th-Pl-Phoenix-AZ-85048/8158833_zpid/,2015-08-24 02:24:54,2015-08-24 02:24:54,33.2937,-112.022,363.143,"16634 S 28th Pl, Phoenix, AZ 85048, Ahwatukee Foothills",1564,1750,open,2015-08-15,,,2015-08-24 02:26:38,2015-08-24 02:26:38,940,rental
968,1565,968,"34806 N 31st Ave, Anthem, AZ 85086",North Gateway,3,2,1642,zillow_sf,http://www.zillow.com/homedetails/34806-N-31st-Ave-Anthem-AZ-85086/60981112_zpid/,2015-08-24 02:24:57,2015-08-24 02:24:57,33.8009,-112.126,515.153,"34806 N 31st Ave, Anthem, AZ 85086, North Gateway",1565,1300,open,2015-08-15,,,2015-08-24 02:26:38,2015-08-24 02:26:38,968,rental
791,1566,791,"3509 E Rockledge Rd, Phoenix, AZ 85044",Ahwatukee Foothills,4,2,2308,zillow_sf,http://www.zillow.com/homedetails/3509-E-Rockledge-Rd-Phoenix-AZ-85044/8161785_zpid/,2015-08-24 02:24:41,2015-08-28 15:34:45,33.3126,-112.008,392.955,"3509 E Rockledge Rd, Phoenix, AZ 85044, Ahwatukee Foothills",1566,2075,open,2015-08-15,,,2015-08-24 02:26:38,2015-08-24 02:26:38,791,rental
