,address,ypred,list,url
307767,"40014 N Integrity Trl, Anthem, AZ 85086 ",0.636479914188385,337000,https://www.zillow.com/homedetails/40014-N-Integrity-Trl-Anthem-AZ-85086/55264339_zpid/
317024,"777 W Roosevelt St UNIT 5, Phoenix, AZ 85007 ",0.636479914188385,419000,https://www.zillow.com/homedetails/777-W-Roosevelt-St-UNIT-5-Phoenix-AZ-85007/71629226_zpid/
302660,"2242 W Hidden Treasure Way, Anthem, AZ 85086 ",0.636479914188385,535900,https://www.zillow.com/homedetails/2242-W-Hidden-Treasure-Way-Anthem-AZ-85086/60980483_zpid/
62052,"3733 W Turtle Hill Dr, Anthem, AZ 85086 ",0.636479914188385,314900,https://www.zillow.com/homedetails/3733-W-Turtle-Hill-Dr-Anthem-AZ-85086/67785457_zpid/
62728,"39924 N Thunder Hills Ln, Anthem, AZ 85086 ",0.636479914188385,235000,https://www.zillow.com/homedetails/39924-N-Thunder-Hills-Ln-Anthem-AZ-85086/67785838_zpid/
59084,"1713 W Owens Way, Anthem, AZ 85086 ",0.636479914188385,220000,https://www.zillow.com/homedetails/1713-W-Owens-Way-Anthem-AZ-85086/62731099_zpid/
64621,"42414 N 46th Ln, Phoenix, AZ 85086 ",0.636479914188385,239900,https://www.zillow.com/homedetails/42414-N-46th-Ln-Phoenix-AZ-85086/67774861_zpid/
308183,"40217 N Lytham Way, Anthem, AZ 85086 ",0.636479914188385,625000,https://www.zillow.com/homedetails/40217-N-Lytham-Way-Anthem-AZ-85086/67775846_zpid/
309333,"41646 N Hudson Ct, Anthem, AZ 85086 ",0.636479914188385,307500,https://www.zillow.com/homedetails/41646-N-Hudson-Ct-Anthem-AZ-85086/67785474_zpid/
25059,"777 W Roosevelt St, Phoenix, AZ 85007 ",0.636479914188385,207000,https://www.zillow.com/homedetails/777-W-Roosevelt-St-Phoenix-AZ-85007/2107063726_zpid/
417003,"4641 W Eva St, Glendale, AZ 85302 ",0.6188942790031433,149500,https://www.zillow.com/homedetails/4641-W-Eva-St-Glendale-AZ-85302/7729697_zpid/
483710,"2639 N 65th Ave, Phoenix, AZ 85035 ",0.6188942790031433,174900,https://www.zillow.com/homedetails/2639-N-65th-Ave-Phoenix-AZ-85035/7490237_zpid/
498244,"6903 W Vernon Ave, Phoenix, AZ 85035 ",0.6188942790031433,117000,https://www.zillow.com/homedetails/6903-W-Vernon-Ave-Phoenix-AZ-85035/7475532_zpid/
478746,"1830 N 64th Ln, Phoenix, AZ 85035 ",0.6188942790031433,129800,https://www.zillow.com/homedetails/1830-N-64th-Ln-Phoenix-AZ-85035/7490563_zpid/
424363,"9210 N 53rd Ave, Glendale, AZ 85302 ",0.6188942790031433,177500,https://www.zillow.com/homedetails/9210-N-53rd-Ave-Glendale-AZ-85302/7734138_zpid/
442910,"3327 N Mansfield Dr, Litchfield Park, AZ 85340 ",0.6081842184066772,375000,https://www.zillow.com/homedetails/3327-N-Mansfield-Dr-Litchfield-Park-AZ-85340/67768521_zpid/
442592,"18916 W Indianola Ave, Litchfield Park, AZ 85340 ",0.6081842184066772,399500,https://www.zillow.com/homedetails/18916-W-Indianola-Ave-Litchfield-Park-AZ-85340/60995494_zpid/
742225,"2754 E Kael St, Mesa, AZ 85213 ",0.6081842184066772,339900,https://www.zillow.com/homedetails/2754-E-Kael-St-Mesa-AZ-85213/7656942_zpid/
139088,"23318 N Las Positas Ct, Sun City West, AZ 85375 ",0.6081842184066772,299500,https://www.zillow.com/homedetails/23318-N-Las-Positas-Ct-Sun-City-West-AZ-85375/81966882_zpid/
9773,"12854 W Junipero Dr, Sun City West, AZ 85375 ",0.6081842184066772,288000,https://www.zillow.com/homedetails/12854-W-Junipero-Dr-Sun-City-West-AZ-85375/67799581_zpid/
7793,"16907 E Madre Del Oro Dr, Rio Verde, AZ 85263 ",0.6081842184066772,715000,https://www.zillow.com/homedetails/16907-E-Madre-Del-Oro-Dr-Rio-Verde-AZ-85263/82824449_zpid/
745131,"3307 E Riverdale St, Mesa, AZ 85213 ",0.6081842184066772,281900,https://www.zillow.com/homedetails/3307-E-Riverdale-St-Mesa-AZ-85213/113980243_zpid/
723162,"1719 E Menlo St, Mesa, AZ 85203 ",0.6081842184066772,700000,https://www.zillow.com/homedetails/1719-E-Menlo-St-Mesa-AZ-85203/7613156_zpid/
24130,"6611 N Hillside Dr, Paradise Valley, AZ 85253 ",0.6081842184066772,2795000,https://www.zillow.com/homedetails/6611-N-Hillside-Dr-Paradise-Valley-AZ-85253/7832317_zpid/
260307,"10400 N 48th Pl, Paradise Valley, AZ 85253 ",0.6081842184066772,1270000,https://www.zillow.com/homedetails/10400-N-48th-Pl-Paradise-Valley-AZ-85253/7828417_zpid/
1934243,"8605 S 218th Ave, Buckeye, AZ 85326 ",0.604900062084198,380000,https://www.zillow.com/homedetails/8605-S-218th-Ave-Buckeye-AZ-85326/82822104_zpid/
252150,"240 W Coral Gables Dr, Phoenix, AZ 85023 ",0.5984534025192261,319999,https://www.zillow.com/homedetails/240-W-Coral-Gables-Dr-Phoenix-AZ-85023/7959605_zpid/
395076,"3714 W Aster Dr, Phoenix, AZ 85029 ",0.5984534025192261,149900,https://www.zillow.com/homedetails/3714-W-Aster-Dr-Phoenix-AZ-85029/7742826_zpid/
