address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"1020 Cortland Ave, San Francisco, CA 94110",2,1,1100,zillow_sf,http://www.zillow.com/homedetails/1020-Cortland-Ave-San-Francisco-CA-94110/15162833_zpid/,-122.413,37.7389,65.5651,1912,0,1,,0.0032,101121,rental,8720,closed,6,2016-02-12,2016-02-06,Bernal Heights,5,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101156,rental,1800,closed,164,2013-07-30,2013-02-16,Marina,43,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101156,rental,1800,closed,164,2013-07-30,2013-02-16,Russian Hill,70,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101157,rental,2300,closed,3,2013-02-26,2013-02-23,Marina,43,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101157,rental,2300,closed,3,2013-02-26,2013-02-23,Russian Hill,70,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101158,rental,3450,closed,1,2014-11-28,2014-11-27,Marina,43,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101158,rental,3450,closed,1,2014-11-28,2014-11-27,Russian Hill,70,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101159,rental,3990,closed,375,2016-03-05,2015-02-24,Marina,43,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101159,rental,3990,closed,375,2016-03-05,2015-02-24,Russian Hill,70,SF
"1050 N Point St, San Francisco, CA 94109",0,1,648,zillow_sf,http://www.zillow.com/homedetails/1050-N-Point-St-San-Francisco-CA-94109/63196505_zpid/,-122.425,37.8054,19.9768,1961,0,1,,0.007,101160,rental,3500,closed,64,2015-08-07,2015-06-04,Marina,43,SF
