property_id,transaction_id,address,zipcode,any_sell,good_sell,good_sell_prob,list,url,lat,long,date_listed,transaction_date,price
1075269,23849641,"1803 N Cheri Lynn Dr, Chandler, AZ 85225 ",85225,0.7838925585150719,True,0.6800412891186477,229900,https://www.zillow.com/homedetails/1803-N-Cheri-Lynn-Dr-Chandler-AZ-85225/8183501_zpid/,33.3321,-111.853,6550,2017-12-07,229900
345142,23753531,"1739 E Bluefield Ave, Phoenix, AZ 85022 ",85022,0.787375396490097,True,0.6789871557534554,224900,https://www.zillow.com/homedetails/1739-E-Bluefield-Ave-Phoenix-AZ-85022/8001407_zpid/,33.6526,-112.044,6498,2017-10-16,224900
9025717,23858269,"3333 W Grovers Ave, Phoenix, AZ 85053 ",85053,0.7945404142141342,True,0.6786046884552822,162000,https://www.zillow.com/homedetails/3333-W-Grovers-Ave-Phoenix-AZ-85053/2091717911_zpid/,33.6474,-112.131,6564,2017-12-21,162000
362517,23822656,"8838 W Hilton Ave, Tolleson, AZ 85353 ",85353,0.7831607535481453,True,0.6780820479649959,184900,https://www.zillow.com/homedetails/8838-W-Hilton-Ave-Tolleson-AZ-85353/62726881_zpid/,33.4279,-112.251,6519,2017-11-06,184900
249880,23855701,"429 E Kristal Way, Phoenix, AZ 85024 ",85024,0.7909865587949753,True,0.677873038134242,239000,https://www.zillow.com/homedetails/429-E-Kristal-Way-Phoenix-AZ-85024/7972535_zpid/,33.6609,-112.068,6547,2017-12-04,239000
9018003,23819878,"1842 W Alamo Dr, Chandler, AZ 85224 ",85224,0.7800093188881874,True,0.6767198173797908,244500,https://www.zillow.com/homedetails/1842-W-Alamo-Dr-Chandler-AZ-85224/8199834_zpid/,33.3482,-111.875,6516,2017-11-03,244500
359603,23858625,"2538 S 88th Ln, Tolleson, AZ 85353 ",85353,0.7865215435624122,True,0.6765550585208786,205000,https://www.zillow.com/homedetails/2538-S-88th-Ln-Tolleson-AZ-85353/67772866_zpid/,33.4242,-112.251,6566,2017-12-23,205000
342960,23847789,"1722 S 64th Ave, Phoenix, AZ 85043 ",85043,0.7985164195299148,True,0.6765534476302966,175000,https://www.zillow.com/homedetails/1722-S-64th-Ave-Phoenix-AZ-85043/55257220_zpid/,33.4323,-112.198,6548,2017-12-05,175000
9023241,23843236,"7710 W Cheryl Dr, Peoria, AZ 85345 ",85345,0.7937788635492324,True,0.6750504821671552,194900,https://www.zillow.com/homedetails/7710-W-Cheryl-Dr-Peoria-AZ-85345/7682371_zpid/,33.5776,-112.225,6539,2017-11-26,194900
7445518,23781525,"18009 N 89th Dr, Peoria, AZ 85382 ",85382,0.7851971119642258,True,0.6746430861701939,240000,https://www.zillow.com/homedetails/18009-N-89th-Dr-Peoria-AZ-85382/8105128_zpid/,33.6473,-112.251,6280,2017-03-12,240000
9025900,23860183,"7635 W Desert Cove Ave, Peoria, AZ 85345 ",85345,0.7892840087413788,True,0.6745065234608008,178000,https://www.zillow.com/homedetails/7635-W-Desert-Cove-Ave-Peoria-AZ-85345/7681678_zpid/,33.5849,-112.224,6537,2017-11-24,178000
8989019,22747254,"2049 N 77th Gln, Phoenix, AZ 85035 ",85035,0.7758548930287361,True,0.673491201041702,168250,https://www.zillow.com/homedetails/2049-N-77th-Gln-Phoenix-AZ-85035/95149994_zpid/,33.4706,-112.226,6487,2017-10-05,168250
361380,23818137,"8601 W Flavia Hvn, Tolleson, AZ 85353 ",85353,0.7936366856098175,True,0.673173695980809,245000,https://www.zillow.com/homedetails/8601-W-Flavia-Hvn-Tolleson-AZ-85353/59271170_zpid/,33.4241,-112.245,6515,2017-11-02,245000
8923062,23858948,"1402 E Charleston Ave, Phoenix, AZ 85022 ",85022,0.7875603616237641,True,0.6730790485858447,244900,https://www.zillow.com/homedetails/1402-E-Charleston-Ave-Phoenix-AZ-85022/8001924_zpid/,33.6491,-112.052,6564,2017-12-21,244900
1091154,23858452,"668 W Shawnee Dr, Chandler, AZ 85225 ",85225,0.7823386460542678,True,0.6723737919005698,239900,https://www.zillow.com/homedetails/668-W-Shawnee-Dr-Chandler-AZ-85225/8200509_zpid/,33.3448,-111.852,6535,2017-11-22,239900
1409526,23835276,"7001 N 77th Ave, Glendale, AZ 85303 ",85303,0.8086859732866287,True,0.6722233724888415,169900,https://www.zillow.com/homedetails/7001-N-77th-Ave-Glendale-AZ-85303/7684833_zpid/,33.5382,-112.224,6531,2017-11-18,169900
9021767,23840851,"1139 W Auburn St, Mesa, AZ 85201 ",85201,0.7909595638513565,True,0.6713980770757495,215000,https://www.zillow.com/homedetails/1139-W-Auburn-St-Mesa-AZ-85201/81997574_zpid/,33.4176,-111.856,6536,2017-11-23,215000
973060,23854336,"600 N Aspen Dr, Chandler, AZ 85226 ",85226,0.7709500819444657,True,0.6712362814295258,239900,https://www.zillow.com/homedetails/600-N-Aspen-Dr-Chandler-AZ-85226/8262023_zpid/,33.3128,-111.945,6556,2017-12-13,239900
1093584,23859955,"781 W Del Rio St, Chandler, AZ 85225 ",85225,0.7767717331647873,True,0.669998964540793,248900,https://www.zillow.com/homedetails/781-W-Del-Rio-St-Chandler-AZ-85225/8186554_zpid/,33.3158,-111.854,6565,2017-12-22,248900
650458,23850182,"2419 W Naranja Ave, Mesa, AZ 85202 ",85202,0.7817776933312416,True,0.6694459748609854,235000,https://www.zillow.com/homedetails/2419-W-Naranja-Ave-Mesa-AZ-85202/8251330_zpid/,33.3643,-111.886,6551,2017-12-08,235000
1409866,23835277,"7017 N 77th Dr, Glendale, AZ 85303 ",85303,0.799262735247612,True,0.6690426452927487,215000,https://www.zillow.com/homedetails/7017-N-77th-Dr-Glendale-AZ-85303/55260208_zpid/,33.5385,-112.225,6529,2017-11-16,215000
8982670,23842974,"1934 N Iowa St, Chandler, AZ 85225 ",85225,0.7993413865566253,True,0.6688222296401717,212500,https://www.zillow.com/homedetails/1934-N-Iowa-St-Chandler-AZ-85225/8182675_zpid/,33.3331,-111.85,6540,2017-11-27,212500
702422,23836601,"3144 S Rogers, Mesa, AZ 85202 ",85202,0.780030469596386,True,0.6687412957757748,244000,https://www.zillow.com/homedetails/3144-S-Rogers-Mesa-AZ-85202/8171993_zpid/,33.3577,-111.864,6529,2017-11-16,244000
632732,23848063,"1735 S Henkel Cir, Mesa, AZ 85202 ",85202,0.8078291773796081,True,0.6686313801479578,225000,https://www.zillow.com/homedetails/1735-S-Henkel-Cir-Mesa-AZ-85202/8250788_zpid/,33.3833,-111.865,6547,2017-12-04,225000
9024556,23846751,"8422 W Sonora St, Tolleson, AZ 85353 ",85353,0.7904431521892548,True,0.6679737581229969,183000,https://www.zillow.com/homedetails/8422-W-Sonora-St-Tolleson-AZ-85353/57688731_zpid/,33.4336,-112.243,6545,2017-12-02,183000
1119338,23856054,"2144 N College Ct, Chandler, AZ 85224 ",85224,0.7842351570725441,True,0.6675893196608584,240000,https://www.zillow.com/homedetails/2144-N-College-Ct-Chandler-AZ-85224/8199700_zpid/,33.3387,-111.874,6557,2017-12-14,240000
8977160,23825434,"16231 N 91st Dr, Peoria, AZ 85382 ",85382,0.7874119326472282,True,0.6668561652873565,233000,https://www.zillow.com/homedetails/16231-N-91st-Dr-Peoria-AZ-85382/2123153916_zpid/,33.6316,-112.252,6526,2017-11-13,233000
830198,23859357,"3747 W Oregon Ave, Phoenix, AZ 85019 ",85019,0.783826756477356,True,0.6664973487476238,175000,https://www.zillow.com/homedetails/3747-W-Oregon-Ave-Phoenix-AZ-85019/50188145_zpid/,33.5141,-112.14,6569,2017-12-26,175000
9023033,23823351,"437 E Wescott Dr, Phoenix, AZ 85024 ",85024,0.7933880418539048,True,0.6663839944155241,225000,https://www.zillow.com/homedetails/437-E-Wescott-Dr-Phoenix-AZ-85024/2092120604_zpid/,33.6585,-112.068,6521,2017-11-08,225000
264257,23752112,"7723 W Oraibi Dr, Glendale, AZ 85308 ",85308,0.7851135984063149,True,0.6661149097036997,244995,https://www.zillow.com/homedetails/7723-W-Oraibi-Dr-Glendale-AZ-85308/7891683_zpid/,33.6615,-112.224,6495,2017-10-13,244995
9023161,23824406,"18235 N 39th Dr, Glendale, AZ 85308 ",85308,0.7879748821258545,True,0.6658545271763783,229900,https://www.zillow.com/homedetails/18235-N-39th-Dr-Glendale-AZ-85308/2126416075_zpid/,33.6523,-112.144,6522,2017-11-09,229900
359281,23846977,"2013 S 86th Ave, Tolleson, AZ 85353 ",85353,0.7898722529411316,True,0.6656695216768921,215000,https://www.zillow.com/homedetails/2013-S-86th-Ave-Tolleson-AZ-85353/59271375_zpid/,33.4287,-112.244,6546,2017-12-03,215000
1413516,22924606,"7311 N 73rd Dr, Glendale, AZ 85303 ",85303,0.8019745200872421,True,0.6656189768036627,248700,https://www.zillow.com/homedetails/7311-N-73rd-Dr-Glendale-AZ-85303/59270763_zpid/,33.5425,-112.216,6489,2017-10-07,248700
1466624,23831203,"17462 N 92nd Gln, Peoria, AZ 85382 ",85382,0.7928927630186081,True,0.6655832686466144,228000,https://www.zillow.com/homedetails/17462-N-92nd-Gln-Peoria-AZ-85382/95103614_zpid/,33.6425,-112.259,6527,2017-11-14,228000
1096718,23832148,"884 W Dublin St, Chandler, AZ 85225 ",85225,0.7925241768360138,True,0.6654720750452386,235000,https://www.zillow.com/homedetails/884-W-Dublin-St-Chandler-AZ-85225/8186411_zpid/,33.3188,-111.858,6526,2017-11-13,235000
8958977,23756263,"2545 E Piute Ave, Phoenix, AZ 85050 ",85050,0.7848550975322723,True,0.6651724346087775,159000,https://www.zillow.com/homedetails/2545-E-Piute-Ave-Phoenix-AZ-85050/7994601_zpid/,33.6629,-112.027,6495,2017-10-13,159000
9025707,23857419,"7108 W Palo Verde Ave, Peoria, AZ 85345 ",85345,0.798440009355545,True,0.6650293021694229,215000,https://www.zillow.com/homedetails/7108-W-Palo-Verde-Ave-Peoria-AZ-85345/7702387_zpid/,33.5728,-112.212,6546,2017-12-03,215000
