Neighborhood,Multiplier
New Village,0.69287500000000002
Laveen,0.69544399999999995
Maryvale,0.71246600000000004
North Mountain,0.73170500000000005
South Mountain,0.77325100000000002
Alahambra,0.83305300000000004
Deer Valley,0.85014900000000004
North Gateway,0.92540199999999995
Encanto,0.95033599999999996
Paradise Valley,0.96957499999999996
Estrella,0.97199599999999997
Desert View,1.063534
Camelback East,1.100673
Central City,1.159586
Ahwatukee Foothills,1
