,address,ypred,list,gain-loss,gain-loss%,days_pred,url
7452917,"4821 W Berkeley Rd, Phoenix, AZ 85035 ",85502.8203125,133500,-47997.1796875,-0.3595294358614233,155.213134765625,https://www.zillow.com/homedetails/4821-W-Berkeley-Rd-Phoenix-AZ-85035/7494886_zpid/
7463093,"5413 E Bellevue St, Tucson, AZ 85712 ",71257.4609375,119952,-48694.5390625,-0.4059502056030746,220.31776428222656,https://www.zillow.com/homedetails/5413-E-Bellevue-St-Tucson-AZ-85712/8494986_zpid/
7460929,"2822 N Rosemont Ave, Tucson, AZ 85712 ",110822.9609375,160000,-49177.0390625,-0.30735649414062505,291.3665466308594,https://www.zillow.com/homedetails/2822-N-Rosemont-Ave-Tucson-AZ-85712/111914549_zpid/
1890813,"5700 Roseridge Ave, Las Vegas, NV 89107 ",76263.5390625,125800,-49536.4609375,-0.3937715495826709,39.882476806640625,https://www.zillow.com/homedetails/5700-Roseridge-Ave-Las-Vegas-NV-89107/6957781_zpid/
5218133,"1757 Leisure World, Mesa, AZ 85206 ",135189.4375,184900,-49710.5625,-0.2688510681449432,74.29895782470703,https://www.zillow.com/homedetails/1757-Leisure-World-Mesa-AZ-85206/7666147_zpid/
3481258,"6524 Mecham Ave, Las Vegas, NV 89107 ",161700.25,215000,-53299.75,-0.24790581395348832,287.4842224121094,https://www.zillow.com/homedetails/6524-Mecham-Ave-Las-Vegas-NV-89107/6961130_zpid/
7459463,"18027 N Desert Drive Gln, Sun City West, AZ 85375 ",103179.703125,156900,-53720.296875,-0.34238557600382413,179.7701416015625,https://www.zillow.com/homedetails/18027-N-Desert-Drive-Gln-Sun-City-West-AZ-85375/2094874442_zpid/
7432182,"1406 W Emerald Ave, Mesa, AZ 85202 ",83843.3671875,139900,-56056.6328125,-0.4006907277519657,125.75537109375,https://www.zillow.com/homedetails/1406-W-Emerald-Ave-Mesa-AZ-85202/2107764813_zpid/
7399833,"2387 Leisure World, Mesa, AZ 85206 ",193659.15625,249900,-56240.84375,-0.22505339635854338,71.2969741821289,https://www.zillow.com/homedetails/2387-Leisure-World-Mesa-AZ-85206/7675969_zpid/
1858107,"14417 W White Rock Dr, Sun City West, AZ 85375 ",200596.328125,257000,-56403.671875,-0.21946954036964983,87.49913024902344,https://www.zillow.com/homedetails/14417-W-White-Rock-Dr-Sun-City-West-AZ-85375/8116856_zpid/
