,test-mae-mean,alpha,colsample_bytree,gamma,max_delta_step,max_depth,min_child_weight,subsample
0,193146.109375,0.8043643813768842,0.8609764471688753,0.2275677738994164,3.165663024094056,5.756394194645433,19.95061003831273,0.5372076038756204
1,192847.13020833334,9.203778361902147,0.13285454916293565,0.08865237438307472,4.904904457992426,14.886726836368352,1.3119667615461024,0.6523296846640949
2,193746.078125,4.015546409782273,0.7833851019508481,5.135534847780158,1.4019764818025178,6.649297681680842,9.297862559862699,0.5057064445599841
3,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
4,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
5,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
6,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
7,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
8,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
9,193446.38541666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
