"Url","Sqft"
"http://www.climbsf.com/for-rent/55-junior-terrace/","NA"
"http://www.climbsf.com/for-rent/5800-3rd-st-1204/"," 1,309"
"http://www.climbsf.com/for-rent/318-spear-st-5a/"," 850"
"http://www.climbsf.com/for-rent/10-mint-plaza-1/"," 1,559"
"http://www.climbsf.com/for-rent/435-china-basin-st-639/"," 1,590"
"http://www.climbsf.com/for-rent/219-brannan-st-16k/","NA"
"http://www.climbsf.com/for-rent/637-powell-st-202/"," 1,590"
"http://www.climbsf.com/for-rent/451-kansas-st-571/"," 778"
"http://www.climbsf.com/for-rent/634-missouri-st/"," 1,300"
"http://www.climbsf.com/for-rent/301-mission-st-29f/"," 1,601"
"http://www.climbsf.com/for-rent/743-rhode-island-st/"," 1,300"
"http://www.climbsf.com/for-rent/720-york-st-214/"," 700"
"http://www.climbsf.com/for-rent/115-farnum-st/","NA"
"http://www.climbsf.com/for-rent/271-paris-st/"," 900"
"http://www.climbsf.com/for-rent/3065-market-st/","NA"
"http://www.climbsf.com/for-rent/55-hancock-st-1/"," 1,040"
"http://www.climbsf.com/for-rent/325-berry-st-422/","NA"
"http://www.climbsf.com/for-rent/50-lansing-st-108/"," 715"
"http://www.climbsf.com/for-rent/1-daniel-burnham-ct-314/"," 800"
"http://www.climbsf.com/for-rent/198-dolores-st-6/"," 750"
"http://www.climbsf.com/for-rent/88-townsend-st-426/"," 581"
"http://www.climbsf.com/for-rent/435-china-basin-st-118/"," 900"
"http://www.climbsf.com/for-rent/325-berry-st-416/"," 1,210"
"http://www.climbsf.com/for-rent/555-4th-st-912/"," 525"
"http://www.climbsf.com/for-rent/333-1st-st-n305/"," 709"
"http://www.climbsf.com/for-rent/567-vallejo-st-301/"," 2,400"
"http://www.climbsf.com/for-rent/223-mississippi-st-2/"," 2,300"
"http://www.climbsf.com/for-rent/184-cook-st/"," 625"
"http://www.climbsf.com/for-rent/425-1st-st-2005/"," 710"
"http://www.climbsf.com/for-rent/1299-bush-st-303/"," 978"
"http://www.climbsf.com/for-rent/2539-larkin-st/","NA"
"http://www.climbsf.com/for-rent/1880-jackson-st-101/"," 1,130"
"http://www.climbsf.com/for-rent/1625-hyde-st/"," 1,565"
"http://www.climbsf.com/for-rent/1160-mission-st-1212/"," 660"
"http://www.climbsf.com/for-rent/338-spear-st-28b/","NA"
"http://www.climbsf.com/for-rent/2633-harrison-st/"," 1,300"
"http://www.climbsf.com/for-rent/325-china-basin-st-607/"," 1,777"
"http://www.climbsf.com/for-rent/2125-bryant-st-303/"," 730"
"http://www.climbsf.com/for-rent/260-king-st-605/"," 1,488"
"http://www.climbsf.com/for-rent/200-townsend-st-47/"," 734"
"http://www.climbsf.com/for-rent/425-1st-st-3307/","NA"
"http://www.climbsf.com/for-rent/338-spear-st-39e/"," 1,582"
"http://www.climbsf.com/for-rent/5800-3rd-st-1109/"," 1,500"
"http://www.climbsf.com/for-rent/234-grand-view-ave/"," 1,682"
"http://www.climbsf.com/for-rent/1001-pine-st-1204/"," 616"
"http://www.climbsf.com/for-rent/1260-clay-st-208/"," 610"
"http://www.climbsf.com/for-rent/2560-vallejo-st/"," 1,300"
"http://www.climbsf.com/for-rent/205-beacon-st/"," 2,200"
"http://www.climbsf.com/for-rent/301-main-st-5c/"," 1,780"
"http://www.climbsf.com/for-rent/301-main-st-4f/"," 804"
"http://www.climbsf.com/for-rent/3664-19th-st/","NA"
"http://www.climbsf.com/for-rent/750-van-ness-ave-203/","NA"
"http://www.climbsf.com/for-rent/863-indiana-st/"," 835"
"http://www.climbsf.com/for-rent/50-lansing-st-305/","NA"
"http://www.climbsf.com/for-rent/1737-beach-st/","NA"
"http://www.climbsf.com/for-rent/1515-15th-st/","NA"
"http://www.climbsf.com/for-rent/1310-minnesota-st-203/","NA"
"http://www.climbsf.com/for-rent/250-king-st-604/"," 587"
"http://www.climbsf.com/for-rent/451-kansas-st-436/"," 436"
"http://www.climbsf.com/for-rent/163-liberty-st/"," 2,060"
"http://www.climbsf.com/for-rent/136-cole-st/"," 1,100"
"http://www.climbsf.com/for-rent/555-4th-st-930/","NA"
