,address,ypred,list,gain-loss,url,rent,cap rate
7388626,"4770 E Hopi St, Phoenix, AZ 85044 ",228261.09375,164900,63361.09375,https://www.zillow.com/homedetails/4770-E-Hopi-St-Phoenix-AZ-85044/8257714_zpid/,2167.196533203125,0.15770988098847785
7365485,"6839 N 29th Ave, Phoenix, AZ 85017 ",175262.1875,112000,63262.1875,https://www.zillow.com/homedetails/6839-N-29th-Ave-Phoenix-AZ-85017/7758865_zpid/,4597.9375,0.49263616071428573
7403641,"8847 N 8th St, Phoenix, AZ 85020 ",151505.546875,88777,62728.546875,https://www.zillow.com/homedetails/8847-N-8th-St-Phoenix-AZ-85020/2095439229_zpid/,4260.19873046875,0.5758516599175462
5331587,"7735 N 19th Ave, Phoenix, AZ 85021 ",159657.796875,98000,61657.796875,http://www.zillow.com/homedetails/7735-N-19th-Ave-Phoenix-AZ-85021/7777165_zpid/,1336.395263671875,0.1636402363679847
1848072,"14349 W Aster Dr, Surprise, AZ 85379 ",341894.3125,280990,60904.3125,https://www.zillow.com/homedetails/14349-W-Aster-Dr-Surprise-AZ-85379/2099190086_zpid/,3494.90478515625,0.1492539214028969
7363120,"29371 N 123RD Ln, Peoria, AZ 85383 ",299925.53125,239555,60370.53125,https://www.zillow.com/homedetails/29371-N-123RD-Ln-Peoria-AZ-85383/95078990_zpid/,1462.1898193359375,0.07324529792218906
7365427,"21243 W Coronado Rd, Buckeye, AZ 85396 ",341769.875,282494,59275.875,http://www.zillow.com/homedetails/21243-W-Coronado-Rd-Buckeye-AZ-85396/119225184_zpid/,2056.799072265625,0.08737031527660764
7373536,"10437 E Birchwood Ave Interested Rentals Onl # 00, Mesa, AZ 85208 ",158064.359375,100000,58064.359375,http://www.zillow.com/homedetails/10437-E-Birchwood-Ave-Interested-Rentals-Onl-00-Mesa-AZ-85208/2095873464_zpid/,1861.9638671875,0.2234356640625
7418266,"29232 N 123RD Ln, Peoria, AZ 85383 ",318885.8125,260950,57935.8125,https://www.zillow.com/homedetails/29232-N-123RD-Ln-Peoria-AZ-85383/95097536_zpid/,998.867431640625,0.04593373895262502
1935848,"11825 N 75th Dr, Peoria, AZ 85345 ",202345.21875,144500,57845.21875,https://www.zillow.com/homedetails/11825-N-75th-Dr-Peoria-AZ-85345/7680493_zpid/,3874.98876953125,0.32179838884083045
7405341,"3626 N 37th St, Phoenix, AZ 85018 ",176751.875,119000,57751.875,https://www.zillow.com/homedetails/3626-N-37th-St-Phoenix-AZ-85018/2104158165_zpid/,3726.37646484375,0.37576903886554625
7405262,"1111 N 25th St, Phoenix, AZ 85008 ",131950.875,74900,57050.875,https://www.zillow.com/homedetails/1111-N-25th-St-Phoenix-AZ-85008/2095559091_zpid/,2309.58642578125,0.37002719772196263
28859,"5402 E Windsor Ave, Phoenix, AZ 85008 ",216649.984375,159900,56749.984375,https://www.zillow.com/homedetails/5402-E-Windsor-Ave-Phoenix-AZ-85008/2109492334_zpid/,1013.4114379882812,0.07605339274546592
7415774,"9414 S 34th Ln, Laveen, AZ 85339 ",253872.796875,197950,55922.796875,https://www.zillow.com/homedetails/9414-S-34th-Ln-Laveen-AZ-85339/95114793_zpid/,1022.911376953125,0.06201028806990402
7397675,"32 S Mingus Dr, Chandler, AZ 85286 ",299508.625,243990,55518.625,https://www.zillow.com/homedetails/32-S-Mingus-Dr-Chandler-AZ-85286/2095543186_zpid/,5013.49853515625,0.24657561529161032
