,address,ypred,list,gain-loss,rent,cap rate
2950974,"6901 W Florissant Ave, Saint Louis, MO 63136 ",85814.359375,115000,-29185.640625,-1738.3907470703125,-0.18139729959239131
2949570,"2626 Hord Ave, Jennings, MO 63136 ",70580.2421875,99900,-29319.7578125,24207.587890625,2.9078184434434435
2949656,"2725 Solway Ave, Jennings, MO 63136 ",79245.1796875,109000,-29754.8203125,14654.6728515625,1.613358514908257
2949482,"2571 Nathan Dr, Saint Louis, MO 63136 ",85032.890625,115000,-29967.109375,-5372.751953125,-0.5606349864130434
2949759,"3138 Somerset Green Ct, Saint Louis, MO 63136 ",80485.0078125,112900,-32414.9921875,13402.1728515625,1.4245002491142604
2951624,"8 Harneywold Dr, Saint Louis, MO 63136 ",81756.1875,114900,-33143.8125,1280.28125,0.13371083550913837
2949774,"33 Robinson Circle Dr, Saint Louis, MO 63136 ",86805.734375,120000,-33194.265625,-13484.806640625,-1.3484807291666667
2949795,"37 Robinson Circle Dr, Saint Louis, MO 63136 ",86805.734375,120000,-33194.265625,-3813.68701171875,-0.3813686848958333
7326789,"4259 Maryland Ave, Saint Louis, MO 63108 ",320186.875,358500,-38313.125,-1489.744384765625,-0.049865923552998605
2949478,"2569 Dorwood Dr, Saint Louis, MO 63136 ",67044.1640625,109000,-41955.8359375,-490.8666687011719,-0.05404036607654816
2950853,"61 Harneywold Dr, Saint Louis, MO 63136 ",77302.984375,120000,-42697.015625,-3416.1796875,-0.34161796875
2949722,"30 Capitol Hill Dr, Saint Louis, MO 63136 ",86805.734375,130000,-43194.265625,-5372.751953125,-0.49594633413461536
2949446,"2553 Hackman Dr, Saint Louis, MO 63136 ",79909.3828125,124750,-44840.6171875,4002.13818359375,0.3849752004008016
2949761,"3164 Somerset Green Ct, Saint Louis, MO 63136 ",95932.3203125,145000,-49067.6796875,-10601.974609375,-0.8774047952586207
2950215,"5537 Jennings Station Rd, Jennings, MO 63136 ",80964.1796875,137500,-56535.8203125,-490.8666687011719,-0.04283927201704545
2950909,"63 Harneywold Dr, Saint Louis, MO 63136 ",89732.53125,150000,-60267.46875,-10601.974609375,-0.84815796875
2949507,"26 Harneywold Dr, Saint Louis, MO 63136 ",81756.1875,144900,-63143.8125,-12373.1220703125,-1.0246892253278124
2949840,"5208 Helen Ave, Saint Louis, MO 63136 ",85814.359375,150000,-64185.640625,36703.87109375,2.9363095833333333
7325628,"20 N Kingshighway Blvd, Saint Louis, MO 63108 ",252444.421875,319000,-66555.578125,36703.87109375,1.3807098354231975
2950799,"60 Harneywold Dr, Saint Louis, MO 63136 ",80417.703125,150000,-69582.296875,4002.13818359375,0.32017104166666666
2949753,"3101 Somerset Green Ct, Saint Louis, MO 63136 ",95932.3203125,169900,-73967.6796875,-490.8666687011719,-0.03466980519331224
2949760,"3160 Pershall Rd, Saint Louis, MO 63136 ",81040.5078125,250000,-168959.4921875,1280.28125,0.0614535
