property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source,pred_std
3202,"10155 E Paradise Dr, Scottsdale, AZ 85260",5,4,4710,zillow_ph,http://www.zillow.com/homedetails/10155-E-Paradise-Dr-Scottsdale-AZ-85260/8049625_zpid/,-111.862,33.5947,431.167,1997,,1,,,11681,rental,1149000,closed,,2015-10-03,,North Scottsdale,94,PH,316.78545371810000000000
3220,"9845 E Mirasol Cir, Scottsdale, AZ 85260",4,2,2969,zillow_ph,http://www.zillow.com/homedetails/9845-E-Mirasol-Cir-Scottsdale-AZ-85260/59267531_zpid/,-111.868,33.6335,470.274,2003,,1,,,9596,rental,2800,closed,5,2015-10-08,2015-10-03,North Scottsdale,94,PH,313.82876971241600000000
3220,"9845 E Mirasol Cir, Scottsdale, AZ 85260",4,2,2969,zillow_ph,http://www.zillow.com/homedetails/9845-E-Mirasol-Cir-Scottsdale-AZ-85260/59267531_zpid/,-111.868,33.6335,470.274,2003,,1,,,9596,rental,2800,closed,5,2015-10-08,2015-10-03,North Scottsdale,94,PH,313.82876971241600000000
3441,"24102 N 76th Pl, Scottsdale, AZ 85255",4,3,2595,zillow_ph,http://www.zillow.com/homedetails/24102-N-76th-Pl-Scottsdale-AZ-85255/55267096_zpid/,-111.916,33.7052,588.731,2001,,1,,,11523,rental,2700,closed,6,2015-10-07,2015-10-01,North Scottsdale,94,PH,314.73755826967400000000
3441,"24102 N 76th Pl, Scottsdale, AZ 85255",4,3,2595,zillow_ph,http://www.zillow.com/homedetails/24102-N-76th-Pl-Scottsdale-AZ-85255/55267096_zpid/,-111.916,33.7052,588.731,2001,,1,,,11523,rental,2700,closed,6,2015-10-07,2015-10-01,North Scottsdale,94,PH,314.73755826967400000000
3444,"20506 N 78th Way, Scottsdale, AZ 85255",3,2,1634,zillow_ph,http://www.zillow.com/homedetails/20506-N-78th-Way-Scottsdale-AZ-85255/7988687_zpid/,-111.912,33.6732,522.112,1998,1,1,,,11663,rental,2200,closed,4,2015-10-06,2015-10-02,North Scottsdale,94,PH,313.06090274033800000000
3444,"20506 N 78th Way, Scottsdale, AZ 85255",3,2,1634,zillow_ph,http://www.zillow.com/homedetails/20506-N-78th-Way-Scottsdale-AZ-85255/7988687_zpid/,-111.912,33.6732,522.112,1998,1,1,,,11663,rental,2200,closed,4,2015-10-06,2015-10-02,North Scottsdale,94,PH,313.02645893796500000000
3500,"10895 E Sahuaro Dr, Scottsdale, AZ 85259",4,2,1760,zillow_ph,http://www.zillow.com/homedetails/10895-E-Sahuaro-Dr-Scottsdale-AZ-85259/8050463_zpid/,-111.846,33.5847,431.09,1984,,1,,,11478,rental,1795,closed,7,2015-10-06,2015-09-29,North Scottsdale,94,PH,313.21585855581200000000
3500,"10895 E Sahuaro Dr, Scottsdale, AZ 85259",4,2,1760,zillow_ph,http://www.zillow.com/homedetails/10895-E-Sahuaro-Dr-Scottsdale-AZ-85259/8050463_zpid/,-111.846,33.5847,431.09,1984,,1,,,11478,rental,1795,closed,7,2015-10-06,2015-09-29,North Scottsdale,94,PH,313.21585855581200000000
3512,"18996 N 91st St, Scottsdale, AZ 85255",3,2,1568,zillow_ph,http://www.zillow.com/homedetails/18996-N-91st-St-Scottsdale-AZ-85255/8042166_zpid/,-111.884,33.6581,510.303,1992,,1,,,11589,rental,1775,closed,6,2015-10-07,2015-10-01,North Scottsdale,94,PH,312.77765458053600000000
3512,"18996 N 91st St, Scottsdale, AZ 85255",3,2,1568,zillow_ph,http://www.zillow.com/homedetails/18996-N-91st-St-Scottsdale-AZ-85255/8042166_zpid/,-111.884,33.6581,510.303,1992,,1,,,11589,rental,1775,closed,6,2015-10-07,2015-10-01,North Scottsdale,94,PH,312.77765458053600000000
3603,"9423 E Camino Del Santo, Scottsdale, AZ 85260",4,3,2311,zillow_ph,http://www.zillow.com/homedetails/9423-E-Camino-Del-Santo-Scottsdale-AZ-85260/8056804_zpid/,-111.877,33.6067,437.213,1990,,1,,,11481,rental,2250,closed,7,2015-10-06,2015-09-29,North Scottsdale,94,PH,314.02719513128200000000
