address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid
355 Buena Vista Avenue East #305W,1,1,730,climbsf_rented,http://www.climbsf.com/for-rent/355-buena-vista-avenue-east-305w/,-122.44,37.7673,130.553,rental,2700,closed,,2013-05-21,,Buena Vista Park/Ashbury Heights,6
"342 Upper Ter, San Francisco, CA 94117",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/342-Upper-Ter-San-Francisco-CA-94117/89238855_zpid/,-122.446,37.7625,157.982,rental,4600,open,,,2015-07-27,Buena Vista Park/Ashbury Heights,6
"355 Buena Vista Ave E UNIT 207, San Francisco, CA 94117",1,1,781,zillow_sf,http://www.zillow.com/homedetails/355-Buena-Vista-Ave-E-UNIT-207-San-Francisco-CA-94117/15126722_zpid/,-122.44,37.7673,130.553,rental,3900,open,,,2015-09-22,Buena Vista Park/Ashbury Heights,6
"109 Alpine Ter, San Francisco, CA 94117",4,5,4000,zillow_sf,http://www.zillow.com/homedetails/109-Alpine-Ter-San-Francisco-CA-94117/15126971_zpid/,-122.437,37.7688,101.11,rental,19985,open,,,2015-09-01,Buena Vista Park/Ashbury Heights,6
"1126 Ashbury St, San Francisco, CA 94117",2,1,1095,zillow_sf,http://www.zillow.com/homedetails/1126-Ashbury-St-San-Francisco-CA-94117/54854576_zpid/,-122.447,37.7627,134.112,rental,4795,open,,,2015-09-09,Buena Vista Park/Ashbury Heights,6
657 26th Avenue,2,1,1300,climbsf_rented,http://www.climbsf.com/for-rent/657-26th-ave/,-122.486,37.7771,58.5165,rental,3700,closed,,2013-12-26,,Central Richmond,7
374 27th Avenue,2,1,1350,climbsf_rented,http://www.climbsf.com/for-rent/374-27th-ave/,-122.487,37.7824,49.1082,rental,3900,closed,,2014-01-29,,Central Richmond,7
655 26th Avenue,2,1,1750,climbsf_rented,http://www.climbsf.com/for-rent/655-26th-ave/,-122.486,37.7771,59.403,rental,4600,closed,,2015-08-18,,Central Richmond,7
"14th Ave San Francisco, CA 94118",3,2,2105,zillow_sf,http://www.zillow.com/homedetails/14th-Ave-San-Francisco-CA-94118/2101815184_zpid/,-122.473,37.7802,51.89,rental,6500,open,,,2015-09-09,Central Richmond,7
"2443 Clement St # 7, San Francisco, CA 94121",2,2,0,zillow_sf,http://www.zillow.com/homedetails/2443-Clement-St-7-San-Francisco-CA-94121/2140944175_zpid/,-122.486,37.7818,44.4868,rental,3600,open,,,2015-09-23,Central Richmond,7
"846 30th Ave, San Francisco, CA 94121",3,2,1562,zillow_sf,http://www.zillow.com/homedetails/846-30th-Ave-San-Francisco-CA-94121/15099721_zpid/,-122.489,37.7733,46.7235,rental,6300,open,,,2015-09-18,Central Richmond,7
"570 20th Ave, San Francisco, CA 94121",2,1,1350,zillow_sf,http://www.zillow.com/homedetails/570-20th-Ave-San-Francisco-CA-94121/15095303_zpid/,-122.479,37.7771,48.1917,rental,4395,open,,,2015-09-22,Central Richmond,7
1384 29th Avenue,2,1,0,climbsf_renting,http://www.climbsf.com/for-rent/1384-29th-ave/,-122.488,37.7615,65.9977,rental,3400,open,,,2015-09-27,Central Sunset,8
