address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"2437 E Marmora St, Phoenix, AZ 85032",3,2,1400,zillow_ph,http://www.zillow.com/homedetails/2437-E-Marmora-St-Phoenix-AZ-85032/7820127_zpid/,-112.029,33.5995,438.825,,,1,rental,1200,open,,,2015-08-13,Paradise Valley,288,PH
"18418 N 30th Pl, Phoenix, AZ 85032",3,2,1230,zillow_ph,http://www.zillow.com/homedetails/18418-N-30th-Pl-Phoenix-AZ-85032/7999249_zpid/,-112.018,33.6538,447.874,,,1,rental,1200,open,,,2015-08-13,Paradise Valley,288,PH
"3121 W Roberta Dr, Phoenix, AZ 85083",4,2,1919,zillow_ph,http://www.zillow.com/homedetails/3121-W-Roberta-Dr-Phoenix-AZ-85083/55265072_zpid/,-112.127,33.7426,459.865,,,1,rental,1400,open,,,2015-08-18,Deer Valley,307,PH
"9005 W Avalon Dr, Phoenix, AZ 85037",4,2,1514,zillow_ph,http://www.zillow.com/homedetails/9005-W-Avalon-Dr-Phoenix-AZ-85037/55257113_zpid/,-112.253,33.4827,317.017,,,1,rental,975,open,,,2015-06-30,Maryvale,208,PH
"6810 S 39th Ln, Phoenix, AZ 85041",4,2,3159,zillow_ph,http://www.zillow.com/homedetails/6810-S-39th-Ln-Phoenix-AZ-85041/55258490_zpid/,-112.144,33.3841,316.724,,,1,rental,1295,open,,,2015-08-11,Laveen,158,PH
"3402 W Pershing Ave, Phoenix, AZ 85029",4,2,2132,zillow_ph,http://www.zillow.com/homedetails/3402-W-Pershing-Ave-Phoenix-AZ-85029/7741273_zpid/,-112.132,33.6053,387.031,,,1,rental,1200,open,,,2015-08-10,North Mountain,176,PH
"3322 W Shumway Farm Rd, Phoenix, AZ 85041",3,2,1553,zillow_ph,http://www.zillow.com/homedetails/3322-W-Shumway-Farm-Rd-Phoenix-AZ-85041/59899338_zpid/,-112.131,33.3839,322.876,,,1,rental,1050,open,,,2015-08-21,Laveen,158,PH
"15239 N 10th Pl, Phoenix, AZ 85022",4,3,3572,zillow_ph,http://www.zillow.com/homedetails/15239-N-10th-Pl-Phoenix-AZ-85022/8008545_zpid/,-112.059,33.625,441.421,,,1,rental,2500,open,,,2015-08-18,North Mountain,176,PH
"6032 S 22nd Dr, Phoenix, AZ 85041",3,2,1259,zillow_ph,http://www.zillow.com/homedetails/6032-S-22nd-Dr-Phoenix-AZ-85041/59272682_zpid/,-112.107,33.3907,329.184,,,1,rental,1095,open,,,2015-08-14,South Mountain,151,PH
"1109 E Wong Way, Phoenix, AZ 85040",2,1,1000,zillow_ph,http://www.zillow.com/homedetails/1109-E-Wong-Way-Phoenix-AZ-85040/60977511_zpid/,-112.057,33.3938,339.724,,,1,rental,795,open,,,2015-08-21,South Mountain,151,PH
"4040 E Desert Forest Trl, Cave Creek, AZ 85331",4,3,2732,zillow_ph,http://www.zillow.com/homedetails/4040-E-Desert-Forest-Trl-Cave-Creek-AZ-85331/52427809_zpid/,-111.994,33.7817,569.527,,,1,rental,1795,open,,,2015-08-14,Desert View,273,PH
"16634 S 28th Pl, Phoenix, AZ 85048",4,3,2340,zillow_ph,http://www.zillow.com/homedetails/16634-S-28th-Pl-Phoenix-AZ-85048/8158833_zpid/,-112.022,33.2937,363.143,,,1,rental,1750,open,,,2015-08-15,Ahwatukee Foothills 0,274,PH
"3136 W Pollack St, Phoenix, AZ 85041",3,2,1540,zillow_ph,http://www.zillow.com/homedetails/3136-W-Pollack-St-Phoenix-AZ-85041/60977172_zpid/,-112.127,33.3801,325.325,,,1,rental,1100,open,,,2015-07-12,Laveen,158,PH
"22212 N 29th Dr, Phoenix, AZ 85027",3,2,1529,zillow_ph,http://www.zillow.com/homedetails/22212-N-29th-Dr-Phoenix-AZ-85027/55265383_zpid/,-112.122,33.688,425.302,,,1,rental,1050,open,,,2015-08-21,Deer Valley,307,PH
"1607 S 79th Ln, Phoenix, AZ 85043",3,2,1685,zillow_ph,http://www.zillow.com/homedetails/1607-S-79th-Ln-Phoenix-AZ-85043/59271861_zpid/,-112.23,33.4331,308.744,,,1,rental,1075,open,,,2015-08-14,Estrella,157,PH
"12005 N 49th Dr, Glendale, AZ 85304",3,2,1700,zillow_ph,http://www.zillow.com/homedetails/12005-N-49th-Dr-Glendale-AZ-85304/7727413_zpid/,-112.165,33.5951,372.983,,,1,rental,950,open,,,2015-08-14,North Mountain,176,PH
"34806 N 31st Ave, Anthem, AZ 85086",3,2,1642,zillow_ph,http://www.zillow.com/homedetails/34806-N-31st-Ave-Anthem-AZ-85086/60981112_zpid/,-112.126,33.8009,515.153,,,1,rental,1300,open,,,2015-08-15,North Gateway,219,PH
"22617 N 19th Way, Phoenix, AZ 85024",5,2,2677,zillow_ph,http://www.zillow.com/homedetails/22617-N-19th-Way-Phoenix-AZ-85024/61629207_zpid/,-112.04,33.6923,467.484,,,1,rental,1800,open,,,2015-08-11,Desert View,273,PH
"24409 N 40th Ave, Glendale, AZ 85310",4,3,2723,zillow_ph,http://www.zillow.com/homedetails/24409-N-40th-Ave-Glendale-AZ-85310/7931443_zpid/,-112.145,33.7077,428.448,,,1,rental,1950,open,,,2015-08-21,Deer Valley,307,PH
"3220 S 81st Dr, Phoenix, AZ 85043",4,2,1529,zillow_ph,http://www.zillow.com/homedetails/3220-S-81st-Dr-Phoenix-AZ-85043/60975398_zpid/,-112.235,33.4191,305.965,,,1,rental,995,open,,,2015-08-11,Estrella,157,PH
"4328 N 42nd Pl, Phoenix, AZ 85018",3,2,1400,zillow_ph,http://www.zillow.com/homedetails/4328-N-42nd-Pl-Phoenix-AZ-85018/7835895_zpid/,-111.99,33.4996,375.405,,,1,rental,1550,open,,,2015-06-25,Camelback East,133,PH
"3836 E Mulberry Dr, Phoenix, AZ 85018",3,1,1007,zillow_ph,http://www.zillow.com/homedetails/3836-E-Mulberry-Dr-Phoenix-AZ-85018/7564450_zpid/,-111.998,33.487,363.525,,,1,rental,995,open,,,2015-08-21,Camelback East,133,PH
"42323 N 46th Dr, Phoenix, AZ 85086",3,2,2293,zillow_ph,http://www.zillow.com/homedetails/42323-N-46th-Dr-Phoenix-AZ-85086/67774906_zpid/,-112.159,33.8694,570.353,,,1,rental,1300,open,,,2015-08-21,New Village,249,PH
"17633 N 35th Way, Phoenix, AZ 85032",3,2,1661,zillow_ph,http://www.zillow.com/homedetails/17633-N-35th-Way-Phoenix-AZ-85032/7998295_zpid/,-112.003,33.6465,449.396,,,1,rental,1100,open,,,2015-08-16,Paradise Valley,288,PH
"2725 W Redwood Ln, Phoenix, AZ 85045",5,3,3152,zillow_ph,http://www.zillow.com/homedetails/2725-W-Redwood-Ln-Phoenix-AZ-85045/59265629_zpid/,-112.119,33.2923,336.955,,,1,rental,1995,open,,,2015-08-22,Ahwatukee Foothills 0,274,PH
"3002 W Tierra Buena Ln, Phoenix, AZ 85053",3,2,1822,zillow_ph,http://www.zillow.com/homedetails/3002-W-Tierra-Buena-Ln-Phoenix-AZ-85053/7954237_zpid/,-112.122,33.6291,399.509,,,1,rental,1150,open,,,2015-08-28,Deer Valley,307,PH
"4465 E Paradise Village Pkwy S, Phoenix, AZ 85032",2,2,1240,zillow_ph,http://www.zillow.com/homedetails/4465-E-Paradise-Village-Pkwy-S-Phoenix-AZ-85032/67805166_zpid/,-111.982,33.5955,419.952,,,1,rental,1400,open,,,2015-08-21,Paradise Valley,288,PH
"25426 N Hackberry Dr, Phoenix, AZ 85083",5,3,3482,zillow_ph,http://www.zillow.com/homedetails/25426-N-Hackberry-Dr-Phoenix-AZ-85083/52426580_zpid/,-112.147,33.7168,429.627,,,1,rental,1850,open,,,2015-08-21,Deer Valley,307,PH
"1656 E Mitchell Dr, Phoenix, AZ 85016",2,1,757,zillow_ph,http://www.zillow.com/homedetails/1656-E-Mitchell-Dr-Phoenix-AZ-85016/7540514_zpid/,-112.045,33.4891,343.449,,,1,rental,700,open,,,2015-08-23,Encanto,314,PH
"2407 W Via Dona Rd, Phoenix, AZ 85085",4,2,2232,zillow_ph,http://www.zillow.com/homedetails/2407-W-Via-Dona-Rd-Phoenix-AZ-85085/67791440_zpid/,-112.11,33.7405,462.685,,,1,rental,1495,open,,,2015-08-22,Deer Valley,307,PH
