"Address","Neighborhood","Bedrooms","Bathrooms","Price","Rented","Date","Source"
"7 Colby Street","Portola",3,2.0,3700,True,"02/07/2015","Climb SF"
"425 First Street #3308","Rincon Hill",1,1.0,4400,True,"02/05/2015","Climb SF"
"81 Lansing Street #408","Rincon Hill",1,1.0,4600,True,"02/03/2015","Climb SF"
"355 Bryant Street #401","South Beach",1,1.0,5995,True,"02/03/2015","Climb SF"
"250 King Street #776","Mission Bay",1,1.0,3500,True,"02/03/2015","Climb SF"
"1521 Sutter Street #206","Lower Pacific Heights",2,2.0,4650,True,"02/03/2015","Climb SF"
"101 Mateo Street","Glen Park",3,1.0,5100,True,"02/02/2015","Climb SF"
"539 Octavia Street #13","Hayes Valley",0,1.0,1995,True,"02/01/2015","Climb SF"
"325 Berry Street #314","Mission Bay",1,1.0,3700,True,"01/27/2015","Climb SF"
"539 Octavia Street #17","Hayes Valley",0,1.0,2375,True,"01/27/2015","Climb SF"
"301 Main Street #22A","South Beach",2,2.0,5800,True,"01/26/2015","Climb SF"
"18 Lansing Street #308","Rincon Hill",1,1.5,4200,True,"01/26/2015","Climb SF"
"727 Green Street","North Beach",2,2.0,4600,True,"01/26/2015","Climb SF"
"2035 9th Avenue","Golden Gate Heights",2,1.0,4600,True,"01/26/2015","Climb SF"
"301 Main Street #16E","South Beach",2,2.0,5400,True,"01/21/2015","Climb SF"
"2072 Vallejo Street","Pacific Heights",1,1.0,3575,True,"01/21/2015","Climb SF"
"400 Beale Street #1003","South Beach",2,2.0,4500,True,"01/20/2015","Climb SF"
"425 1st Street #3402","Rincon Hill",2,2.0,6600,True,"01/16/2015","Climb SF"
"219 Brannan St. #14K","South Beach",2,2.0,5895,True,"01/16/2015","Climb SF"
"333 Fremont Street #504","South Beach",1,1.0,3795,True,"01/16/2015","Climb SF"
"301 Main Street #18A","South Beach",2,2.0,5800,True,"01/14/2015","Climb SF"
"149 Chenery Street","Glen Park",2,1.0,3400,True,"01/12/2015","Climb SF"
"735 Geary Street #303","Downtown San Francisco",1,1.0,3000,True,"01/08/2015","Climb SF"
"55 Junior Terrace","Mission Terrace",3,1.0,3800,True,"01/08/2015","Climb SF"
"5800 Third Street #1204","Bayview",3,2.0,3900,True,"12/31/2014","Climb SF"
"318 Spear Street #5A","South Beach",1,1.0,3700,True,"12/23/2014","Climb SF"
"10 Mint Plaza #1","SOMA",2,2.0,8250,True,"12/23/2014","Climb SF"
"435 China Basin Street #639","Mission Bay",2,2.5,6100,True,"12/18/2014","Climb SF"
"219 Brannan Street #16K","South Beach",2,2.0,5995,True,"12/16/2014","Climb SF"
"637 Powell Street #202","Downtown San Francisco",2,1.0,4500,True,"12/12/2014","Climb SF"
"451 Kansas Street #571","Potrero Hill",1,1.0,3400,True,"12/09/2014","Climb SF"
"634 Missouri Street","Potrero Hill",2,2.0,4600,True,"12/09/2014","Climb SF"
