,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
508,"Carolina St San Francisco, CA 94107",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/Carolina-St-San-Francisco-CA-94107/2101594035_zpid/,-122.4,7250,,2015-07-24,Potrero Hill,-1028.8924951,6221.1075049
91,234 Grand View Avenue,3,2,1682,climbsf_rented,http://www.climbsf.com/for-rent/234-grand-view-ave/,-122.441,7300,2014-09-26,,Eureka Valley / Dolores Heights,-1051.28623239,6248.71376761
379,"25th St San Francisco, CA 94114",2,1,750,zillow_sf,http://www.zillow.com/homedetails/25th-St-San-Francisco-CA-94114/2103580042_zpid/,-122.434,4900,,2015-06-24,Noe Valley,-1054.75486787,3845.24513213
37,"1630 25th Ave, San Francisco, CA 94122",3,3,1320,zillow_sf,http://www.zillow.com/homedetails/1630-25th-Ave-San-Francisco-CA-94122/15109211_zpid/,-122.483,5950,,2015-07-18,Central Sunset,-1062.64383697,4887.35616303
265,"2202 17th Ave, San Francisco, CA 94116",3,3,1852,zillow_sf,http://www.zillow.com/homedetails/2202-17th-Ave-San-Francisco-CA-94116/15119883_zpid/,-122.474,7000,,2015-08-28,Inner Parkside,-1098.26251797,5901.73748203
288,"143 Riverton Dr, San Francisco, CA 94132",2,1,1208,zillow_sf,http://www.zillow.com/homedetails/143-Riverton-Dr-San-Francisco-CA-94132/15197901_zpid/,-122.487,5250,,2015-08-04,Lake Shore,-1099.49979827,4150.50020173
808,"135 Forest Side Ave, San Francisco, CA 94127",3,3,2100,zillow_sf,http://www.zillow.com/homedetails/135-Forest-Side-Ave-San-Francisco-CA-94127/15134122_zpid/,-122.469,6995,,2015-08-21,West Portal,-1102.15828365,5892.84171635
155,"1st St San Francisco, CA 94105",1,1,819,zillow_sf,http://www.zillow.com/homedetails/1st-St-San-Francisco-CA-94105/2101399621_zpid/,-122.395,5100,,2015-08-14,Yerba Buena,-1127.43133046,3972.56866954
105,"530 Noe St, San Francisco, CA 94114",2,2,1000,zillow_sf,http://www.zillow.com/homedetails/530-Noe-St-San-Francisco-CA-94114/2101885247_zpid/,-122.433,5900,,2015-09-18,Eureka Valley / Dolores Heights,-1137.02838165,4762.97161835
400,"Vallejo St San Francisco, CA 94133",0,1,425,zillow_sf,http://www.zillow.com/homedetails/Vallejo-St-San-Francisco-CA-94133/2104055538_zpid/,-122.41,4000,,2014-12-16,North Beach,-1138.84309109,2861.15690891
