,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,price,date_closed,date_listed,neighborhood,error,predicted_price
421,"438 Masonic Ave, San Francisco, CA 94118",1,1,1000,zillow_sf,http://www.zillow.com/homedetails/438-Masonic-Ave-San-Francisco-CA-94118/2101148181_zpid/,-122.447,3400,,2015-09-12,North Panhandle,1093.34177684,4493.34177684
18,301 Crescent Court #3107,2,2,892,climbsf_renting,http://www.climbsf.com/for-rent/301-crescent-ct-3107/,-122.419,3150,2015-08-27,2015-08-23,Bernal Heights,1082.58827247,4232.58827247
449,"1290 41st Ave, San Francisco, CA 94122",2,1,1250,zillow_sf,http://www.zillow.com/homedetails/1290-41st-Ave-San-Francisco-CA-94122/2101175347_zpid/,-122.5,3395,,2015-09-24,Outer Sunset,1075.16423136,4470.16423136
45,"1539 27th Ave, San Francisco, CA 94122",3,2,2208,zillow_sf,http://www.zillow.com/homedetails/1539-27th-Ave-San-Francisco-CA-94122/15107079_zpid/,-122.486,4900,,2015-09-22,Central Sunset,1071.56884532,5971.56884532
455,2072 Vallejo Street,1,1,1079,climbsf_rented,http://www.climbsf.com/for-rent/2072-vallejo-st/,-122.431,3575,2015-01-21,,Pacific Heights,1042.72721781,4617.72721781
496,223 Mississippi Street #2,2,1,2300,climbsf_rented,http://www.climbsf.com/for-rent/223-mississippi-st-2/,-122.395,5700,2014-11-05,,Potrero Hill,1039.56617976,6739.56617976
398,727 Green Street,2,2,1200,climbsf_rented,http://www.climbsf.com/for-rent/727-green-st/,-122.411,4600,2015-01-26,,North Beach,1018.56514189,5618.56514189
839,"401 Crescent Ct, San Francisco, CA 94134",1,1,1103,zillow_sf,http://www.zillow.com/homedetails/401-Crescent-Ct-San-Francisco-CA-94134/2103788395_zpid/,-122.388,1900,,2015-07-18,Candlestick Point,1001.87291116,2901.87291116
23,"3179 Cesar Chavez, San Francisco, CA 94110",3,2,1625,zillow_sf,http://www.zillow.com/homedetails/3179-Cesar-Chavez-San-Francisco-CA-94110/15159678_zpid/,-122.413,4900,,2015-09-23,Bernal Heights,998.306627531,5898.30662753
715,"300 Berry St, San Francisco, CA 94158",1,1,732,zillow_sf,http://www.zillow.com/homedetails/300-Berry-St-San-Francisco-CA-94158/2116368523_zpid/,-122.396,1800,,2012-10-15,South Beach,980.717325656,2780.71732566
106,"366 Eureka St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/366-Eureka-St-San-Francisco-CA-94114/2101107502_zpid/,-122.438,3950,,2015-09-18,Eureka Valley / Dolores Heights,979.575538511,4929.57553851
803,"185 Franklin St, San Francisco, CA 94102",2,1,900,zillow_sf,http://www.zillow.com/homedetails/185-Franklin-St-San-Francisco-CA-94102/2101118127_zpid/,-122.421,3200,,2015-09-26,Van Ness/Civic Center,971.080434163,4171.08043416
362,"1950A 15th St, San Francisco, CA 94114",3,1,1750,zillow_sf,http://www.zillow.com/homedetails/1950A-15th-St-San-Francisco-CA-94114/2101088852_zpid/,-122.428,6000,,2015-09-21,Mission Dolores,969.358034232,6969.35803423
126,16 Jessie St #407,1,1,450,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-407/,-122.399,2000,2011-12-20,,Yerba Buena,968.829492127,2968.82949213
841,"84 Jennings Ct, San Francisco, CA 94124",3,2,1475,zillow_sf,http://www.zillow.com/homedetails/84-Jennings-Ct-San-Francisco-CA-94124/15155020_zpid/,-122.397,3000,,2015-06-25,Bayview Heights,963.150864052,3963.15086405
662,601 Fourth Street #226,1,1,1174,climbsf_rented,http://www.climbsf.com/for-rent/601-4th-st-226/,-122.396,3650,2015-03-25,,South Beach,945.821411231,4595.82141123
263,"2570 16th Ave, San Francisco, CA 94116",3,2,2000,zillow_sf,http://www.zillow.com/homedetails/2570-16th-Ave-San-Francisco-CA-94116/15123074_zpid/,-122.472,4900,,2015-09-23,Inner Parkside,935.972351161,5835.97235116
4,"Anzavista Ave San Francisco, CA 94115",0,1,750,zillow_sf,http://www.zillow.com/homedetails/Anzavista-Ave-San-Francisco-CA-94115/2101488152_zpid/,-122.444,2295,,2015-08-05,Anza Vista,925.217964327,3220.21796433
515,"1117 De Haro St, San Francisco, CA 94107",1,1,800,zillow_sf,http://www.zillow.com/homedetails/1117-De-Haro-St-San-Francisco-CA-94107/15151571_zpid/,-122.4,2750,,2015-08-23,Potrero Hill,923.446683631,3673.44668363
388,"179 Chattanooga St, San Francisco, CA 94114",2,1,1200,zillow_sf,http://www.zillow.com/homedetails/179-Chattanooga-St-San-Francisco-CA-94114/2103720107_zpid/,-122.426,4000,,2015-08-31,Noe Valley,920.418606063,4920.41860606
631,260 King Street #605,2,2,1488,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st-605/,-122.394,4600,2014-10-02,,South Beach,919.674073659,5519.67407366
204,300 Ivy Street #500,2,2,1075,climbsf_rented,http://www.climbsf.com/for-rent/300-ivy-st-500/,-122.423,4900,2015-04-21,,Hayes Valley,916.488375867,5816.48837587
14,1688 Wallace Avenue #201,2,2,843,climbsf_renting,http://www.climbsf.com/for-rent/1688-wallace-ave-201/,-122.393,2950,,2015-09-27,Bayview,913.120886322,3863.12088632
210,"635 Waller St, San Francisco, CA 94117",2,1,1357,zillow_sf,http://www.zillow.com/homedetails/635-Waller-St-San-Francisco-CA-94117/82785584_zpid/,-122.434,5500,,2015-08-16,Hayes Valley,908.845199824,6408.84519982
175,205 Beacon Street,4,3,2200,climbsf_rented,http://www.climbsf.com/for-rent/205-beacon-st/,-122.432,6000,2014-09-17,,Glen Park,903.198710746,6903.19871075
412,"2247 Turk Blvd, San Francisco, CA 94118",3,2,1750,zillow_sf,http://www.zillow.com/homedetails/2247-Turk-Blvd-San-Francisco-CA-94118/15084910_zpid/,-122.446,6100,,2015-09-09,North Panhandle,898.900111041,6998.90011104
583,18 Lansing Street #201,2,2,1173,climbsf_rented,http://www.climbsf.com/for-rent/18-lansing-st-201/,-122.394,3700,2013-11-25,,South Beach,894.08039496,4594.08039496
116,"Vienna St San Francisco, CA 94112",3,2,1700,zillow_sf,http://www.zillow.com/homedetails/Vienna-St-San-Francisco-CA-94112/2101340414_zpid/,-122.429,4650,,2015-08-21,Excelsior,880.09758752,5530.09758752
550,1782 Quint Street,3,2,1270,climbsf_rented,http://www.climbsf.com/for-rent/1782-quint-st/,-122.399,3600,2014-07-07,,Silver Terrace,868.190727003,4468.190727
201,539 Octavia Street #9,0,1,180,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-9/,-122.425,1500,2015-03-18,,Hayes Valley,867.222120315,2367.22212032
753,520 6th Street #16,2,2,1560,climbsf_rented,http://www.climbsf.com/for-rent/520-6th-st-16/,-122.402,4900,2015-04-16,,South of Market,852.78876046,5752.78876046
240,891 York Street,2,1,900,climbsf_rented,http://www.climbsf.com/for-rent/891-york-st/,-122.409,3400,2015-06-16,,Inner Mission,849.986287473,4249.98628747
486,7 Colby Street,3,2,1400,climbsf_rented,http://www.climbsf.com/for-rent/7-colby-st/,-122.415,3700,2015-02-07,,Portola,836.178490362,4536.17849036
558,201 Harrison Street #711,1,1,795,climbsf_rented,http://www.climbsf.com/for-rent/201-harrison-st-711/,-122.39,2600,2013-02-28,,South Beach,831.41822174,3431.41822174
202,539 Octavia Street #11,0,1,200,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-11/,-122.425,1600,2015-03-30,,Hayes Valley,831.416016521,2431.41601652
430,"2933 Yorba St, San Francisco, CA 94116",3,2,1500,zillow_sf,http://www.zillow.com/homedetails/2933-Yorba-St-San-Francisco-CA-94116/15126276_zpid/,-122.498,4799,,2015-08-15,Outer Parkside,828.328383957,5627.32838396
220,121 Steiner Street,3,1,1600,climbsf_renting,http://www.climbsf.com/for-rent/121-steiner-st/,-122.432,6500,,2015-09-27,Hayes Valley,820.707182621,7320.70718262
445,"890 35th Ave, San Francisco, CA 94121",4,1,2360,zillow_sf,http://www.zillow.com/homedetails/890-35th-Ave-San-Francisco-CA-94121/15099939_zpid/,-122.495,4950,,2015-09-10,Outer Richmond,814.811524805,5764.81152481
366,"Mission St San Francisco, CA 94112",2,2,844,zillow_sf,http://www.zillow.com/homedetails/Mission-St-San-Francisco-CA-94112/2101706096_zpid/,-122.438,2950,,2015-08-21,Mission Terrace,812.867851778,3762.86785178
134,301 Mission Street #14D,1,1,789,climbsf_rented,http://www.climbsf.com/for-rent/301-mission-st-14d/,-122.396,2950,2014-06-20,,Yerba Buena,809.775895216,3759.77589522
200,539 Octavia Street #4,0,1,300,climbsf_rented,http://www.climbsf.com/for-rent/539-octavia-st-4/,-122.425,1950,2015-02-16,,Hayes Valley,802.385497551,2752.38549755
506,"San Bruno Ave San Francisco, CA 94107",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/San-Bruno-Ave-San-Francisco-CA-94107/2107187073_zpid/,-122.405,4900,,2014-11-19,Potrero Hill,-809.198989265,4090.80101073
609,301 Main Street #14F,2,2,1307,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-14f/,-122.391,5950,2014-04-22,,South Beach,-813.930078904,5136.0699211
797,"Van Ness Ave San Francisco, CA 94102",1,1,832,zillow_sf,http://www.zillow.com/homedetails/Van-Ness-Ave-San-Francisco-CA-94102/2104531446_zpid/,-122.419,4700,,2015-08-29,Van Ness/Civic Center,-820.836592232,3879.16340777
560,338 Spear Street #18B,2,2,1322,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-18b/,-122.391,5700,2013-03-04,,South Beach,-822.906751601,4877.0932484
579,301 Main Street #6B,2,2,1793,climbsf_rented,http://www.climbsf.com/for-rent/301-main-st-6b/,-122.391,6600,2013-10-01,,South Beach,-828.282228314,5771.71777169
