,address,ypred,list,gain-loss,rent,cap rate
1072473,"1546 E Megan St, Chandler, AZ 85225",158659.203125,117308,41351.203125,4439.701171875,0.4541584040517271
330649,"4518 N 15th Ave, Phoenix, AZ 85015",156199.40625,115000,41199.40625,4439.701171875,0.4632731657608696
1921063,"5311 W Fawn Dr, Laveen, AZ 85339",143891.75,102900,40991.75,3240.236572265625,0.3778701636904762
1000099,"2331 E Derringer Way, Chandler, AZ 85286 ",161247.0625,120500,40747.0625,4439.701171875,0.44212791753112035
7407935,"921 S Val Vista Dr, Mesa, AZ 85204 ",220655.546875,179975,40680.546875,3064.455322265625,0.2043254054382553
95475,"2258 W Angel Way, Queen Creek, AZ 85142 ",215655.546875,175000,40655.546875,3240.236572265625,0.22218765625
104248,"3132 W Yellow Peak Dr, San Tan Valley, AZ 85142 ",195543.359375,154900,40643.359375,4718.021484375,0.3655019871691414
805635,"3445 E Carol Ave, Mesa, AZ 85204 ",130591.28125,90000,40591.28125,3240.236572265625,0.43203155381944447
410860,"5021 W Mescal St, Glendale, AZ 85304",205507.125,165000,40507.125,14032.087890625,1.0205155303030302
41966,"6512 W Crown King Rd, Phoenix, AZ 85043",133430.453125,93000,40430.453125,3240.236572265625,0.4180950520833333
1550560,"26453 S Pima Pl, Sun Lakes, AZ 85248 ",192862.65625,152500,40362.65625,14032.087890625,1.104164344262295
353092,"7326 W Pueblo Ave, Phoenix, AZ 85043",190261.890625,149900,40361.890625,14032.087890625,1.123315960640427
1483788,"18018 N 113th Ave, Surprise, AZ 85378",155153.3125,115000,40153.3125,3240.236572265625,0.3381116508152174
382973,"3228 W Glendale Ave, Phoenix, AZ 85051 ",123855.6640625,83900,39955.6640625,3240.236572265625,0.4634426679827175
1263745,"2834 E Megan St, Gilbert, AZ 85295 ",166902.546875,127000,39902.546875,3240.236572265625,0.306164093257874
331024,"10210 N 15th Ave, Phoenix, AZ 85021",158777.53125,118900,39877.53125,7168.81103515625,0.7235133252733389
329362,"2409 W Marshall Ave, Phoenix, AZ 85015",209679.109375,169900,39779.109375,4439.701171875,0.3135751269128899
2068029,"348 Leisure World, Mesa, AZ 85206 ",239321.984375,199800,39521.984375,28814.0390625,1.7305729166666666
38398,"5330 S 15th St, Phoenix, AZ 85040",223468.046875,184000,39468.046875,3240.236572265625,0.21131978175951088
1860581,"16019 N 67th Ln, Peoria, AZ 85382",129402.5390625,90000,39402.5390625,3240.236572265625,0.43203155381944447
426463,"4545 N 67th Ave, Phoenix, AZ 85033 ",123855.6640625,84500,39355.6640625,3240.236572265625,0.4601519508136095
330996,"10207 N 16th Ave, Phoenix, AZ 85021",127350.953125,88000,39350.953125,59648.87890625,8.133938210227273
996045,"1931 W Armstrong Way, Chandler, AZ 85286 ",264134.5625,224990,39144.5625,3245.119384765625,0.17308073067136318
90075,"21027 S 194th St, Queen Creek, AZ 85142",198011.828125,159000,39011.828125,3240.236572265625,0.24454616253930817
100525,"2864 W Allens Peak Dr, Queen Creek, AZ 85142 ",183753.0625,145000,38753.0625,4718.021484375,0.39045695043103446
1491956,"17405 W Mandalay Ln, Surprise, AZ 85388",168490.671875,129900,38590.671875,3240.236572265625,0.2993290211220169
1882745,"1053 N Dresden, Mesa, AZ 85203 ",228468.046875,189900,38568.046875,3240.236572265625,0.2047542909096893
642545,"627 W Pecos Ave, Mesa, AZ 85210",138560.03125,100000,38560.03125,4718.021484375,0.566162578125
14422,"6526 W Georgia Ave, Glendale, AZ 85301",146469.875,108000,38469.875,3064.455322265625,0.340495044849537
345310,"17411 N 16th Pl, Phoenix, AZ 85022 ",148325.65625,109900,38425.65625,3240.236572265625,0.3538020003980892
228242,"1727 E Blackhawk Dr, Phoenix, AZ 85024 ",245415.734375,207000,38415.734375,4718.021484375,0.2735084918478261
486501,"4828 W Encanto Blvd, Phoenix, AZ 85035 ",157317.40625,119000,38317.40625,3064.455322265625,0.30902071297268907
36938,"444 E Pecan Rd, Phoenix, AZ 85040 ",137231.90625,99000,38231.90625,7790.416015625,0.9442928503787879
828891,"3611 W Hazelwood St, Phoenix, AZ 85019",138110.5,100000,38110.5,3420.900634765625,0.4105080859375
1559684,"652 Chaparral, Wickenburg, AZ 85390",237551.4375,199500,38051.4375,35221.05859375,2.118559837092732
359109,"12156 W Miami St, Tolleson, AZ 85353",162893.625,125000,37893.625,7790.416015625,0.7478799375
224984,"1337 E Sequoia Dr, Phoenix, AZ 85024",127350.953125,89500,37850.953125,3240.236572265625,0.4344451379189944
1671642,"23431 N 121st Ave, Sun City, AZ 85373",242495.234375,205000,37495.234375,4064.20947265625,0.2379049542682927
239452,"17242 N 16th Dr, Phoenix, AZ 85023 ",127350.953125,89900,37450.953125,7512.095703125,1.0027269014182425
315141,"2018 N 16th Ave, Phoenix, AZ 85007",127350.953125,89900,37450.953125,3420.900634765625,0.4566274593298109
331401,"10240 N 13th Ave, Phoenix, AZ 85021",127350.953125,89900,37450.953125,38223.5,5.102135706340378
767680,"6131 E Cicero St, Mesa, AZ 85205 ",137231.90625,100000,37231.90625,3064.455322265625,0.3677346484375
1354577,"6507 W Rose Ln, Glendale, AZ 85301",127215.0390625,90000,37215.0390625,3240.236572265625,0.43203155381944447
503272,"4746 N 26th Dr, Phoenix, AZ 85017",117119.9296875,79950,37169.9296875,3240.236572265625,0.4863394602095059
207664,"2711 E Fairmount Ave, Phoenix, AZ 85016 ",201046.375,164000,37046.375,35494.49609375,2.5971581554878047
1845921,"7750 E Broadway Rd LOT 170, Mesa, AZ 85208",126022.828125,89000,37022.828125,68664.265625,9.25810323033708
81876,"18218 E County Down Dr, Queen Creek, AZ 85142 ",166902.546875,129900,37002.546875,4439.701171875,0.41013405744803694
1705911,"20407 N 133rd Dr, Sun City West, AZ 85375 ",174807.796875,137908,36899.796875,3240.236572265625,0.281947674128767
18254,"6734 W Karen Lee Ln, Peoria, AZ 85382",148891.75,112000,36891.75,7512.095703125,0.8048673967633928
308225,"40238 N Acadia Ct, Anthem, AZ 85086 ",159588.5625,122700,36888.5625,3240.236572265625,0.3168935602587612
600802,"238 S 54th Pl, Mesa, AZ 85206",119382.203125,82500,36882.203125,3240.236572265625,0.4713071496212121
1592893,"6600 Castle Hot Springs, Castle Hot Springs, AZ 85342",235758.609375,199000,36758.609375,3240.236572265625,0.1953911549937186
1046149,"6218 S Pinehurst Dr, Chandler, AZ 85249 ",133991.578125,97490,36501.578125,14315.291015625,1.7620627756692995
358476,"10417 W Forest Grove Ave, Tolleson, AZ 85353",164378.28125,127900,36478.28125,14315.291015625,1.3431078967943706
106184,"33129 N North Butte Dr, San Tan Valley, AZ 85142 ",200343.046875,163900,36443.046875,14491.072265625,1.060969341061623
764722,"5522 E Covina Rd, Mesa, AZ 85205 ",131199.421875,95000,36199.421875,11584.689453125,1.4633292763157895
646702,"732 W Posada Ave, Mesa, AZ 85210 ",186143.90625,150000,36143.90625,11301.486328125,0.9041189583333333
579082,"5735 E Mcdowell Rd LOT 243, Mesa, AZ 85215",126022.828125,89900,36122.828125,11584.689453125,1.5463435066740823
595764,"248 N Hawes Rd, Mesa, AZ 85207",126022.828125,89900,36122.828125,3240.236572265625,0.4325121228448276
277361,"29425 N 22nd Ave, Phoenix, AZ 85085",176070.625,139999,36071.625,11584.689453125,0.992980530218073
319982,"1314 W Elm St, Phoenix, AZ 85013",145903.78125,109900,36003.78125,11584.689453125,1.2649343152866241
959081,"3636 W Harrison St, Chandler, AZ 85226 ",166902.546875,130900,36002.546875,11584.689453125,1.0620036764705882
259445,"23624 N 38th Dr, Glendale, AZ 85310",184976.875,149000,35976.875,68386.6171875,5.507646812080537
20547,"15611 N 15th Dr, Phoenix, AZ 85023",145903.78125,110000,35903.78125,3004.63916015625,0.32777883522727275
7399742,"1111 S Sossaman Rd, Mesa, AZ 85209 ",109694.703125,74000,35694.703125,14315.291015625,2.321398648648649
392941,"4219 W Northview Ave, Phoenix, AZ 85051 ",112683.7890625,77000,35683.7890625,11584.689453125,1.80540625
7407935,"921 S Val Vista Dr, Mesa, AZ 85204 ",220655.546875,185000,35655.546875,4439.701171875,0.28798061655405405
1107842,"1098 W Whitten St, Chandler, AZ 85224 ",155534.203125,120000,35534.203125,23004.078125,2.3004078125
197578,"4118 W Saint Kateri Dr, Phoenix, AZ 85041 ",190261.890625,154900,35361.890625,5294.193359375,0.4101376392027114
6815,"7529 N 47th Dr, Glendale, AZ 85301 ",110212.0625,74900,35312.0625,3064.455322265625,0.49096748790053407
6815,"7529 N 47th Dr, Glendale, AZ 85301 ",110212.0625,74900,35312.0625,4718.021484375,0.7558912925567424
135206,"17200 W Bell Rd LOT 430, Surprise, AZ 85374",118180.8125,82900,35280.8125,4439.701171875,0.6426587944813028
1261835,"2646 S Seton Ave, Gilbert, AZ 85295 ",145200.65625,110000,35200.65625,3240.236572265625,0.3534803622159091
1178067,"1256 S Saguaro St, Gilbert, AZ 85233 ",145200.65625,110000,35200.65625,4439.701171875,0.48433103693181817
241464,"2101 W Mcrae Way, Phoenix, AZ 85027",119715.0390625,84600,35115.0390625,4410.404296875,0.6255892619680851
312550,"1517 W Taylor St, Phoenix, AZ 85007",110085.328125,75000,35085.328125,4439.701171875,0.7103521875
311960,"1333 W Cocopah St, Phoenix, AZ 85007 ",110085.328125,75000,35085.328125,3240.236572265625,0.5184378645833333
1305732,"17302 E Brooks Farm Rd, Gilbert, AZ 85298",148325.65625,113375,34950.65625,3420.900634765625,0.3620798993936053
672800,"7632 E Hampton Ave, Mesa, AZ 85209",119382.203125,84500,34882.203125,4439.701171875,0.6304901072485207
648455,"2327 W Obispo Ave, Mesa, AZ 85202",148855.65625,114000,34855.65625,11301.486328125,1.1896302083333334
7394996,"10645 W Oakmont Dr, Sun City, AZ 85351 ",137719.875,102900,34819.875,4898.685546875,0.5712752824344023
763165,"5202 E Baltimore St, Mesa, AZ 85205 ",109694.703125,74900,34794.703125,3004.63916015625,0.48138413718291057
676946,"4726 E Belleview St, Phoenix, AZ 85008",109694.703125,74900,34794.703125,3240.236572265625,0.5191300379672897
7405262,"1111 N 25th St, Phoenix, AZ 85008 ",109694.703125,74900,34794.703125,3420.900634765625,0.5480748810914553
135237,"17200 W Bell Rd LOT 601, Surprise, AZ 85374",104508.9375,69900,34608.9375,4439.701171875,0.7621804586909872
385934,"1729 W Cortez St, Phoenix, AZ 85029 ",234561.796875,200000,34561.796875,5784.916015625,0.3470949609375
135135,"17200 W Bell Rd LOT 2181, Surprise, AZ 85374",104508.9375,69950,34558.9375,65851.7734375,11.296944245889922
7393353,"18553 W Legend Dr, Surprise, AZ 85374 ",224526.5,190000,34526.5,11301.486328125,0.713778125
135150,"17200 W Bell Rd LOT 2234, Surprise, AZ 85374",104508.9375,70000,34508.9375,11584.689453125,1.985946875
20606,"2029 W Coolbrook Ave, Phoenix, AZ 85023",222443.59375,188000,34443.59375,3240.236572265625,0.20682361619015957
1273391,"4433 E Megan St, Gilbert, AZ 85295 ",234321.984375,199900,34421.984375,11584.689453125,0.6954291208104052
1003488,"2651 E Wesson Dr, Chandler, AZ 85286 ",234321.984375,200000,34321.984375,11584.689453125,0.69508140625
7386949,"7126 N 19th Ave, Phoenix, AZ 85021 ",109198.53125,74900,34298.53125,4439.701171875,0.7113005882843791
581814,"10812 E Rafael Cir, Mesa, AZ 85212",259134.5625,225000,34134.5625,24371.265625,1.2998008333333333
6975,"603 S Grand, Mesa, AZ 85210",123913.453125,89900,34013.453125,11301.486328125,1.5085410873192435
40698,"4111 S 73rd Dr, Phoenix, AZ 85043",143891.75,109900,33991.75,7790.416015625,0.8506368715878071
601404,"345 S 58th Pl, Mesa, AZ 85206",113913.453125,79950,33963.453125,3240.236572265625,0.4863394602095059
796268,"2906 E Impala Ave, Mesa, AZ 85204 ",113913.453125,80000,33913.453125,7790.416015625,1.16856240234375
785605,"1259 E Harmony Cir, Mesa, AZ 85204 ",113913.453125,80000,33913.453125,38418.8125,5.762821875
1319386,"5008 S Stonecreek Blvd, Gilbert, AZ 85298 ",215655.546875,181900,33755.546875,4439.701171875,0.292888477528862
1356795,"7418 N 53rd Ave, Glendale, AZ 85301",105710.328125,72000,33710.328125,10518.4208984375,1.7530700954861111
1493277,"17542 W Columbine Dr, Surprise, AZ 85388",201696.09375,168007,33689.09375,4718.021484375,0.3369874934526538
