address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"38627 Cherry Ln, Fremont, CA 94536",3,2,1189,zillow_alameda_county,http://www.zillow.com/homedetails/38627-Cherry-Ln-Fremont-CA-94536/2105657360_zpid/,-121.972,37.5655,21.1483,1974,0,1,rental,1890,closed,,2015-07-30,,FREMONT,348,BAY_AREA
"6489 Bantry Bay St, Dublin, CA 94568",3,3,1460,zillow_alameda_county,http://www.zillow.com/homedetails/6489-Bantry-Bay-St-Dublin-CA-94568/122160575_zpid/,-121.911,37.7056,100.988,2014,0,1,rental,3100,open,,,2015-10-27,DUBLIN,342,BAY_AREA
"7521 Birkdale Dr, Newark, CA 94560",5,3,1774,zillow_alameda_county,http://www.zillow.com/homedetails/7521-Birkdale-Dr-Newark-CA-94560/24923009_zpid/,-122.052,37.5381,4.10106,1965,0,1,rental,3280,open,,,2015-10-28,NEWARK,366,BAY_AREA
"804 York St, Oakland, CA 94610",1,1,1000,zillow_alameda_county,http://www.zillow.com/homedetails/804-York-St-Oakland-CA-94610/2101952230_zpid/,-122.244,37.8128,28.0472,,0,1,rental,3000,open,,,2015-10-28,OAKLAND,369,BAY_AREA
"1470 Highland Blvd, Hayward, CA 94542",2,1,1183,zillow_alameda_county,http://www.zillow.com/homedetails/1470-Highland-Blvd-Hayward-CA-94542/24982273_zpid/,-122.066,37.6647,105.622,1947,1,1,rental,2150,open,,,2015-10-28,HAYWARD,351,BAY_AREA
"7324 Thames Ct, Dublin, CA 94568",3,2,1418,zillow_alameda_county,http://www.zillow.com/homedetails/7324-Thames-Ct-Dublin-CA-94568/25065135_zpid/,-121.925,37.7143,103.054,1973,0,1,rental,2900,open,,,2015-10-28,DUBLIN,342,BAY_AREA
"4212 Montgomery St, Oakland, CA 94611",1,1,750,zillow_alameda_county,http://www.zillow.com/homedetails/4212-Montgomery-St-Oakland-CA-94611/2100731938_zpid/,-122.252,37.8291,45.4009,1910,0,1,rental,2200,open,,,2015-10-28,OAKLAND,369,BAY_AREA
"1474 Highland Blvd, Hayward, CA 94542",2,1,1183,zillow_alameda_county,http://www.zillow.com/homedetails/1474-Highland-Blvd-Hayward-CA-94542/2100724457_zpid/,-122.065,37.6649,114.32,,0,1,rental,2050,open,,,2015-10-28,HAYWARD,351,BAY_AREA
"311 2nd St APT 511, Oakland, CA 94607",2,2,1250,zillow_alameda_county,http://www.zillow.com/homedetails/311-2nd-St-APT-511-Oakland-CA-94607/2100730093_zpid/,-122.273,37.7946,3.92907,2009,0,5,rental,4500,open,,,2015-10-28,OAKLAND,369,BAY_AREA
"4300 Market St APT A, Emeryville, CA 94608",2,1,750,zillow_alameda_county,http://www.zillow.com/homedetails/4300-Market-St-APT-A-Emeryville-CA-94608/2100724862_zpid/,-122.273,37.8332,23.0027,,0,1,rental,2000,open,,,2015-10-28,EMERYVILLE,345,BAY_AREA
