address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"141 Junipero Serra Blvd, San Francisco, CA 94127",3,2,4138,zillow_sf,http://www.zillow.com/homedetails/141-Junipero-Serra-Blvd-San-Francisco-CA-94127/15141466_zpid/,-122.471,37.7327,86.3406,1934,0,1,,0.00451774,49561,rental,6800,closed,33,2016-01-06,2015-12-04,Balboa Terrace,3,SF
"141 Junipero Serra Blvd, San Francisco, CA 94127",3,2,4138,zillow_sf,http://www.zillow.com/homedetails/141-Junipero-Serra-Blvd-San-Francisco-CA-94127/15141466_zpid/,-122.471,37.7327,86.3406,1934,0,1,,0.00451774,81857,rental,6200,closed,32,2016-02-26,2016-01-25,Balboa Terrace,3,SF
"141 Junipero Serra Blvd, San Francisco, CA 94127",3,2,4138,zillow_sf,http://www.zillow.com/homedetails/141-Junipero-Serra-Blvd-San-Francisco-CA-94127/15141466_zpid/,-122.471,37.7327,86.3406,1934,0,1,,0.00451774,138201,rental,5950,open,,,2016-03-05,Balboa Terrace,3,SF
"369 Santa Ana Ave, San Francisco, CA 94127",3,2,2242,zillow_sf,http://www.zillow.com/homedetails/369-Santa-Ana-Ave-San-Francisco-CA-94127/15141625_zpid/,-122.468,37.7301,95.5353,1927,0,1,,0.00122066,82247,rental,6800,open,,,2016-01-29,Balboa Terrace,3,SF
"369 Santa Ana Ave, San Francisco, CA 94127",3,2,2242,zillow_sf,http://www.zillow.com/homedetails/369-Santa-Ana-Ave-San-Francisco-CA-94127/15141625_zpid/,-122.468,37.7301,95.5353,1927,0,1,,0.00122066,101345,rental,6500,open,,,2016-02-02,Balboa Terrace,3,SF
"369 Santa Ana Ave, San Francisco, CA 94127",3,2,2242,zillow_sf,http://www.zillow.com/homedetails/369-Santa-Ana-Ave-San-Francisco-CA-94127/15141625_zpid/,-122.468,37.7301,95.5353,1927,0,1,,0.00122066,121575,rental,6000,open,,,2016-02-22,Balboa Terrace,3,SF
5800 Third Street #1109,3,3,1500,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1109/,-122.395,37.7253,7.88801,,,11,,0.00687314,212,rental,4500,closed,,2014-09-30,,Bayview,4,SF
5800 Third Street #1204,3,2,1309,climbsf_rented,http://www.climbsf.com/for-rent/5800-3rd-st-1204/,-122.395,37.7253,7.88801,,,12,,0.00687314,252,rental,3900,closed,,2014-12-31,,Bayview,4,SF
1766 Oakdale Avenue,2,2,1286,climbsf_rented,http://www.climbsf.com/for-rent/1766-oakdale-ave/,-122.393,37.7366,16.1859,,,1,,0.0161645,359,rental,0,closed,,2015-07-21,,Bayview,4,SF
1766 Oakdale Avenue,2,2,1286,climbsf_rented,http://www.climbsf.com/for-rent/1766-oakdale-ave/,-122.393,37.7366,16.1859,,,1,,0.0161645,8979,rental,0,closed,,2015-10-04,,Bayview,4,SF
5800 Third Street #1411,1,1,817,climbsf_renting,http://www.climbsf.com/for-rent/5800-3rd-st-1411/,-122.395,37.7253,7.88801,,,14,,0.00687314,381,rental,2900,closed,3,2015-08-26,2015-08-23,Bayview,4,SF
"981 Ingerson Ave, San Francisco, CA 94124",3,3,1550,zillow_sf,http://www.zillow.com/homedetails/981-Ingerson-Ave-San-Francisco-CA-94124/15154852_zpid/,-122.393,37.7188,27.5464,1913,0,1,,0.001,4888,rental,5300,closed,23,2015-10-01,2015-09-08,Bayview,4,SF
"1371 Palou Ave, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/1371-Palou-Ave-San-Francisco-CA-94124/15153741_zpid/,-122.387,37.7313,31.8867,1900,0,1,,,4866,rental,4200,closed,55,2015-10-28,2015-09-03,Bayview,4,SF
"1371 Palou Ave, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/1371-Palou-Ave-San-Francisco-CA-94124/15153741_zpid/,-122.387,37.7313,31.8867,1900,0,1,,,5798,rental,3750,closed,9,2015-10-07,2015-09-28,Bayview,4,SF
"1371 Palou Ave, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/1371-Palou-Ave-San-Francisco-CA-94124/15153741_zpid/,-122.387,37.7313,31.8867,1900,0,1,,,11869,rental,3450,closed,2,2015-10-06,2015-10-04,Bayview,4,SF
"27 Latona St, San Francisco, CA 94124",2,1,970,zillow_sf,http://www.zillow.com/homedetails/27-Latona-St-San-Francisco-CA-94124/15157659_zpid/,-122.392,37.732,32.4873,1960,0,1,,,5769,rental,3400,open,,,2015-09-16,Bayview,4,SF
"27 Latona St, San Francisco, CA 94124",2,1,970,zillow_sf,http://www.zillow.com/homedetails/27-Latona-St-San-Francisco-CA-94124/15157659_zpid/,-122.392,37.732,32.4873,1960,0,1,,,15269,rental,3250,closed,21,2015-10-28,2015-10-07,Bayview,4,SF
1688 Wallace Avenue #201,2,2,843,climbsf_renting,http://www.climbsf.com/for-rent/1688-wallace-ave-201/,-122.393,37.7285,11.1084,,,2,,,4275,rental,2950,closed,5,2015-10-02,2015-09-27,Bayview,4,SF
1688 Wallace Avenue #201,2,2,843,climbsf_renting,http://www.climbsf.com/for-rent/1688-wallace-ave-201/,-122.393,37.7285,11.1084,,,2,,,8021,rental,2950,closed,,2015-10-03,,Bayview,4,SF
"55 Lucy St, San Francisco, CA 94124",2,1,1000,zillow_sf,http://www.zillow.com/homedetails/55-Lucy-St-San-Francisco-CA-94124/15158913_zpid/,-122.393,37.73,24.4766,1930,0,1,,,7115,rental,3100,open,,,2015-09-29,Bayview,4,SF
"Jerrold Ave San Francisco, CA 94124",3,2,0,zillow_sf,http://www.zillow.com/homedetails/Jerrold-Ave-San-Francisco-CA-94124/2100979623_zpid/,-122.388,37.7377,23.9183,,0,1,,,7133,rental,3475,closed,4,2015-10-04,2015-09-30,Bayview,4,SF
