address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
"9270 E Thompson Peak Pkwy UNIT 301, Scottsdale, AZ 85255",3,2,2189,zillow_ph,http://www.zillow.com/homedetails/9270-E-Thompson-Peak-Pkwy-UNIT-301-Scottsdale-AZ-85255/55268503_zpid/,-111.887,33.6771,558.161,rental,3300,open,,,2015-10-02,North Scottsdale,94,PH
"11515 N 91st St UNIT 115, Scottsdale, AZ 85260",2,2,1372,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-115-Scottsdale-AZ-85260/8059230_zpid/,-111.883,33.5903,422.992,rental,1375,open,,,2015-10-02,North Scottsdale,94,PH
"23685 N 75th Pl, Scottsdale, AZ 85255",2,2,1625,zillow_ph,http://www.zillow.com/homedetails/23685-N-75th-Pl-Scottsdale-AZ-85255/7982469_zpid/,-111.917,33.7015,577.927,rental,1850,open,,,2015-10-02,North Scottsdale,94,PH
"20100 N 78th Pl APT 1146, Scottsdale, AZ 85255",1,1,786,zillow_ph,http://www.zillow.com/homedetails/20100-N-78th-Pl-APT-1146-Scottsdale-AZ-85255/67806216_zpid/,-111.911,33.6682,512.78,rental,975,open,,,2015-10-02,North Scottsdale,94,PH
"8787 E Mountain View Rd APT 1064, Scottsdale, AZ 85258",1,1,900,zillow_ph,http://www.zillow.com/homedetails/8787-E-Mountain-View-Rd-APT-1064-Scottsdale-AZ-85258/67806958_zpid/,-111.891,33.5738,411.86,rental,1049,open,,,2015-10-02,North Scottsdale,94,PH
"8413 E Belgian Trl, Scottsdale, AZ 85258",4,2,2500,zillow_ph,http://www.zillow.com/homedetails/8413-E-Belgian-Trl-Scottsdale-AZ-85258/7865300_zpid/,-111.899,33.5799,414.782,rental,2500,open,,,2015-10-02,North Scottsdale,94,PH
"11260 N 92nd St APT 1070, Scottsdale, AZ 85260",3,2,1507,zillow_ph,http://www.zillow.com/homedetails/11260-N-92nd-St-APT-1070-Scottsdale-AZ-85260/8064017_zpid/,-111.884,33.5886,422.578,rental,1650,open,,,2015-10-02,North Scottsdale,94,PH
"425 E 2nd Ave, Mesa, AZ 85204",1,1,800,zillow_ph,http://www.zillow.com/homedetails/425-E-2nd-Ave-Mesa-AZ-85204/88793704_zpid/,-111.822,33.411,376.647,rental,560,closed,3,2015-09-29,2015-09-26,West Central,107,PH
"214 S Udall, Mesa, AZ 85204",1,1,800,zillow_ph,http://www.zillow.com/homedetails/214-S-Udall-Mesa-AZ-85204/2107561932_zpid/,-111.822,33.4108,376.689,rental,560,closed,3,2015-09-29,2015-09-26,West Central,107,PH
"210 S Udall, Mesa, AZ 85204",1,1,800,zillow_ph,http://www.zillow.com/homedetails/210-S-Udall-Mesa-AZ-85204/2105018186_zpid/,-111.822,33.4109,376.669,rental,560,closed,3,2015-09-29,2015-09-26,West Central,107,PH
