property_id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
2514,"11515 N 91st St UNIT 140, Scottsdale, AZ 85260",2,2,1270,zillow_ph,http://www.zillow.com/homedetails/11515-N-91st-St-UNIT-140-Scottsdale-AZ-85260/8059188_zpid/,-111.883,33.5903,422.992,,,1,,,5411,rental,1395,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH
2543,"14000 N 94th St UNIT 1169, Scottsdale, AZ 85260",2,2,1279,zillow_ph,http://www.zillow.com/homedetails/14000-N-94th-St-UNIT-1169-Scottsdale-AZ-85260/62731602_zpid/,-111.881,33.6125,443.926,,,1,,,5469,rental,1250,closed,2,2015-09-29,2015-09-27,North Scottsdale,94,PH
2600,"7979 E Princess Dr, Scottsdale, AZ 85255",3,3,2253,zillow_ph,http://www.zillow.com/homedetails/7979-E-Princess-Dr-Scottsdale-AZ-85255/8015518_zpid/,-111.91,33.6412,471.346,,,1,,,5404,rental,3000,closed,3,2015-09-29,2015-09-26,North Scottsdale,94,PH
2684,"9990 N Scottsdale Rd APT 1005, Scottsdale, AZ 85253",2,2,973,zillow_ph,http://www.zillow.com/homedetails/9990-N-Scottsdale-Rd-APT-1005-Scottsdale-AZ-85253/65437590_zpid/,-111.928,33.576,409.509,,,10,,,6272,rental,1195,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
2719,"8027 E Del Timbre Dr, Scottsdale, AZ 85258",3,3,2778,zillow_ph,http://www.zillow.com/homedetails/8027-E-Del-Timbre-Dr-Scottsdale-AZ-85258/7867135_zpid/,-111.907,33.5726,409.598,,,1,,,6249,rental,2675,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
2758,"10449 N 69th St # 127, Paradise Valley, AZ 85253",1,1,804,zillow_ph,http://www.zillow.com/homedetails/10449-N-69th-St-127-Paradise-Valley-AZ-85253/2100996026_zpid/,-111.933,33.5805,411.571,,,1,,,6305,rental,1000,closed,2,2015-09-30,2015-09-28,North Scottsdale,94,PH
2888,"E Redfield Rd Scottsdale, AZ 85260",2,2,1300,zillow_ph,http://www.zillow.com/homedetails/E-Redfield-Rd-Scottsdale-AZ-85260/2105452924_zpid/,-111.9,33.6136,440.124,,,1,,,6876,rental,1500,closed,2,2015-10-01,2015-09-29,North Scottsdale,94,PH
2927,"11260 N 92nd St APT 2113, Scottsdale, AZ 85260",2,2,1145,zillow_ph,http://www.zillow.com/homedetails/11260-N-92nd-St-APT-2113-Scottsdale-AZ-85260/8063978_zpid/,-111.884,33.5886,422.578,1994,,21,,,7429,rental,980,closed,,2012-07-23,,North Scottsdale,94,PH
2927,"11260 N 92nd St APT 2113, Scottsdale, AZ 85260",2,2,1145,zillow_ph,http://www.zillow.com/homedetails/11260-N-92nd-St-APT-2113-Scottsdale-AZ-85260/8063978_zpid/,-111.884,33.5886,422.578,1994,,21,,,7542,rental,1150,closed,,2013-07-29,,North Scottsdale,94,PH
2927,"11260 N 92nd St APT 2113, Scottsdale, AZ 85260",2,2,1145,zillow_ph,http://www.zillow.com/homedetails/11260-N-92nd-St-APT-2113-Scottsdale-AZ-85260/8063978_zpid/,-111.884,33.5886,422.578,1994,,21,,,7600,rental,1200,closed,,2014-04-07,,North Scottsdale,94,PH
