address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
480 Mission Bay Blvd. North #1007,2,2,1576,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-north-1007/,-122.389,37.7711,2.48954,rental,4500,closed,,1969-12-31,,Mission Bay,48,SF
74 New Montgomery #412,1,1,870,climbsf_rented,http://www.climbsf.com/for-rent/74-new-montgomery-412/,-122.401,37.7875,7.64144,rental,3800,closed,,2011-11-20,,Yerba Buena,19,SF
260 King St,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/260-king-st/,-122.394,37.7774,4.2732,rental,3500,closed,,2015-10-04,,South Beach,74,SF
555 4th St # 803,2,2,0,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-803/,-122.397,37.7791,3.09988,rental,3500,closed,,2015-10-04,,South Beach,74,SF
16 Jessie St #407,1,1,450,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-407/,-122.399,37.7899,5.27414,rental,2000,closed,,2011-12-20,,Yerba Buena,19,SF
555 4th St # 734,1,1,590,climbsf_rented,http://www.climbsf.com/for-rent/555-4th-st-734/,-122.397,37.7791,3.09988,rental,0,closed,,2015-10-04,,South Beach,74,SF
55 Page Street #814,1,1,865,climbsf_rented,http://www.climbsf.com/for-rent/55-page-street-814/,-122.422,37.774,13.962,rental,3200,closed,,2011-12-20,,Hayes Valley,27,SF
235 Berry Street #102,2,2,1255,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-street-102/,-122.394,37.7749,2.62042,rental,4300,closed,,2012-01-28,,South Beach,74,SF
1340 Clay Street #402,2,2,1670,climbsf_rented,http://www.climbsf.com/for-rent/1340-clay-st-402/,-122.415,37.7934,103.826,rental,5975,closed,,2013-02-20,,Nob Hill,93,SF
1979 Clay Street,3,2,2000,climbsf_rented,http://www.climbsf.com/for-rent/1979-clay-st/,-122.425,37.7915,87.393,rental,5250,closed,,2013-02-26,,Pacific Heights,62,SF
201 Harrison Street #711,1,1,795,climbsf_rented,http://www.climbsf.com/for-rent/201-harrison-st-711/,-122.39,37.7877,9.17842,rental,2600,closed,,2013-02-28,,South Beach,74,SF
1703 Powell Street,4,2,0,climbsf_rented,http://www.climbsf.com/for-rent/1703-powell-st/,-122.411,37.8003,23.9782,rental,6200,closed,,2015-10-04,,North Beach,54,SF
235 Berry Street #107,3,3,2000,climbsf_rented,http://www.climbsf.com/for-rent/235-berry-st-107-2/,-122.394,37.7749,2.44738,rental,7500,closed,,2013-03-04,,South Beach,74,SF
338 Spear Street #18B,2,2,1322,climbsf_rented,http://www.climbsf.com/for-rent/338-spear-st-18b/,-122.391,37.7894,0.0,rental,5700,closed,,2013-03-04,,South Beach,74,SF
682 28th Street,2,2,2300,climbsf_rented,http://www.climbsf.com/for-rent/682-28th-st/,-122.437,37.7449,164.08,rental,4500,closed,,2013-03-19,,Noe Valley,53,SF
2712A Pine Street,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/2712a-pine-st/,-122.441,37.7873,55.6704,rental,3700,closed,,2015-10-04,,Lower Pacific Heights,42,SF
16 Jessie Street #311,1,1,620,climbsf_rented,http://www.climbsf.com/for-rent/16-jessie-st-311/,-122.399,37.7899,5.27414,rental,3100,closed,,2013-03-26,,Yerba Buena,19,SF
