id,address,bedrooms,bathrooms,sqft,source,origin_url,longitude,latitude,elevation,year_built,garage,level,luxurious,dist_to_park,ptl_id,transaction_type,price,transaction_status,days_on_market,date_closed,date_listed,neighborhood,nid,shapefile_source
66,1097 Howard Street #304,1,1,1056,climbsf_rented,http://www.climbsf.com/for-rent/1097-howard-st-304/,-122.409,37.7779,6.48905,,,3,,0.0214618,66,rental,3700,closed,,2013-06-04,,South of Market,75,SF
67,4517 18th Street,3,3,1400,climbsf_rented,http://www.climbsf.com/for-rent/4517-18th-st/,-122.44,37.7604,45.9379,,,1,,0.00364005,67,rental,5800,closed,,2013-06-04,,Eureka Valley / Dolores Heights,16,SF
68,300 Third Street #1114,2,2,1161,climbsf_rented,http://www.climbsf.com/for-rent/300-3rd-st-1114/,-122.399,37.7835,7.1333,,,11,,0.0280223,68,rental,4100,closed,,2013-06-05,,Yerba Buena,19,SF
,400 Beale Street #506,2,1,0,climbsf_rented,http://www.climbsf.com/for-rent/400-beale-st-506/,-122.391,37.7871,7.36737,,,5,1,0.0352166,69,rental,3700,closed,,2013-06-05,,South Beach,74,SF
70,1160 Mission Street #1905,1,1,664,climbsf_rented,http://www.climbsf.com/for-rent/1160-mission-st-1905/,-122.412,37.7784,12.0417,,,19,,0.0188351,70,rental,3250,closed,,2013-06-25,,South of Market,75,SF
71,140 South Van Ness Avenue #922,2,2,1160,climbsf_rented,http://www.climbsf.com/for-rent/140-south-van-ness-ave-922/,-122.419,37.7716,9.43102,,,9,,0.0124535,71,rental,3800,closed,,2013-07-03,,South of Market,75,SF
72,199 New Montgomery Street #208,1,1,834,climbsf_rented,http://www.climbsf.com/for-rent/199-new-montgomery-st-208/,-122.399,37.7866,7.5217,,,2,1,0.0273562,72,rental,3300,closed,,2013-07-05,,Yerba Buena,19,SF
73,88 King Street #904,2,2,1111,climbsf_rented,http://www.climbsf.com/for-rent/88-king-st-904/,-122.389,37.7807,3.99835,,,9,1,0.0384069,73,rental,6250,closed,,2013-07-09,,South Beach,74,SF
74,3009 Sacramento Street #2,4,2,1300,climbsf_rented,http://www.climbsf.com/for-rent/3009-sacramento-st-2/,-122.443,37.7885,63.5342,,,1,,0.00434626,74,rental,5500,closed,,2013-07-09,,Pacific Heights,62,SF
75,480 Mission Bay Boulevard North #1608,2,2,1344,climbsf_rented,http://www.climbsf.com/for-rent/480-mission-bay-blvd-n-1608/,-122.389,37.7711,2.48954,,,16,,0.035,75,rental,5475,closed,,2013-07-15,,Mission Bay,48,SF
76,2075 Sutter Street #521,2,2,1068,climbsf_rented,http://www.climbsf.com/for-rent/2075-sutter-st-521/,-122.435,37.7857,46.3843,,,5,,0.005001,76,rental,4100,closed,,2013-07-16,,Lower Pacific Heights,42,SF
,One Hawthorne Street #2J,1,1,794,climbsf_rented,http://www.climbsf.com/for-rent/1-hawthorne-st-2j/,-122.399,37.7857,8.63035,,,2,,0.0275153,77,rental,3300,closed,,2013-07-22,,Yerba Buena,19,SF
,325 Berry Street #317,1,1,0,climbsf_rented,http://www.climbsf.com/for-rent/325-berry-st-317/,-122.396,37.7736,2.45283,,,3,,0.0324236,78,rental,3650,closed,,2013-07-22,,South Beach,74,SF
79,38 Beideman Street,2,1,960,climbsf_rented,http://www.climbsf.com/for-rent/38-beideman-st/,-122.438,37.7821,49.0507,,,1,,0.00547814,79,rental,3500,closed,,2013-07-30,,Western Addition,83,SF
80,1288 McAllister Street #201,2,1,1216,climbsf_rented,http://www.climbsf.com/for-rent/1288-mcallister-st-201/,-122.433,37.7787,44.4733,,,2,,0.0013,80,rental,4000,closed,,2013-07-30,,Western Addition,83,SF
