apartment name,configuration,num bedroom,num bathroom,size,rent,units page,address,address_origin_pattern,address_origin_url,apartment page,origin_url,origin_pattern,createdAt,updatedAt,pingedAt
Avalon Ocean Avenue,1 bed 1 bath 716 sqft,1 bed,1 bath,716 sqft,"3,035",http://www.zillow.com/homedetails/1200-Ocean-Ave-606586-San-Francisco-CA-94112/2103076267_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,"2 beds 2 baths 1,113 sqft",2 beds,2 baths,"1,113 sqft","4,845",http://www.zillow.com/homedetails/1201-4th-St-412629-San-Francisco-CA-94158/2107546267_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,1 bed 1 bath 751 sqft,1 bed,1 bath,751 sqft,"3,469",http://www.zillow.com/homedetails/1201-4th-St-412628-San-Francisco-CA-94158/2107546265_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
eaves Diamond Heights,1 bed 1 bath 615 sqft,1 bed,1 bath,615 sqft,"2,930",http://www.zillow.com/homedetails/5285-Diamond-Heights-Blvd-605099-San-Francisco-CA-94131/2103457349_zpid/,"5285 Diamond Heights Blvd San Francisco, CA 94131",@@apartment page@@,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,http://www.zillow.com/b/eaves-diamond-heights-san-francisco-ca-5XjTZJ/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,"2 beds 2 baths 1,090 sqft",2 beds,2 baths,"1,090 sqft","3,420",http://www.zillow.com/homedetails/3711-19th-Ave-1535219-San-Francisco-CA-94132/2103845735_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,1 bed 1 bath 759 sqft,1 bed,1 bath,759 sqft,"3,130",http://www.zillow.com/homedetails/1200-Ocean-Ave-606585-San-Francisco-CA-94112/2103465133_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,Studio 1 bath 493 sqft,Studio,1 bath,493 sqft,"2,725",http://www.zillow.com/homedetails/1200-Ocean-Ave-606603-San-Francisco-CA-94112/2102983665_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,"2 beds 2 baths 1,134 sqft",2 beds,2 baths,"1,134 sqft","4,079",http://www.zillow.com/homedetails/1201-4th-St-412631-San-Francisco-CA-94158/2107546268_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Azure,"2 beds 2 baths 1,000 sqft",2 beds,2 baths,"1,000 sqft","6,000",http://www.zillow.com/homedetails/690-Long-Bridge-St-79802-San-Francisco-CA-94158/2102375158_zpid/,"690 Long Bridge St San Francisco, CA 94158",@@apartment page@@,"http://www.zillow.com/b/Azure-San-Francisco-CA/37.77363,-122.3915_ll/","http://www.zillow.com/b/Azure-San-Francisco-CA/37.77363,-122.3915_ll/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,"2 beds 2 baths 1,312 sqft",2 beds,2 baths,"1,312 sqft","4,180",http://www.zillow.com/homedetails/1200-Ocean-Ave-606597-San-Francisco-CA-94112/2103465130_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,1 bed 1 bath 695 sqft,1 bed,1 bath,695 sqft,"2,670",http://www.zillow.com/homedetails/3711-19th-Ave-1535218-San-Francisco-CA-94132/2103845732_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Parkmerced,2 beds 1 bath 936 sqft,2 beds,1 bath,936 sqft,"3,275",http://www.zillow.com/homedetails/3711-19th-Ave-1535220-San-Francisco-CA-94132/2103845733_zpid/,"3711 19th Ave San Francisco, CA 94132",@@apartment page@@,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,http://www.zillow.com/b/parkmerced-san-francisco-ca-5XjKHx/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Avalon Ocean Avenue,1 bed 1 bath 761 sqft,1 bed,1 bath,761 sqft,"2,950",http://www.zillow.com/homedetails/1200-Ocean-Ave-606584-San-Francisco-CA-94112/2103465132_zpid/,"1200 Ocean Ave San Francisco, CA 94112",@@apartment page@@,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,http://www.zillow.com/b/avalon-ocean-avenue-san-francisco-ca-5XjSMb/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Strata at Mission Bay,1 bed 1 bath 751 sqft,1 bed,1 bath,751 sqft,"3,589",http://www.zillow.com/homedetails/1201-4th-St-412626-San-Francisco-CA-94158/2107546266_zpid/,"1201 4th St San Francisco, CA 94158",@@apartment page@@,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,http://www.zillow.com/b/strata-at-mission-bay-san-francisco-ca-5XjRMn/,"http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
Azure,"2 beds 2 baths 1,015 sqft",2 beds,2 baths,"1,015 sqft","5,275",http://www.zillow.com/homedetails/690-Long-Bridge-St-79803-San-Francisco-CA-94158/2102375157_zpid/,"690 Long Bridge St San Francisco, CA 94158",@@apartment page@@,"http://www.zillow.com/b/Azure-San-Francisco-CA/37.77363,-122.3915_ll/","http://www.zillow.com/b/Azure-San-Francisco-CA/37.77363,-122.3915_ll/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/","http://www.zillow.com/homes/for_rent/San-Francisco-CA/condo,apartment_duplex_type/20330_rid/37.844901,-122.274227,37.696454,-122.600727_rect/11_zm/",2015-07-05 09:27:52,2015-07-05 09:27:52,2015-07-05 09:27:52
