property_id,transaction_id,address,zipcode,list,predicted_price,pnl_percent,good_sell_prob,rank,url
363771,22712428,"9210 W Taylor St, Tolleson, AZ 85353 ",85353,120000,164247.4844,0.3687,0.5868,196.0,https://www.zillow.com/homedetails/9210-W-Taylor-St-Tolleson-AZ-85353/95176813_zpid/
197482,22583505,"4050 W Nancy Ln, Phoenix, AZ 85041 ",85041,141000,180145.4219,0.2776,0.5868,266.0,https://www.zillow.com/homedetails/4050-W-Nancy-Ln-Phoenix-AZ-85041/7504586_zpid/
364403,22579188,"9366 W Taylor St, Tolleson, AZ 85353 ",85353,129400,168487.875,0.3021,0.5868,268.0,https://www.zillow.com/homedetails/9366-W-Taylor-St-Tolleson-AZ-85353/7477022_zpid/
196430,22691023,"3701 W Corona Ave, Phoenix, AZ 85041 ",85041,144900,178034.3281,0.2287,0.5868,324.0,https://www.zillow.com/homedetails/3701-W-Corona-Ave-Phoenix-AZ-85041/7502776_zpid/
40848,22540784,"5160 W Fulton St, Phoenix, AZ 85043 ",85043,146700,177972.3125,0.2132,0.5868,345.0,https://www.zillow.com/homedetails/5160-W-Fulton-St-Phoenix-AZ-85043/67788808_zpid/
196746,22710799,"3738 W Roeser Rd, Phoenix, AZ 85041 ",85041,149000,178751.9375,0.1997,0.5868,365.0,https://www.zillow.com/homedetails/3738-W-Roeser-Rd-Phoenix-AZ-85041/7503405_zpid/
42685,22737514,"7022 W Beatrice St, Phoenix, AZ 85043 ",85043,149900,178124.8281,0.1883,0.5868,394.0,https://www.zillow.com/homedetails/7022-W-Beatrice-St-Phoenix-AZ-85043/7476215_zpid/
8989903,22735013,"7234 S 48th Gln, Laveen, AZ 85339 ",85339,159000,184201.4688,0.1585,0.5868,450.0,https://www.zillow.com/homedetails/7234-S-48th-Gln-Laveen-AZ-85339/82823373_zpid/
39699,22594965,"1462 N 80th Ln, Phoenix, AZ 85043 ",85043,155000,179718.3281,0.1595,0.5868,457.0,https://www.zillow.com/homedetails/1462-N-80th-Ln-Phoenix-AZ-85043/2104748992_zpid/
503541,22539464,"1942 N 78th Gln, Phoenix, AZ 85035 ",85035,154900,179359.9219,0.1579,0.5868,462.0,https://www.zillow.com/homedetails/1942-N-78th-Gln-Phoenix-AZ-85035/88061757_zpid/
441680,22742382,"3608 N 90th Dr, Phoenix, AZ 85037 ",85037,159000,183424.2344,0.1536,0.5868,463.0,https://www.zillow.com/homedetails/3608-N-90th-Dr-Phoenix-AZ-85037/7470495_zpid/
9005658,22684559,"113 N 87th Ave, Tolleson, AZ 85353 ",85353,159000,182805.3906,0.1497,0.5868,475.0,https://www.zillow.com/homedetails/113-N-87th-Ave-Tolleson-AZ-85353/88788606_zpid/
360963,22742622,"8504 W Taylor St, Tolleson, AZ 85353 ",85353,154900,178548.5,0.1527,0.5868,477.0,https://www.zillow.com/homedetails/8504-W-Taylor-St-Tolleson-AZ-85353/7476498_zpid/
448779,22738623,"8438 W Lewis Ave, Phoenix, AZ 85037 ",85037,159900,181940.5156,0.1378,0.5868,525.0,https://www.zillow.com/homedetails/8438-W-Lewis-Ave-Phoenix-AZ-85037/82823106_zpid/
42355,22691583,"6630 W Taylor St, Phoenix, AZ 85043 ",85043,163000,183787.8594,0.1275,0.5868,580.0,https://www.zillow.com/homedetails/6630-W-Taylor-St-Phoenix-AZ-85043/67788398_zpid/
42157,22540803,"6602 W Papago St, Phoenix, AZ 85043 ",85043,156900,177523.2656,0.1314,0.5868,583.0,https://www.zillow.com/homedetails/6602-W-Papago-St-Phoenix-AZ-85043/7499905_zpid/
448537,22742611,"8415 W Monte Vista Rd, Phoenix, AZ 85037 ",85037,162500,182560.8906,0.1235,0.5868,597.0,https://www.zillow.com/homedetails/8415-W-Monte-Vista-Rd-Phoenix-AZ-85037/7488084_zpid/
344491,22688822,"3718 S 54th Gln, Phoenix, AZ 85043 ",85043,164900,183916.7031,0.1153,0.5868,622.0,https://www.zillow.com/homedetails/3718-S-54th-Gln-Phoenix-AZ-85043/88789963_zpid/
9006843,22645623,"5402 W Jessica Ln, Laveen, AZ 85339 ",85339,169000,188012.8594,0.1125,0.5868,623.0,https://www.zillow.com/homedetails/5402-W-Jessica-Ln-Laveen-AZ-85339/55257929_zpid/
9018994,22730064,"8629 W Jocelyn Ter, Tolleson, AZ 85353 ",85353,200000,218734.8125,0.0937,0.5868,629.0,https://www.zillow.com/homedetails/8629-W-Jocelyn-Ter-Tolleson-AZ-85353/67788269_zpid/
