property_id,transaction_id,address,ypred,predicted_price,list,url
1558083,20712716,"503 N Oxbow Dr, Wickenburg, AZ 85390 ",118059.1875,220059.1875,102000,http://www.zillow.com/homedetails/503-N-Oxbow-Dr-Wickenburg-AZ-85390/2146986998_zpid
5350106,8399320,"16246 W Mercer Lane For Rent Only # 0000000, Surprise, AZ 85379 ",117653.171875,197653.171875,80000,http://www.zillow.com/homedetails/16246-W-Mercer-Lane-For-Rent-Only-0000000-Surprise-AZ-85379/2096086194_zpid/
1558033,13912395,"493 W Mohave St, Wickenburg, AZ 85390 ",115616.296875,170516.296875,54900,https://www.zillow.com/homedetails/493-W-Mohave-St-Wickenburg-AZ-85390/52436328_zpid/
8948359,21666014,"286 Gompers Cir, Morristown, AZ 85342 ",107201.421875,232201.421875,125000,https://www.zillow.com/homedetails/286-Gompers-Cir-Morristown-AZ-85342/50204206_zpid/
1593712,21339940,"50825 W Church St, Aguila, AZ 85320 ",96785.796875,185785.796875,89000,http://www.zillow.com/homedetails/50825-W-Church-St-Aguila-AZ-85320/8316757_zpid
1594071,17742462,"190 Peretz Cir, Morristown, AZ 85342 ",95821.75,184821.75,89000,https://www.zillow.com/homedetails/190-Peretz-Cir-Morristown-AZ-85342/8311907_zpid/
1518375,20936187,"154 N Madison St, Wickenburg, AZ 85390 ",95020.140625,215020.140625,120000,http://www.zillow.com/homedetails/154-N-Madison-St-Wickenburg-AZ-85390/8316534_zpid/
282806,20706387,"3216 E Medlock Dr For Rent, Phoenix, AZ 85018 ",94298.03125,154298.03125,60000,http://www.zillow.com/homedetails/3216-E-Medlock-Dr-For-Rent-Phoenix-AZ-85018/2104503515_zpid
5350162,8399514,"2422 W Hunter Court For R Ent Only # 0, Phoenix, AZ 85085 ",89180.703125,169180.703125,80000,http://www.zillow.com/homedetails/2422-W-Hunter-Court-For-R-Ent-Only-0-Phoenix-AZ-85085/2096086862_zpid/
7445063,17101167,"24326 W Fernwood Ct, Wittmann, AZ 85361 ",82449.578125,202149.578125,119700,https://www.zillow.com/homedetails/24326-W-Fernwood-Ct-Wittmann-AZ-85361/71625270_zpid/
5384814,8472855,"42623 N 43rd Dr # 0, Phoenix, AZ 85087 ",81425.4375,181425.4375,100000,http://www.zillow.com/homedetails/42623-N-43rd-Dr-0-Phoenix-AZ-85087/2096060706_zpid/
2044168,3262657,"3561 E Tyson St For Rent Only, Gilbert, AZ 85295 ",80556.40625,160556.40625,80000,http://www.zillow.com/homedetails/3561-E-Tyson-St-For-Rent-Only-Gilbert-AZ-85295/2096783659_zpid/
7445061,17908230,"24325 W Bobwhite Way, Wittmann, AZ 85361 ",78811.734375,201361.734375,122550,https://www.zillow.com/homedetails/24325-W-Bobwhite-Way-Wittmann-AZ-85361/71625280_zpid/
930303,20703245,"24813 W Durango St, Buckeye, AZ 85326 ",76479.125,128479.125,52000,http://www.zillow.com/homedetails/24813-W-Durango-St-Buckeye-AZ-85326/8314520_zpid
7445064,13582487,"24328 W Morning Vista Ln, Wittmann, AZ 85361 ",75779.046875,198329.046875,122550,https://www.zillow.com/homedetails/24328-W-Morning-Vista-Ln-Wittmann-AZ-85361/71625293_zpid/
7445069,17909752,"29510 N 244th Dr, Wittmann, AZ 85361 ",74899.890625,197449.890625,122550,https://www.zillow.com/homedetails/29510-N-244th-Dr-Wittmann-AZ-85361/71625287_zpid/
7445062,17908258,"24340 W Morning Vista Ln, Wittmann, AZ 85361 ",74899.890625,197449.890625,122550,https://www.zillow.com/homedetails/24340-W-Morning-Vista-Ln-Wittmann-AZ-85361/71625294_zpid/
1591429,19984230,"118 Peretz Cir, Morristown, AZ 85342 ",74320.40625,184320.40625,110000,https://www.zillow.com/homedetails/118-Peretz-Cir-Morristown-AZ-85342/8311895_zpid/
524040,21696939,"9045 W Encanto Blvd, Phoenix, AZ 85037 ",71773.90625,156673.90625,84900,http://www.zillow.com/homedetails/9045-W-Encanto-Blvd-Phoenix-AZ-85037/7487087_zpid
506629,21687633,"48914 N 7th Ave, New River, AZ 85087 ",70549.96875,165549.96875,95000,http://www.zillow.com/homedetails/48914-N-7th-Ave-New-River-AZ-85087/50184341_zpid
97768,20703675,"25712 S 197th Way, Queen Creek, AZ 85142 ",68797.90625,193697.90625,124900,http://www.zillow.com/homedetails/25712-S-197th-Way-Queen-Creek-AZ-85142/52434113_zpid
1521502,13485441,"309 N Madison St, Wickenburg, AZ 85390 ",67693.859375,214693.859375,147000,https://www.zillow.com/homedetails/309-N-Madison-St-Wickenburg-AZ-85390/8315459_zpid/
1558434,20712747,"51405 N 298th Ave, Wickenburg, AZ 85390 ",66719.875,189119.875,122400,http://www.zillow.com/homedetails/51405-N-298th-Ave-Wickenburg-AZ-85390/8309268_zpid
1149675,20724155,"12609 W Larkspur Rd, El Mirage, AZ 85335 ",65797.34375,130797.34375,65000,http://www.zillow.com/homedetails/12609-W-Larkspur-Rd-El-Mirage-AZ-85335/55284434_zpid
449940,21696419,"8632 W Windsor Ave, Phoenix, AZ 85037 ",64901.5625,129901.5625,65000,http://www.zillow.com/homedetails/8632-W-Windsor-Ave-Phoenix-AZ-85037/7487180_zpid
450628,21696503,"8737 W Windsor Ave, Phoenix, AZ 85037 ",64804.453125,134804.453125,70000,http://www.zillow.com/homedetails/8737-W-Windsor-Ave-Phoenix-AZ-85037/7473654_zpid
1517206,20695514,"15137 W Dynamite Blvd, Surprise, AZ 85387 ",63387.640625,132887.640625,69500,http://www.zillow.com/homedetails/15137-W-Dynamite-Blvd-Surprise-AZ-85387/2125662852_zpid
1521057,13485436,"266 N Madison St, Wickenburg, AZ 85390 ",62907.15625,197907.15625,135000,https://www.zillow.com/homedetails/266-N-Madison-St-Wickenburg-AZ-85390/8315473_zpid/
1592793,20692971,"1169 W Walker Rd, Ajo, AZ 85321 ",62836.96875,157736.96875,94900,http://www.zillow.com/homedetails/1169-W-Walker-Rd-Ajo-AZ-85321/8661875_zpid
50557,21685651,"43711 N 12th St, New River, AZ 85087 ",58540.140625,140540.140625,82000,http://www.zillow.com/homedetails/43711-N-12th-St-New-River-AZ-85087/7928194_zpid
272168,20717621,"7724 E Pepper Tree Ln For Rent, Scottsdale, AZ 85250 ",57792.0546875,117792.0546875,60000,http://www.zillow.com/homedetails/7724-E-Pepper-Tree-Ln-For-Rent-Scottsdale-AZ-85250/2104505824_zpid
339643,20695812,"15444 N 1st Pl, Phoenix, AZ 85022 ",57327.25,172327.25,115000,http://www.zillow.com/homedetails/15444-N-1st-Pl-Phoenix-AZ-85022/2131751378_zpid
1374494,21535117,"8932 W Maryland Ave, Glendale, AZ 85305 ",57137.5,167137.5,110000,http://www.zillow.com/homedetails/8932-W-Maryland-Ave-Glendale-AZ-85305/7461840_zpid
97754,20703664,"25706 S 203rd St, Queen Creek, AZ 85142 ",56327.53125,141327.53125,85000,http://www.zillow.com/homedetails/25706-S-203rd-St-Queen-Creek-AZ-85142/50198997_zpid
398444,21696677,"8822 N 36th Dr, Phoenix, AZ 85051 ",54599.0625,105299.0625,50700,http://www.zillow.com/homedetails/8822-N-36th-Dr-Phoenix-AZ-85051/7754074_zpid
1852296,21601269,"24431 W Horned Owl Trl, Wittmann, AZ 85361 ",54509.78125,213159.78125,158650,https://www.zillow.com/homedetails/24431-W-Horned-Owl-Trl-Wittmann-AZ-85361/71625276_zpid/
443984,21686100,"4415 N 112th Ave, Phoenix, AZ 85037 ",53685.109375,118685.109375,65000,http://www.zillow.com/homedetails/4415-N-112th-Ave-Phoenix-AZ-85037/7488948_zpid
1558312,13912341,"509 W El Tecalote Dr, Wickenburg, AZ 85390",53456.78125,180956.78125,127500,http://www.zillow.com/homedetails/509-W-El-Tecalote-Dr-Wickenburg-AZ-85390/2129090865_zpid
1520531,13485409,"2105 W Yucca Dr, Wickenburg, AZ 85390 ",53044.4375,302044.4375,249000,https://www.zillow.com/homedetails/2105-W-Yucca-Dr-Wickenburg-AZ-85390/8314741_zpid/
1877703,13951476,"17200 W Bell Rd LOT 1412, Surprise, AZ 85374 ",53007.6875,195907.6875,142900,http://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-1412-Surprise-AZ-85374/8318170_zpid/
431438,21388831,"5717 N 103rd Dr, Glendale, AZ 85307 ",52879.296875,157879.296875,105000,http://www.zillow.com/homedetails/5717-N-103rd-Dr-Glendale-AZ-85307/7488642_zpid
519573,21696670,"8906 W Vernon Ave, Phoenix, AZ 85037 ",52593.515625,127593.515625,75000,http://www.zillow.com/homedetails/8906-W-Vernon-Ave-Phoenix-AZ-85037/7474114_zpid
2076344,21017323,"18828 N 42nd Ave, Glendale, AZ 85308 ",52506.65625,201506.65625,149000,http://www.zillow.com/homedetails/18828-N-42nd-Ave-Glendale-AZ-85308/7935939_zpid/
398957,13729015,"9416 N 38th Ave, Phoenix, AZ 85051 ",51762.4296875,114762.4296875,63000,http://www.zillow.com/homedetails/9416-N-38th-Ave-Phoenix-AZ-85051/7746919_zpid
1558769,17250341,"542 N Madison St, Wickenburg, AZ 85390",51583.234375,166483.234375,114900,http://www.zillow.com/homedetails/542-N-Madison-St-Wickenburg-AZ-85390/81981039_zpid
88347,20699927,"20326 E Ryan Rd, Queen Creek, AZ 85142 ",51125.140625,172125.140625,121000,http://www.zillow.com/homedetails/20326-E-Ryan-Rd-Queen-Creek-AZ-85142/92349891_zpid
312884,14351171,"1423 E Granada Rd, Phoenix, AZ 85006",50297.9765625,107797.9765625,57500,http://www.zillow.com/homedetails/1423-E-Granada-Rd-Phoenix-AZ-85006/7532279_zpid
41802,20715315,"6414 W Fillmore St, Phoenix, AZ 85043 ",49928.5546875,104928.5546875,55000,http://www.zillow.com/homedetails/6414-W-Fillmore-St-Phoenix-AZ-85043/7495647_zpid
258612,20718197,"814 W Hononegh Dr, Phoenix, AZ 85027 ",49759.1953125,106459.1953125,56700,http://www.zillow.com/homedetails/814-W-Hononegh-Dr-Phoenix-AZ-85027/7966963_zpid
1517123,20696041,"15709 W Remuda Dr, Surprise, AZ 85387 ",49020.046875,126920.046875,77900,http://www.zillow.com/homedetails/15709-W-Remuda-Dr-Surprise-AZ-85387/50204085_zpid
1468686,20716658,"7113 W Sherri Jean Ln, Peoria, AZ 85382 ",48853.6015625,100853.6015625,52000,http://www.zillow.com/homedetails/7113-W-Sherri-Jean-Ln-Peoria-AZ-85382/2134118876_zpid
425081,20690676,"10109 W Reade Ave, Glendale, AZ 85307 ",48728.59375,103728.59375,55000,http://www.zillow.com/homedetails/10109-W-Reade-Ave-Glendale-AZ-85307/7465076_zpid
434725,21672552,"11966 W Coronado Rd, Avondale, AZ 85392 ",48312.5,131862.5,83550,http://www.zillow.com/homedetails/11966-W-Coronado-Rd-Avondale-AZ-85392/8301052_zpid
317325,13710284,"1942 E Diamond St, Phoenix, AZ 85006",48180.7265625,99180.7265625,51000,http://www.zillow.com/homedetails/1942-E-Diamond-St-Phoenix-AZ-85006/7528759_zpid
889090,20705759,"30212 W Lynwood St, Buckeye, AZ 85396 ",47943.4453125,120943.4453125,73000,http://www.zillow.com/homedetails/30212-W-Lynwood-St-Buckeye-AZ-85396/95182654_zpid
1559759,13485541,"670 W El Pajarito Dr, Wickenburg, AZ 85390 ",47819.875,186819.875,139000,https://www.zillow.com/homedetails/670-W-El-Pajarito-Dr-Wickenburg-AZ-85390/8315549_zpid/
408144,21689812,"6106 W Saint Moritz Ln, Glendale, AZ 85306 ",47707.859375,109707.859375,62000,http://www.zillow.com/homedetails/6106-W-Saint-Moritz-Ln-Glendale-AZ-85306/8098946_zpid
200291,13683230,"6523 S 16th Ave, Phoenix, AZ 85041",47204.6640625,102204.6640625,55000,http://www.zillow.com/homedetails/6523-S-16th-Ave-Phoenix-AZ-85041/59272346_zpid
25985,17178844,"10220 N 36th Ave, Phoenix, AZ 85051",47122.890625,107522.890625,60400,http://www.zillow.com/homedetails/10220-N-36th-Ave-Phoenix-AZ-85051/7745265_zpid
1370005,17243284,"6602 N 89th Ln, Glendale, AZ 85305",46497.484375,131497.484375,85000,http://www.zillow.com/homedetails/6602-N-89th-Ln-Glendale-AZ-85305/7461810_zpid
787260,21702824,"1651 E Juanita Ave, Mesa, AZ 85204 ",46402.96875,99402.96875,53000,http://www.zillow.com/homedetails/1651-E-Juanita-Ave-Mesa-AZ-85204/7628726_zpid
524655,21696943,"9124 W Hazelwood St, Phoenix, AZ 85037 ",46391.359375,108391.359375,62000,http://www.zillow.com/homedetails/9124-W-Hazelwood-St-Phoenix-AZ-85037/52423685_zpid
7445067,17908263,"24337 W Bobwhite Way, Wittmann, AZ 85361 ",46262.984375,193512.984375,147250,https://www.zillow.com/homedetails/24337-W-Bobwhite-Way-Wittmann-AZ-85361/71625279_zpid/
412525,21688736,"5516 W Desert Cove Ave, Glendale, AZ 85304 ",45336.1953125,99836.1953125,54500,http://www.zillow.com/homedetails/5516-W-Desert-Cove-Ave-Glendale-AZ-85304/7736432_zpid
1374482,20719224,"8927 W Maryland Ave, Glendale, AZ 85305 ",44324.1875,141824.1875,97500,http://www.zillow.com/homedetails/8927-W-Maryland-Ave-Glendale-AZ-85305/7461905_zpid
645641,21691996,"711 W Enid Ave, Mesa, AZ 85210 ",44206.3515625,104106.3515625,59900,http://www.zillow.com/homedetails/711-W-Enid-Ave-Mesa-AZ-85210/7598473_zpid
1347497,20712768,"5029 W Belmont Ave, Glendale, AZ 85301 ",44193.453125,110493.453125,66300,http://www.zillow.com/homedetails/5029-W-Belmont-Ave-Glendale-AZ-85301/7724893_zpid
1558991,13912616,"26240 S Cholla Ct, Sun Lakes, AZ 85248",44056.328125,110056.328125,66000,http://www.zillow.com/homedetails/26240-S-Cholla-Ct-Sun-Lakes-AZ-85248/2126045104_zpid
1417084,20717728,"7667 W Vermont Ave, Glendale, AZ 85303 ",43955.078125,118955.078125,75000,http://www.zillow.com/homedetails/7667-W-Vermont-Ave-Glendale-AZ-85303/7464055_zpid
1415796,20717484,"7567 W San Miguel Ave, Glendale, AZ 85303 ",43590.796875,131590.796875,88000,http://www.zillow.com/homedetails/7567-W-San-Miguel-Ave-Glendale-AZ-85303/7463537_zpid
644012,20715586,"648 W Emerald Ave, Mesa, AZ 85210 ",43057.875,121557.875,78500,http://www.zillow.com/homedetails/648-W-Emerald-Ave-Mesa-AZ-85210/7598506_zpid
98479,15975076,"2662 W Sawtooth Way, Queen Creek, AZ 85142 ",42531.53125,92931.53125,50400,http://www.zillow.com/homedetails/2662-W-Sawtooth-Way-Queen-Creek-AZ-85142/63236844_zpid
7417706,19984282,"28519 N 253rd Dr, Wittmann, AZ 85361 ",42135.96875,267135.96875,225000,https://www.zillow.com/homedetails/28519-N-253rd-Dr-Wittmann-AZ-85361/64656279_zpid/
1596567,20713297,"540 W Morondo Ave, Ajo, AZ 85321 ",41777.4609375,100677.4609375,58900,http://www.zillow.com/homedetails/540-W-Morondo-Ave-Ajo-AZ-85321/8662790_zpid
1372379,20719017,"8530 W Orange Dr, Glendale, AZ 85305 ",40468.8125,118468.8125,78000,http://www.zillow.com/homedetails/8530-W-Orange-Dr-Glendale-AZ-85305/7464869_zpid
234995,21679590,"2815 W Bluefield Ave, Phoenix, AZ 85053 ",40214.4765625,107714.4765625,67500,http://www.zillow.com/homedetails/2815-W-Bluefield-Ave-Phoenix-AZ-85053/7941050_zpid
1592612,21661546,"44611 N Us Hwy 60 89, Morristown, AZ 85342 ",40206.46875,260106.46875,219900,https://www.zillow.com/homedetails/44611-N-Us-Hwy-60-89-Morristown-AZ-85342/8309638_zpid/
449708,21696281,"8609 W Roma Ave, Phoenix, AZ 85037 ",39400.6640625,122900.6640625,83500,http://www.zillow.com/homedetails/8609-W-Roma-Ave-Phoenix-AZ-85037/7480544_zpid
1591413,15939870,"100 Peretz Cir, Morristown, AZ 85342 ",39246.84375,235246.84375,196000,https://www.zillow.com/homedetails/100-Peretz-Cir-Morristown-AZ-85342/114275093_zpid/
415614,20691025,"10404 N 46th Dr, Glendale, AZ 85302 ",39172.84375,124172.84375,85000,http://www.zillow.com/homedetails/10404-N-46th-Dr-Glendale-AZ-85302/7729024_zpid
1417590,20717680,"7734 W Reade Ave, Glendale, AZ 85303 ",38551.90625,131551.90625,93000,http://www.zillow.com/homedetails/7734-W-Reade-Ave-Glendale-AZ-85303/7463817_zpid
409445,20711016,"4412 W Garden Dr, Glendale, AZ 85304 ",38507.28125,104507.28125,66000,http://www.zillow.com/homedetails/4412-W-Garden-Dr-Glendale-AZ-85304/7727785_zpid
409833,20711500,"4543 W Sunnyside Ave, Glendale, AZ 85304 ",38007.71875,96907.71875,58900,http://www.zillow.com/homedetails/4543-W-Sunnyside-Ave-Glendale-AZ-85304/7726919_zpid
389316,21678380,"2524 W Eugie Ave, Phoenix, AZ 85029 ",37790.1171875,112690.1171875,74900,http://www.zillow.com/homedetails/2524-W-Eugie-Ave-Phoenix-AZ-85029/7738270_zpid
410723,20712536,"4924 W Corrine Dr, Glendale, AZ 85304 ",37430.7578125,112430.7578125,75000,http://www.zillow.com/homedetails/4924-W-Corrine-Dr-Glendale-AZ-85304/7954482_zpid
219976,21695482,"829 E Diana Ave, Phoenix, AZ 85020 ",37206.75,104206.75,67000,http://www.zillow.com/homedetails/829-E-Diana-Ave-Phoenix-AZ-85020/7789586_zpid
1402790,14972489,"5427 N 73rd Dr, Glendale, AZ 85303",37150.09375,106450.09375,69300,http://www.zillow.com/homedetails/5427-N-73rd-Dr-Glendale-AZ-85303/7708951_zpid
1561080,20712812,"5185 S Eileen Dr For Rent, Chandler, AZ 85248 ",37040.078125,127040.078125,90000,http://www.zillow.com/homedetails/5185-S-Eileen-Dr-For-Rent-Chandler-AZ-85248/2104258126_zpid
395313,21694146,"7750 N 40th Dr, Phoenix, AZ 85051 ",36994.2421875,111994.2421875,75000,http://www.zillow.com/homedetails/7750-N-40th-Dr-Phoenix-AZ-85051/7755484_zpid
419743,20713625,"5530 W Hatcher Rd, Glendale, AZ 85302 ",36467.671875,89467.671875,53000,http://www.zillow.com/homedetails/5530-W-Hatcher-Rd-Glendale-AZ-85302/7734783_zpid
405737,20712321,"4833 W Sandra Ter, Glendale, AZ 85306 ",36461.6484375,105461.6484375,69000,http://www.zillow.com/homedetails/4833-W-Sandra-Ter-Glendale-AZ-85306/7951194_zpid
1146954,20722956,"12414 W Ash St, El Mirage, AZ 85335 ",36006.5625,104506.5625,68500,http://www.zillow.com/homedetails/12414-W-Ash-St-El-Mirage-AZ-85335/58574153_zpid
7384324,13163902,"2549 E Bart Street For Rent Only # 0, Gilbert, AZ 85295 ",35767.8125,135767.8125,100000,http://www.zillow.com/homedetails/2549-E-Bart-Street-For-Rent-Only-0-Gilbert-AZ-85295/2095666175_zpid/
272157,20703074,"2431 W Via Dona Rd, Phoenix, AZ 85085 ",35515.015625,228015.015625,192500,http://www.zillow.com/homedetails/2431-W-Via-Dona-Rd-Phoenix-AZ-85085/67791434_zpid
246940,20707315,"3417 W Grovers Ave, Phoenix, AZ 85053 ",35486.71875,95486.71875,60000,http://www.zillow.com/homedetails/3417-W-Grovers-Ave-Phoenix-AZ-85053/7941805_zpid
377710,21671178,"10701 N 36th Ave, Phoenix, AZ 85029 ",35346.3828125,97846.3828125,62500,http://www.zillow.com/homedetails/10701-N-36th-Ave-Phoenix-AZ-85029/7743332_zpid
36880,13637932,"4432 E Pueblo Ave, Phoenix, AZ 85040 ",35304.7109375,95204.7109375,59900,http://www.zillow.com/homedetails/4432-E-Pueblo-Ave-Phoenix-AZ-85040/7557141_zpid/
486502,21323628,"4828 W Palm Ln, Phoenix, AZ 85035 ",35218.25,92718.25,57500,http://www.zillow.com/homedetails/4828-W-Palm-Ln-Phoenix-AZ-85035/7494723_zpid
1671962,20703266,"24625 N 115th Ave, Sun City, AZ 85373 ",35052.484375,96852.484375,61800,http://www.zillow.com/homedetails/24625-N-115th-Ave-Sun-City-AZ-85373/59268932_zpid
1595247,17250865,"431 W Vananda Ave, Ajo, AZ 85321",34904.640625,90804.640625,55900,http://www.zillow.com/homedetails/431-W-Vananda-Ave-Ajo-AZ-85321/8662743_zpid
1140723,20722868,"11705 W Paradise Dr, El Mirage, AZ 85335 ",34702.7578125,94702.7578125,60000,http://www.zillow.com/homedetails/11705-W-Paradise-Dr-El-Mirage-AZ-85335/58494246_zpid
1177802,20838610,"1240 S Saguaro St, Gilbert, AZ 85233 ",34675.609375,144675.609375,110000,http://www.zillow.com/homedetails/1240-S-Saguaro-St-Gilbert-AZ-85233/8180521_zpid
1594939,20706734,"330 W Estrella Ave, Ajo, AZ 85321 ",34014.8515625,89014.8515625,55000,http://www.zillow.com/homedetails/330-W-Estrella-Ave-Ajo-AZ-85321/8662723_zpid
1593808,20699590,"200 E 3rd Ave, Ajo, AZ 85321 ",33784.3828125,102784.3828125,69000,http://www.zillow.com/homedetails/200-E-3rd-Ave-Ajo-AZ-85321/8663520_zpid
405385,21313441,"4668 W Juniper Ave, Glendale, AZ 85306 ",33376.15625,139876.15625,106500,http://www.zillow.com/homedetails/4668-W-Juniper-Ave-Glendale-AZ-85306/7950808_zpid
1519206,13572819,"1781 Papago Pl, Wickenburg, AZ 85390 ",33214.625,242214.625,209000,https://www.zillow.com/homedetails/1781-Papago-Pl-Wickenburg-AZ-85390/8316338_zpid/
1430351,21415530,"6127 W Fallen Leaf Ln, Glendale, AZ 85310 ",32826.390625,181826.390625,149000,http://www.zillow.com/homedetails/6127-W-Fallen-Leaf-Ln-Glendale-AZ-85310/7926959_zpid
1168564,19993277,"514 W Papago St, Gila Bend, AZ 85337 ",32740.765625,92740.765625,60000,https://www.zillow.com/homedetails/514-W-Papago-St-Gila-Bend-AZ-85337/8289363_zpid/
1177343,20722572,"1219 W Sand Dune Dr, Gilbert, AZ 85233 ",32496.859375,176496.859375,144000,http://www.zillow.com/homedetails/1219-W-Sand-Dune-Dr-Gilbert-AZ-85233/8202795_zpid
258445,20714723,"608 W Oraibi Dr, Phoenix, AZ 85027 ",32385.7109375,87385.7109375,55000,http://www.zillow.com/homedetails/608-W-Oraibi-Dr-Phoenix-AZ-85027/7968152_zpid
1846026,20718974,"8840 E Sunland Ave LOT 8, Mesa, AZ 85208 ",32224.390625,107124.390625,74900,http://www.zillow.com/homedetails/8840-E-Sunland-Ave-LOT-08-Mesa-AZ-85208/2098267072_zpid/
1342635,20711238,"4444 W Palmaire Ave, Glendale, AZ 85301 ",32185.0078125,102185.0078125,70000,http://www.zillow.com/homedetails/4444-W-Palmaire-Ave-Glendale-AZ-85301/7725495_zpid
1418898,20717850,"7813 W Palo Verde Dr, Glendale, AZ 85303 ",31765.71875,131765.71875,100000,http://www.zillow.com/homedetails/7813-W-Palo-Verde-Dr-Glendale-AZ-85303/7463670_zpid
1402122,20713205,"5212 N 67th Dr, Glendale, AZ 85303 ",31759.1875,89759.1875,58000,http://www.zillow.com/homedetails/5212-N-67th-Dr-Glendale-AZ-85303/7709317_zpid
786559,21701844,"1457 E El Moro Ave, Mesa, AZ 85204 ",31695.828125,116695.828125,85000,http://www.zillow.com/homedetails/1457-E-El-Moro-Ave-Mesa-AZ-85204/7627099_zpid
1877962,20707891,"358 N Jackson St, Wickenburg, AZ 85390 ",31648.21875,176648.21875,145000,http://www.zillow.com/homedetails/358-N-Jackson-St-Wickenburg-AZ-85390/67087286_zpid/
1944758,3204568,"3828 N 32nd St, Phoenix, AZ 85018 ",31627.6328125,86527.6328125,54900,http://www.zillow.com/homedetails/3828-N-32nd-St-Phoenix-AZ-85018/2105909241_zpid/
1149048,20693786,"12531 W Saint Moritz Ln, El Mirage, AZ 85335 ",30922.484375,95822.484375,64900,http://www.zillow.com/homedetails/12531-W-Saint-Moritz-Ln-El-Mirage-AZ-85335/62740717_zpid
926199,21706752,"23647 W Chambers St, Buckeye, AZ 85326 ",30477.03125,112477.03125,82000,http://www.zillow.com/homedetails/23647-W-Chambers-St-Buckeye-AZ-85326/82828767_zpid
225476,20694426,"1352 W Wahalla Ln, Phoenix, AZ 85027 ",30410.859375,107310.859375,76900,http://www.zillow.com/homedetails/1352-W-Wahalla-Ln-Phoenix-AZ-85027/7972082_zpid
318907,21671914,"1114 W Orange Dr, Phoenix, AZ 85013 ",30336.78125,125836.78125,95500,http://www.zillow.com/homedetails/1114-W-Orange-Dr-Phoenix-AZ-85013/7776221_zpid
1313957,20708090,"3615 E Morning Star Ln, Gilbert, AZ 85298 ",30243.9375,145243.9375,115000,http://www.zillow.com/homedetails/3615-E-Morning-Star-Ln-Gilbert-AZ-85298/59261631_zpid
1091846,20716411,"703 W Temple St, Chandler, AZ 85225 ",29640.25,120640.25,91000,http://www.zillow.com/homedetails/703-W-Temple-St-Chandler-AZ-85225/8183534_zpid
8924097,17147530,"10417 W Peoria Ave, Sun City, AZ 85351 ",29276.8828125,96776.8828125,67500,https://www.zillow.com/homedetails/10417-W-Peoria-Ave-Sun-City-AZ-85351/7694029_zpid/
1666650,13918330,"17822 N Del Webb Blvd, Sun City, AZ 85373",29116.0234375,87116.0234375,58000,http://www.zillow.com/homedetails/17822-N-Del-Webb-Blvd-Sun-City-AZ-85373/2122038998_zpid
1593440,20694854,"1410 W Clymer St, Ajo, AZ 85321 ",29114.7265625,119014.7265625,89900,http://www.zillow.com/homedetails/1410-W-Clymer-St-Ajo-AZ-85321/8662457_zpid
866836,20693716,"12528 W Adams St, Avondale, AZ 85323 ",29099.5546875,109099.5546875,80000,http://www.zillow.com/homedetails/12528-W-Adams-St-Avondale-AZ-85323/55282417_zpid
259958,20699532,"19850 N 48th Ln, Glendale, AZ 85308 ",29038.109375,99038.109375,70000,http://www.zillow.com/homedetails/19850-N-48th-Ln-Glendale-AZ-85308/82781275_zpid
553426,17863463,"2021 W Jefferson St, Phoenix, AZ 85009 ",28693.328125,98693.328125,70000,https://www.zillow.com/homedetails/2021-W-Jefferson-St-Phoenix-AZ-85009/81994548_zpid/
7445065,13582489,"24412 W Morning Vista Ln, Wittmann, AZ 85361 ",28686.890625,189236.890625,160550,https://www.zillow.com/homedetails/24412-W-Morning-Vista-Ln-Wittmann-AZ-85361/71625296_zpid/
1595858,20717083,"740 W Esperanza Ave, Ajo, AZ 85321 ",28670.609375,81570.609375,52900,http://www.zillow.com/homedetails/740-W-Esperanza-Ave-Ajo-AZ-85321/8662854_zpid
135135,20697261,"17200 W Bell Rd LOT 2181, Surprise, AZ 85374 ",28567.796875,83517.796875,54950,http://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-2181-Surprise-AZ-85374/8318059_zpid
912120,21702568,"1620 S 228th Ln, Buckeye, AZ 85326 ",28458.515625,98458.515625,70000,http://www.zillow.com/homedetails/1620-S-228th-Ln-Buckeye-AZ-85326/60997307_zpid
402714,20693209,"12032 N 60th Ave, Glendale, AZ 85304 ",28364.59375,137364.59375,109000,http://www.zillow.com/homedetails/12032-N-60th-Ave-Glendale-AZ-85304/7698007_zpid
215539,17872684,"1429 E Cortez St, Phoenix, AZ 85020 ",28273.109375,90273.109375,62000,https://www.zillow.com/homedetails/1429-E-Cortez-St-Phoenix-AZ-85020/7785266_zpid/
351345,20715718,"6556 W Florence Ave, Phoenix, AZ 85043 ",28073.6171875,126573.6171875,98500,http://www.zillow.com/homedetails/6556-W-Florence-Ave-Phoenix-AZ-85043/49641599_zpid
