property_id,transaction_id,address,zipcode,ypred,predicted_price,list,url
9021965,23836959,"1 S 95th Ave, Tolleson, AZ 85353 ",85353,-22807.1875,51192.8125,74000,https://www.zillow.com/homedetails/1-S-95th-Ave-Tolleson-AZ-85353/7460084_zpid/
345521,23753202,"2846 W Melvin St, Phoenix, AZ 85009 ",85009,-31786.5546875,48213.4453125,80000,https://www.zillow.com/homedetails/2846-W-Melvin-St-Phoenix-AZ-85009/7514191_zpid/
8977242,23802183,"16434 N 32nd Pl, Phoenix, AZ 85032 ",85032,-37500.32421875,46499.67578125,84000,https://www.zillow.com/homedetails/16434-N-32nd-Pl-Phoenix-AZ-85032/8006065_zpid/
9003553,22620794,"1140 S 10th St, Phoenix, AZ 85034 ",85034,-42431.54296875,47568.45703125,90000,https://www.zillow.com/homedetails/1140-S-10th-St-Phoenix-AZ-85034/7528177_zpid/
9021371,23837196,"1845 E Harvard St, Phoenix, AZ 85006 ",85006,-44119.94921875,45780.05078125,89900,https://www.zillow.com/homedetails/1845-E-Harvard-St-Phoenix-AZ-85006/2092345277_zpid/
349028,23836396,"3535 W Moreland St, Phoenix, AZ 85009 ",85009,-48585.40625,51314.59375,99900,https://www.zillow.com/homedetails/3535-W-Moreland-St-Phoenix-AZ-85009/7505403_zpid/
310725,23757967,"1109 W Sherman St, Phoenix, AZ 85007 ",85007,-50999.7578125,48000.2421875,99000,https://www.zillow.com/homedetails/1109-W-Sherman-St-Phoenix-AZ-85007/7522651_zpid/
364303,22743539,"9353 W Taylor St, Tolleson, AZ 85353 ",85353,-51591.6484375,47408.3515625,99000,https://www.zillow.com/homedetails/9353-W-Taylor-St-Tolleson-AZ-85353/7477007_zpid/
8990467,22512781,"1711 E Harvard Street Phoenix Az, Phoenix, AZ 85006 ",85006,-52149.20703125,47850.79296875,100000,https://www.zillow.com/homedetails/1711-E-Harvard-Street-Phoenix-Az-Phoenix-AZ-85006/2093095994_zpid/
328718,23810569,"2235 W Highland Ave, Phoenix, AZ 85015 ",85015,-52975.125,46024.875,99000,https://www.zillow.com/homedetails/2235-W-Highland-Ave-Phoenix-AZ-85015/7767290_zpid/
8962037,22706185,"3731 E Taylor St, Phoenix, AZ 85008 ",85008,-62593.73828125,47306.26171875,109900,https://www.zillow.com/homedetails/3731-E-Taylor-St-Phoenix-AZ-85008/7544415_zpid/
350252,22116796,"3827 W Taylor St, Phoenix, AZ 85009 ",85009,-64037.43359375,48462.56640625,112500,https://www.zillow.com/homedetails/3827-W-Taylor-St-Phoenix-AZ-85009/7505668_zpid/
1354714,21989085,"6518 N 60th Ave, Glendale, AZ 85301 ",85301,-66065.640625,48934.359375,115000,https://www.zillow.com/homedetails/6518-N-60th-Ave-Glendale-AZ-85301/7707850_zpid/
1935608,23825006,"3358 W Portland St, Phoenix, AZ 85009 ",85009,-66540.6484375,53459.3515625,120000,https://www.zillow.com/homedetails/3358-W-Portland-St-Phoenix-AZ-85009/7513257_zpid/
7515382,22616806,"3843 W Grant St, Phoenix, AZ 85009 ",85009,-66996.69140625,47903.30859375,114900,https://www.zillow.com/homedetails/3843-W-Grant-St-Phoenix-AZ-85009/7506219_zpid/
9021286,23820140,"2141 E Garfield St, Phoenix, AZ 85006 ",85006,-67234.41796875,50665.58203125,117900,https://www.zillow.com/homedetails/2141-E-Garfield-St-Phoenix-AZ-85006/7528698_zpid/
400671,23831009,"14003 N 54th Ave, Glendale, AZ 85306 ",85306,-68508.0078125,51491.9921875,120000,https://www.zillow.com/homedetails/14003-N-54th-Ave-Glendale-AZ-85306/8097997_zpid/
9024050,23836151,"9819 W Lancaster Dr, Sun City, AZ 85351 ",85351,-70672.2734375,50327.7265625,121000,https://www.zillow.com/homedetails/9819-W-Lancaster-Dr-Sun-City-AZ-85351/7915437_zpid/
316554,23837195,"1843 E Harvard St, Phoenix, AZ 85006 ",85006,-70964.09375,48935.90625,119900,https://www.zillow.com/homedetails/1843-E-Harvard-St-Phoenix-AZ-85006/7531029_zpid/
534678,23816250,"1122 N 26th St, Phoenix, AZ 85008 ",85008,-71039.6328125,47960.3671875,119000,https://www.zillow.com/homedetails/1122-N-26th-St-Phoenix-AZ-85008/7545659_zpid/
8967033,23805180,"9409 S Calle Maravilla, Guadalupe, AZ 85283 ",85283,-71592.9921875,48404.0078125,119997,https://www.zillow.com/homedetails/9409-S-Calle-Maravilla-Guadalupe-AZ-85283/8143091_zpid/
396647,23804893,"8225 N 32ND Ave, Phoenix, AZ 85051 ",85051,-71813.2578125,48186.7421875,120000,https://www.zillow.com/homedetails/8225-N-32ND-Ave-Phoenix-AZ-85051/7751472_zpid/
1355576,23760088,"6629 N 54th Dr, Glendale, AZ 85301 ",85301,-73017.421875,46979.578125,119997,https://www.zillow.com/homedetails/6629-N-54th-Dr-Glendale-AZ-85301/7722242_zpid/
9021583,23810045,"13074 N 100th Ave, Sun City, AZ 85351 ",85351,-73452.84765625,46547.15234375,120000,https://www.zillow.com/homedetails/13074-N-100th-Ave-Sun-City-AZ-85351/7916152_zpid/
501018,22711998,"7420 W Alvarado Rd, Phoenix, AZ 85035 ",85035,-73692.921875,46207.078125,119900,https://www.zillow.com/homedetails/7420-W-Alvarado-Rd-Phoenix-AZ-85035/7474905_zpid/
9023637,23828226,"2201 N 36th Dr, Phoenix, AZ 85009 ",85009,-74797.6796875,50202.3203125,125000,https://www.zillow.com/homedetails/2201-N-36th-Dr-Phoenix-AZ-85009/7511207_zpid/
345079,22412828,"2742 W Pierce St, Phoenix, AZ 85009 ",85009,-74944.21875,44955.78125,119900,https://www.zillow.com/homedetails/2742-W-Pierce-St-Phoenix-AZ-85009/7513479_zpid/
9023845,23833062,"1333 N 32nd Ave, Phoenix, AZ 85009 ",85009,-76365.9296875,48634.0703125,125000,https://www.zillow.com/homedetails/1333-N-32nd-Ave-Phoenix-AZ-85009/7513099_zpid/
9023847,23833069,"2801 N 49th Dr, Phoenix, AZ 85035 ",85035,-77017.21484375,50982.78515625,128000,https://www.zillow.com/homedetails/2801-N-49th-Dr-Phoenix-AZ-85035/113982371_zpid/
347659,23821801,"9425 N 11th Ave, Phoenix, AZ 85021 ",85021,-77056.4453125,49943.5546875,127000,https://www.zillow.com/homedetails/9425-N-11th-Ave-Phoenix-AZ-85021/7782046_zpid/
1354557,23800556,"6504 N 61st Ave, Glendale, AZ 85301 ",85301,-77217.43359375,47782.56640625,125000,https://www.zillow.com/homedetails/6504-N-61st-Ave-Glendale-AZ-85301/7707995_zpid/
462188,23821702,"2612 W Avalon Dr, Phoenix, AZ 85017 ",85017,-77432.52734375,52067.47265625,129500,https://www.zillow.com/homedetails/2612-W-Avalon-Dr-Phoenix-AZ-85017/7519257_zpid/
8969572,23828388,"6331 W Whitton Ave, Phoenix, AZ 85033 ",85033,-78012.23046875,48486.76953125,126499,https://www.zillow.com/homedetails/6331-W-Whitton-Ave-Phoenix-AZ-85033/7489157_zpid/
9016577,23797077,"9709 W Oak Ridge Dr, Sun City, AZ 85351 ",85351,-79251.64453125,50648.35546875,129900,https://www.zillow.com/homedetails/9709-W-Oak-Ridge-Dr-Sun-City-AZ-85351/7904524_zpid/
306980,23827179,"15 E Tonto St, Phoenix, AZ 85004 ",85004,-79878.53515625,50121.46484375,130000,https://www.zillow.com/homedetails/15-E-Tonto-St-Phoenix-AZ-85004/7522944_zpid/
9022041,23810319,"3120 W Pierce St, Phoenix, AZ 85009 ",85009,-79967.41015625,44932.58984375,124900,https://www.zillow.com/homedetails/3120-W-Pierce-St-Phoenix-AZ-85009/7513849_zpid/
341240,23836388,"1101 N 33rd Ave, Phoenix, AZ 85009 ",85009,-80161.67578125,49638.32421875,129800,https://www.zillow.com/homedetails/1101-N-33rd-Ave-Phoenix-AZ-85009/7513294_zpid/
344279,23649625,"2322 W Papago St, Phoenix, AZ 85009 ",85009,-81361.265625,43638.734375,125000,https://www.zillow.com/homedetails/2322-W-Papago-St-Phoenix-AZ-85009/81972695_zpid/
8454416,22732374,"10609 N 81st Ave, Peoria, AZ 85345 ",85345,-81459.5078125,48440.4921875,129900,https://www.zillow.com/homedetails/10609-N-81st-Ave-Peoria-AZ-85345/81966276_zpid/
379293,23800540,"2626 W Northview Ave, Phoenix, AZ 85051 ",85051,-81902.72265625,47997.27734375,129900,https://www.zillow.com/homedetails/2626-W-Northview-Ave-Phoenix-AZ-85051/7779482_zpid/
450658,23828592,"8740 W Earll Dr, Phoenix, AZ 85037 ",85037,-82021.45703125,47977.54296875,129999,https://www.zillow.com/homedetails/8740-W-Earll-Dr-Phoenix-AZ-85037/7479995_zpid/
418146,23831040,"5010 W New World Dr, Glendale, AZ 85302 ",85302,-82204.38671875,52695.61328125,134900,https://www.zillow.com/homedetails/5010-W-New-World-Dr-Glendale-AZ-85302/7730649_zpid/
696959,23816281,"2938 W Almeria Rd, Phoenix, AZ 85009 ",85009,-83630.046875,49269.953125,132900,https://www.zillow.com/homedetails/2938-W-Almeria-Rd-Phoenix-AZ-85009/7512219_zpid/
481614,23813543,"2502 N 47th Ln, Phoenix, AZ 85035 ",85035,-83807.20703125,48092.79296875,131900,https://www.zillow.com/homedetails/2502-N-47th-Ln-Phoenix-AZ-85035/7499147_zpid/
9024166,23837264,"7608 W Whitton Ave, Phoenix, AZ 85033 ",85033,-83905.91015625,56094.08984375,140000,https://www.zillow.com/homedetails/7608-W-Whitton-Ave-Phoenix-AZ-85033/7478258_zpid/
9019753,23840133,"517 N Center St, Mesa, AZ 85201 ",85201,-84576.56640625,50423.43359375,135000,https://www.zillow.com/homedetails/517-N-Center-St-Mesa-AZ-85201/7622095_zpid/
343249,23831593,"2019 N 37th Ave, Phoenix, AZ 85009 ",85009,-85208.76171875,59791.23828125,145000,https://www.zillow.com/homedetails/2019-N-37th-Ave-Phoenix-AZ-85009/7511305_zpid/
308089,23836076,"742 S 1st St, Phoenix, AZ 85004 ",85004,-85358.94921875,49641.05078125,135000,https://www.zillow.com/homedetails/742-S-1st-St-Phoenix-AZ-85004/7522903_zpid/
9022735,23819777,"13216 N 31st Way, Phoenix, AZ 85032 ",85032,-85804.1953125,59195.8046875,145000,https://www.zillow.com/homedetails/13216-N-31st-Way-Phoenix-AZ-85032/50188555_zpid/
