property_id,transaction_id,address,zipcode,ypred,predicted_price,list,url
9021177,23755425,"206 E Maricopa Rd, Buckeye, AZ 85326 ",85326,52804.7578125,110304.7578125,57500,https://www.zillow.com/homedetails/206-E-Maricopa-Rd-Buckeye-AZ-85326/2092372167_zpid/
8962070,21972325,"209 E Clanton Ave, Buckeye, AZ 85326 ",85326,45821.78125,115821.78125,70000,https://www.zillow.com/homedetails/209-E-Clanton-Ave-Buckeye-AZ-85326/2093836839_zpid/
938103,22259059,"307 E Narramore Ave, Buckeye, AZ 85326 ",85326,32088.5546875,117088.5546875,85000,https://www.zillow.com/homedetails/307-E-Narramore-Ave-Buckeye-AZ-85326/8286372_zpid/
8980525,22433652,"18927 W Portland St, Buckeye, AZ 85326 ",85326,31296.3515625,111296.3515625,80000,https://www.zillow.com/homedetails/18927-W-Portland-St-Buckeye-AZ-85326/8307884_zpid/
938785,22603742,"401 N 6th St, Buckeye, AZ 85326 ",85326,26642.875,116642.875,90000,https://www.zillow.com/homedetails/401-N-6th-St-Buckeye-AZ-85326/8286403_zpid/
915910,22245093,"215 N Pima Rd, Buckeye, AZ 85326 ",85326,25444.7421875,120444.7421875,95000,https://www.zillow.com/homedetails/215-N-Pima-Rd-Buckeye-AZ-85326/8314073_zpid/
939863,22707051,"507 E Clanton Ave, Buckeye, AZ 85326 ",85326,22234.1328125,117234.1328125,95000,https://www.zillow.com/homedetails/507-E-Clanton-Ave-Buckeye-AZ-85326/81987074_zpid/
770002,23756509,"6443 E Butte St, Mesa, AZ 85205 ",85205,21057.1875,113957.1875,92900,https://www.zillow.com/homedetails/6443-E-Butte-St-Mesa-AZ-85205/7666996_zpid/
942253,21990023,"702 N Elm St, Buckeye, AZ 85326 ",85326,20654.765625,115654.765625,95000,https://www.zillow.com/homedetails/702-N-Elm-St-Buckeye-AZ-85326/8288012_zpid/
190540,22562285,"1610 W Roeser Rd, Phoenix, AZ 85041 ",85041,20112.765625,115112.765625,95000,https://www.zillow.com/homedetails/1610-W-Roeser-Rd-Phoenix-AZ-85041/7502182_zpid/
9021242,23756033,"5229 S 14th Ave, Phoenix, AZ 85041 ",85041,17072.2109375,116072.2109375,99000,https://www.zillow.com/homedetails/5229-S-14th-Ave-Phoenix-AZ-85041/7504084_zpid/
8996446,22564364,"131 N Higley Rd, Mesa, AZ 85205 ",85205,15138.6953125,110038.6953125,94900,https://www.zillow.com/homedetails/131-N-Higley-Rd-Mesa-AZ-85205/2104763565_zpid/
8998480,22737276,"296 E Saragosa St, Chandler, AZ 85225 ",85225,12394.453125,122394.453125,110000,https://www.zillow.com/homedetails/296-E-Saragosa-St-Chandler-AZ-85225/8206473_zpid/
1687002,22378255,"13257 W Bolero Dr, Sun City West, AZ 85375 ",85375,12151.1015625,112151.1015625,100000,https://www.zillow.com/homedetails/13257-W-Bolero-Dr-Sun-City-West-AZ-85375/8108933_zpid/
788675,23649176,"2012 E Birchwood Ave, Mesa, AZ 85204 ",85204,5140.71875,114640.71875,109500,https://www.zillow.com/homedetails/2012-E-Birchwood-Ave-Mesa-AZ-85204/7640678_zpid/
137261,22379217,"19414 N Camino Del Sol, Sun City West, AZ 85375 ",85375,4598.59375,109598.59375,105000,https://www.zillow.com/homedetails/19414-N-Camino-Del-Sol-Sun-City-West-AZ-85375/8106997_zpid/
914956,22689108,"201 E Eason Ave, Buckeye, AZ 85326 ",85326,3487.203125,118487.203125,115000,https://www.zillow.com/homedetails/201-E-Eason-Ave-Buckeye-AZ-85326/8286353_zpid/
8975233,22345581,"3614 N 87th Ave, Phoenix, AZ 85037 ",85037,2897.421875,117897.421875,115000,https://www.zillow.com/homedetails/3614-N-87th-Ave-Phoenix-AZ-85037/2093437112_zpid/
1884021,22272697,"612 E Centre Ave, Buckeye, AZ 85326 ",85326,-179.5625,119820.4375,120000,https://www.zillow.com/homedetails/612-E-Centre-Ave-Buckeye-AZ-85326/8286746_zpid/
8987841,22484768,"6119 E El Paso St, Mesa, AZ 85205 ",85205,-1193.25,118706.75,119900,https://www.zillow.com/homedetails/6119-E-El-Paso-St-Mesa-AZ-85205/7668181_zpid/
125023,23539289,"13403 W Desert Glen Dr, Sun City West, AZ 85375 ",85375,-3081.2265625,121918.7734375,125000,http://www.zillow.com/homedetails/13403-W-Desert-Glen-Dr-Sun-City-West-AZ-85375/8108640_zpid
1704751,23552075,"19645 N Star Ridge Dr, Sun City West, AZ 85375 ",85375,-4391.3125,120108.6875,124500,https://www.zillow.com/homedetails/19645-N-Star-Ridge-Dr-Sun-City-West-AZ-85375/8107060_zpid/
9020506,23526383,"408 W Baseline Rd, Buckeye, AZ 85326 ",85326,-5967.640625,123032.359375,129000,https://www.zillow.com/homedetails/408-W-Baseline-Rd-Buckeye-AZ-85326/8314339_zpid/
790588,22405800,"1049 E Dolphin Ave, Mesa, AZ 85204 ",85204,-6199.21875,118990.78125,125190,https://www.zillow.com/homedetails/1049-E-Dolphin-Ave-Mesa-AZ-85204/7630129_zpid/
769245,22508163,"6335 E Decatur St, Mesa, AZ 85205 ",85205,-7447.2578125,117552.7421875,125000,https://www.zillow.com/homedetails/6335-E-Decatur-St-Mesa-AZ-85205/7667930_zpid/
796250,22677228,"2901 E Impala Ave, Mesa, AZ 85204 ",85204,-9076.34375,125923.65625,135000,https://www.zillow.com/homedetails/2901-E-Impala-Ave-Mesa-AZ-85204/7653539_zpid/
1704176,22735858,"19411 N Star Ridge Dr, Sun City West, AZ 85375 ",85375,-9669.6015625,119230.3984375,128900,https://www.zillow.com/homedetails/19411-N-Star-Ridge-Dr-Sun-City-West-AZ-85375/8107121_zpid/
