property_id,transaction_id,address,ypred,predicted_price,list,url
8928226,21958692,"617 S St Louis Ave, Gila Bend, AZ 85337 ",90525.671875,150525.671875,60000,https://www.zillow.com/homedetails/617-S-St-Louis-Ave-Gila-Bend-AZ-85337/8289148_zpid/
671334,22124009,"7441 E Irwin Ave, Mesa, AZ 85209 ",82339.484375,154039.484375,71700,https://www.zillow.com/homedetails/7441-E-Irwin-Ave-Mesa-AZ-85209/8074681_zpid/
1592793,20692971,"1169 W Walker Rd, Ajo, AZ 85321 ",82310.296875,177210.296875,94900,http://www.zillow.com/homedetails/1169-W-Walker-Rd-Ajo-AZ-85321/8661875_zpid
220995,22185177,"9220 N 14th St, Phoenix, AZ 85020 ",61208.671875,206208.671875,145000,https://www.zillow.com/homedetails/9220-N-14th-St-Phoenix-AZ-85020/7787083_zpid/
1593440,20694854,"1410 W Clymer St, Ajo, AZ 85321 ",60034.765625,149934.765625,89900,http://www.zillow.com/homedetails/1410-W-Clymer-St-Ajo-AZ-85321/8662457_zpid
7384324,13163902,"2549 E Bart Street For Rent Only # 0, Gilbert, AZ 85295 ",46774.109375,146774.109375,100000,http://www.zillow.com/homedetails/2549-E-Bart-Street-For-Rent-Only-0-Gilbert-AZ-85295/2095666175_zpid/
212349,22066577,"6221 N 29th Pl, Phoenix, AZ 85016 ",45743.0,314743.0,269000,https://www.zillow.com/homedetails/6221-N-29th-Pl-Phoenix-AZ-85016/7810344_zpid/
1592638,20691987,"110 W North St, Ajo, AZ 85321 ",42842.515625,141842.515625,99000,http://www.zillow.com/homedetails/110-W-North-St-Ajo-AZ-85321/8663278_zpid
5063087,21962226,"8601 N 103rd Ave LOT 78, Peoria, AZ 85345 ",38402.7734375,116602.7734375,78200,https://www.zillow.com/homedetails/8601-N-103rd-Ave-LOT-78-Peoria-AZ-85345/7696049_zpid/
1558033,13912395,"493 W Mohave St, Wickenburg, AZ 85390 ",37900.109375,92800.109375,54900,https://www.zillow.com/homedetails/493-W-Mohave-St-Wickenburg-AZ-85390/52436328_zpid/
211079,22064474,"414 N 32nd Pl, Phoenix, AZ 85008 ",31565.75,86565.75,55000,https://www.zillow.com/homedetails/414-N-32nd-Pl-Phoenix-AZ-85008/7544573_zpid/
1472710,22235251,"15411 N 69th Ave, Peoria, AZ 85382 ",29545.3359375,94545.3359375,65000,https://www.zillow.com/homedetails/15411-N-69th-Ave-Peoria-AZ-85382/7902316_zpid/
1593712,21339940,"50825 W Church St, Aguila, AZ 85320 ",28827.8984375,117827.8984375,89000,http://www.zillow.com/homedetails/50825-W-Church-St-Aguila-AZ-85320/8316757_zpid
1935400,22210313,"5401 E Van Buren St, Phoenix, AZ 85008 ",27556.828125,119556.828125,92000,https://www.zillow.com/homedetails/5401-E-Van-Buren-St-Phoenix-AZ-85008/2129757672_zpid/
138322,21950094,"21205 N Verde Ridge Dr, Sun City West, AZ 85375 ",27554.34375,312554.34375,285000,https://www.zillow.com/homedetails/21205-N-Verde-Ridge-Dr-Sun-City-West-AZ-85375/8119992_zpid/
