property_id,transaction_id,address,zipcode,ypred,predicted_price,list,url
8928226,21958692,"617 S St Louis Ave, Gila Bend, AZ 85337 ",85337,80520.453125,140520.453125,60000,https://www.zillow.com/homedetails/617-S-St-Louis-Ave-Gila-Bend-AZ-85337/8289148_zpid/
8962070,21972325,"209 E Clanton Ave, Buckeye, AZ 85326 ",85326,73726.28125,143726.28125,70000,https://www.zillow.com/homedetails/209-E-Clanton-Ave-Buckeye-AZ-85326/2093836839_zpid/
671334,22124009,"7441 E Irwin Ave, Mesa, AZ 85209 ",85209,67666.046875,139366.046875,71700,https://www.zillow.com/homedetails/7441-E-Irwin-Ave-Mesa-AZ-85209/8074681_zpid/
7459565,13441628,"1050 S Wanda Drive Rent To Own, Gilbert Az, AZ 85296 ",85296,42905.484375,162905.484375,120000,https://www.zillow.com/homedetails/1050-S-Wanda-Drive-Rent-To-Own-Gilbert-Az-AZ-85296/2094865542_zpid/
1593440,20694854,"1410 W Clymer St, Ajo, AZ 85321 ",85321,41692.171875,131592.171875,89900,http://www.zillow.com/homedetails/1410-W-Clymer-St-Ajo-AZ-85321/8662457_zpid
1168617,21961207,"805 W Robert E Lee Ln, Gila Bend, AZ 85337 ",85337,39566.5078125,112566.5078125,73000,https://www.zillow.com/homedetails/805-W-Robert-E-Lee-Ln-Gila-Bend-AZ-85337/88787878_zpid/
36839,22494837,"4426 S 3rd St, Phoenix, AZ 85040 ",85040,38665.265625,178565.265625,139900,https://www.zillow.com/homedetails/4426-S-3rd-St-Phoenix-AZ-85040/81978722_zpid/
1592638,20691987,"110 W North St, Ajo, AZ 85321 ",85321,35006.84375,134006.84375,99000,http://www.zillow.com/homedetails/110-W-North-St-Ajo-AZ-85321/8663278_zpid
1935400,22210313,"5401 E Van Buren St, Phoenix, AZ 85008 ",85008,34190.8828125,126190.8828125,92000,https://www.zillow.com/homedetails/5401-E-Van-Buren-St-Phoenix-AZ-85008/2129757672_zpid/
215539,17872684,"1429 E Cortez St, Phoenix, AZ 85020 ",85020,31085.3671875,93085.3671875,62000,https://www.zillow.com/homedetails/1429-E-Cortez-St-Phoenix-AZ-85020/7785266_zpid/
8983167,22451265,"9151 E Butternut Ave, Mesa, AZ 85208 ",85208,30692.8125,98692.8125,68000,https://www.zillow.com/homedetails/9151-E-Butternut-Ave-Mesa-AZ-85208/8071478_zpid/
138617,21956746,"22006 N Golf Club Dr, Sun City West, AZ 85375 ",85375,28665.15625,328665.15625,300000,http://www.zillow.com/homedetails/22006-N-Golf-Club-Dr-Sun-City-West-AZ-85375/8120620_zpid
8974235,22332118,"301 E Kinderman Dr, Avondale, AZ 85323 ",85323,28238.4921875,118238.4921875,90000,https://www.zillow.com/homedetails/301-E-Kinderman-Dr-Avondale-AZ-85323/8291884_zpid/
5063087,21962226,"8601 N 103rd Ave LOT 78, Peoria, AZ 85345 ",85345,26272.5078125,104472.5078125,78200,https://www.zillow.com/homedetails/8601-N-103rd-Ave-LOT-78-Peoria-AZ-85345/7696049_zpid/
8046996,22422845,"1425 S 10th Ave, Phoenix, AZ 85007 ",85007,26096.7734375,95096.7734375,69000,https://www.zillow.com/homedetails/1425-S-10th-Ave-Phoenix-AZ-85007/7500613_zpid/
27623,13635148,"3522 E Polk St, Phoenix, AZ 85008 ",85008,25891.2109375,128891.2109375,103000,https://www.zillow.com/homedetails/3522-E-Polk-St-Phoenix-AZ-85008/7544519_zpid/
8980472,22433173,"7748 W Minnezona Ave, Phoenix, AZ 85033 ",85033,25884.421875,90784.421875,64900,https://www.zillow.com/homedetails/7748-W-Minnezona-Ave-Phoenix-AZ-85033/7482425_zpid/
8953874,21950467,"27601 N 195TH Ave, Wittmann, AZ 85361 ",85361,25129.03125,225029.03125,199900,https://www.zillow.com/homedetails/27601-N-195TH-Ave-Wittmann-AZ-85361/8310326_zpid/
1531886,22376095,"18654 E Mazatzal Cir, Rio Verde, AZ 85263 ",85263,24991.0625,200491.0625,175500,https://www.zillow.com/homedetails/18654-E-Mazatzal-Cir-Rio-Verde-AZ-85263/8081793_zpid/
1846026,20718974,"8840 E Sunland Ave LOT 8, Mesa, AZ 85208 ",85208,24938.828125,99838.828125,74900,http://www.zillow.com/homedetails/8840-E-Sunland-Ave-LOT-08-Mesa-AZ-85208/2098267072_zpid/
8984746,22492274,"9214 W Mckinley St, Tolleson, AZ 85353 ",85353,24493.4375,111493.4375,87000,https://www.zillow.com/homedetails/9214-W-Mckinley-St-Tolleson-AZ-85353/67081759_zpid/
8948849,22451238,"9111 E Birchwood Ave, Mesa, AZ 85208 ",85208,23985.109375,118985.109375,95000,https://www.zillow.com/homedetails/9111-E-Birchwood-Ave-Mesa-AZ-85208/8071623_zpid/
1595112,21253924,"400 W Morondo Ave, Ajo, AZ 85321 ",85321,23297.2734375,107297.2734375,84000,http://www.zillow.com/homedetails/400-W-Morondo-Ave-Ajo-AZ-85321/8662761_zpid
318396,22388092,"2141 E Mckinley St, Phoenix, AZ 85006 ",85006,21727.875,86627.875,64900,https://www.zillow.com/homedetails/2141-E-Mckinley-St-Phoenix-AZ-85006/7528706_zpid/
914956,22490904,"201 E Eason Ave, Buckeye, AZ 85326 ",85326,18785.34375,148785.34375,130000,https://www.zillow.com/homedetails/201-E-Eason-Ave-Buckeye-AZ-85326/8286353_zpid/
7551091,22122550,"643 S 87th Way, Mesa, AZ 85208 ",85208,17178.203125,116078.203125,98900,https://www.zillow.com/homedetails/643-S-87th-Way-Mesa-AZ-85208/8072475_zpid/
8971189,22300694,"10602 W Mountain View Rd, Sun City, AZ 85351 ",85351,16958.3125,98958.3125,82000,https://www.zillow.com/homedetails/10602-W-Mountain-View-Rd-Sun-City-AZ-85351/7694835_zpid/
1168564,21958058,"514 W Papago St, Gila Bend, AZ 85337 ",85337,16907.5546875,76907.5546875,60000,https://www.zillow.com/homedetails/514-W-Papago-St-Gila-Bend-AZ-85337/8289363_zpid/
4672666,21546161,"926 S Evangeline Ave, Mesa, AZ 85208 ",85208,16224.953125,81224.953125,65000,http://www.zillow.com/homedetails/926-S-Evangeline-Ave-Mesa-AZ-85208/8090250_zpid/
138374,22337105,"21403 N Palm Desert Dr, Sun City West, AZ 85375 ",85375,14720.875,238720.875,224000,https://www.zillow.com/homedetails/21403-N-Palm-Desert-Dr-Sun-City-West-AZ-85375/8113915_zpid/
8972667,22429756,"423 N 40TH Ave, Phoenix, AZ 85009 ",85009,13777.4140625,111777.4140625,98000,https://www.zillow.com/homedetails/423-N-40TH-Ave-Phoenix-AZ-85009/7505121_zpid/
8977543,22378461,"17200 W Bell Rd LOT 2172, Surprise, AZ 85374 ",85374,13608.640625,74108.640625,60500,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-2172-Surprise-AZ-85374/8318050_zpid/
7515667,21816669,"5317 N Black Canyon Hwy, Phoenix, AZ 85015 ",85015,13020.1015625,78020.1015625,65000,https://www.zillow.com/homedetails/5317-N-Black-Canyon-Hwy-Phoenix-AZ-85015/2094660675_zpid/
938103,22259059,"307 E Narramore Ave, Buckeye, AZ 85326 ",85326,12919.078125,97919.078125,85000,https://www.zillow.com/homedetails/307-E-Narramore-Ave-Buckeye-AZ-85326/8286372_zpid/
32834,22488477,"804 S 4th Ave, Phoenix, AZ 85003 ",85003,12662.578125,107662.578125,95000,https://www.zillow.com/homedetails/804-S-4th-Ave-Phoenix-AZ-85003/71595758_zpid/
35813,22482568,"312 E Illini St, Phoenix, AZ 85040 ",85040,9669.75,139668.75,129999,https://www.zillow.com/homedetails/312-E-Illini-St-Phoenix-AZ-85040/7523781_zpid/
1591806,22423762,"267 Gompers Cir, Morristown, AZ 85342 ",85342,7432.71875,132432.71875,125000,https://www.zillow.com/homedetails/267-Gompers-Cir-Morristown-AZ-85342/50204209_zpid/
8964603,22066478,"10405 W Peoria Ave, Sun City, AZ 85351 ",85351,6960.515625,81860.515625,74900,https://www.zillow.com/homedetails/10405-W-Peoria-Ave-Sun-City-AZ-85351/7694023_zpid/
8981364,22486614,"3306 S 365th Ave, Tonopah, AZ 85354 ",85354,6958.296875,76958.296875,70000,https://www.zillow.com/homedetails/3306-S-365th-Ave-Tonopah-AZ-85354/71602675_zpid/
1845921,20717870,"7750 E Broadway Rd LOT 170, Mesa, AZ 85208 ",85208,5973.9296875,95473.9296875,89500,http://www.zillow.com/homedetails/7750-E-Broadway-Rd-LOT-170-Mesa-AZ-85208/8070475_zpid/
2067606,20774003,"10866 W Santa Fe Dr, Sun City, AZ 85351 ",85351,5777.140625,105677.140625,99900,http://www.zillow.com/homedetails/10866-W-Santa-Fe-Dr-Sun-City-AZ-85351/7918348_zpid/
8977544,22378474,"17200 W Bell Rd LOT 2175, Surprise, AZ 85374 ",85374,5130.4296875,90130.4296875,85000,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-2175-Surprise-AZ-85374/8318053_zpid/
2050279,22490667,"11275 N 99th Ave LOT 107, Peoria, AZ 85345 ",85345,4846.9765625,84846.9765625,80000,https://www.zillow.com/homedetails/11275-N-99th-Ave-LOT-107-Peoria-AZ-85345/7686364_zpid/
8951799,21942254,"10261 N 108th Ave, Sun City, AZ 85351 ",85351,4807.7578125,77607.7578125,72800,https://www.zillow.com/homedetails/10261-N-108th-Ave-Sun-City-AZ-85351/7695802_zpid/
396597,22382894,"8221 N 33rd Ln, Phoenix, AZ 85051 ",85051,4457.34375,74157.34375,69700,https://www.zillow.com/homedetails/8221-N-33rd-Ln-Phoenix-AZ-85051/7751787_zpid/
203212,22494861,"9433 S 14th Ave, Phoenix, AZ 85041 ",85041,3815.9921875,73815.9921875,70000,https://www.zillow.com/homedetails/9433-S-14th-Ave-Phoenix-AZ-85041/8132367_zpid/
831768,17860354,"4045 W Reade Ave, Phoenix, AZ 85019 ",85019,3270.578125,68170.578125,64900,https://www.zillow.com/homedetails/4045-W-Reade-Ave-Phoenix-AZ-85019/7721646_zpid/
8974555,22405461,"3916 W Tonto St, Phoenix, AZ 85009 ",85009,2412.09765625,61912.09765625,59500,https://www.zillow.com/homedetails/3916-W-Tonto-St-Phoenix-AZ-85009/2093464324_zpid/
8948359,22360765,"286 Gompers Cir, Morristown, AZ 85342 ",85342,2329.6796875,122279.6796875,119950,https://www.zillow.com/homedetails/286-Gompers-Cir-Morristown-AZ-85342/50204206_zpid/
8980808,22435706,"3709 E Taylor St, Phoenix, AZ 85008 ",85008,1952.9609375,71952.9609375,70000,https://www.zillow.com/homedetails/3709-E-Taylor-St-Phoenix-AZ-85008/7544430_zpid/
7429821,22393075,"9803 W Utopia Rd, Peoria, AZ 85382 ",85382,1535.765625,212535.765625,211000,https://www.zillow.com/homedetails/9803-W-Utopia-Rd-Peoria-AZ-85382/7893558_zpid/
8975375,22346615,"4053 N Palomino Rd, Phoenix, AZ 85019 ",85019,1315.0703125,72315.0703125,71000,https://www.zillow.com/homedetails/4053-N-Palomino-Rd-Phoenix-AZ-85019/2093432828_zpid/
210159,22244762,"3720 E Fillmore St, Phoenix, AZ 85008 ",85008,1296.2109375,76296.2109375,75000,https://www.zillow.com/homedetails/3720-E-Fillmore-St-Phoenix-AZ-85008/7544460_zpid/
942253,21990023,"702 N Elm St, Buckeye, AZ 85326 ",85326,467.515625,95467.515625,95000,https://www.zillow.com/homedetails/702-N-Elm-St-Buckeye-AZ-85326/8288012_zpid/
8977547,22378499,"17200 W Bell Rd LOT 320, Surprise, AZ 85374 ",85374,362.859375,97862.859375,97500,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-320-Surprise-AZ-85374/8317484_zpid/
138797,17875385,"22504 N Twin Buttes Dr, Sun City West, AZ 85375 ",85375,226.421875,220226.421875,220000,https://www.zillow.com/homedetails/22504-N-Twin-Buttes-Dr-Sun-City-West-AZ-85375/8120543_zpid/
420747,21987262,"5907 W Golden Ln, Glendale, AZ 85302 ",85302,-224.3828125,75675.6171875,75900,https://www.zillow.com/homedetails/5907-W-Golden-Ln-Glendale-AZ-85302/7703814_zpid/
8799154,22037371,"5825 S 36th Dr, Phoenix, AZ 85041 ",85041,-569.765625,69430.234375,70000,https://www.zillow.com/homedetails/5825-S-36th-Dr-Phoenix-AZ-85041/7502848_zpid/
1879799,21902322,"308 E Papago St, Gila Bend, AZ 85337 ",85337,-759.3828125,89140.6171875,89900,https://www.zillow.com/homedetails/308-E-Papago-St-Gila-Bend-AZ-85337/81985734_zpid/
8984289,22463223,"3802 W Grant St, Phoenix, AZ 85009 ",85009,-1564.640625,58335.359375,59900,https://www.zillow.com/homedetails/3802-W-Grant-St-Phoenix-AZ-85009/7506190_zpid/
36021,22092805,"4003 S 44th St, Phoenix, AZ 85040 ",85040,-1864.453125,65935.546875,67800,https://www.zillow.com/homedetails/4003-S-44th-St-Phoenix-AZ-85040/7557236_zpid/
8946965,21942483,"10423 W Deanne Dr, Sun City, AZ 85351 ",85351,-2334.7578125,90565.2421875,92900,https://www.zillow.com/homedetails/10423-W-Deanne-Dr-Sun-City-AZ-85351/7694247_zpid/
477084,22324629,"1621 N 52nd Dr, Phoenix, AZ 85035 ",85035,-2699.953125,97200.046875,99900,https://www.zillow.com/homedetails/1621-N-52nd-Dr-Phoenix-AZ-85035/7493776_zpid/
8985191,22490663,"11411 N 91st Ave LOT 124, Peoria, AZ 85345 ",85345,-2843.07421875,65156.92578125,68000,https://www.zillow.com/homedetails/11411-N-91st-Ave-LOT-124-Peoria-AZ-85345/2093236550_zpid/
18394,22378442,"17200 W Bell Rd LOT 2168, Surprise, AZ 85374 ",85374,-3696.3359375,69203.6640625,72900,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-2168-Surprise-AZ-85374/8318046_zpid/
830732,17860389,"3835 W Crittenden Ln, Phoenix, AZ 85019 ",85019,-4275.3359375,65624.6640625,69900,https://www.zillow.com/homedetails/3835-W-Crittenden-Ln-Phoenix-AZ-85019/7508966_zpid/
331937,22491180,"5107 N 22nd Ave, Phoenix, AZ 85015 ",85015,-4370.1484375,75529.8515625,79900,https://www.zillow.com/homedetails/5107-N-22nd-Ave-Phoenix-AZ-85015/7765288_zpid/
7390078,19904307,"19602 N 32nd St LOT 53, Phoenix, AZ 85050 ",85050,-4385.46875,115614.53125,120000,http://www.zillow.com/homedetails/19602-N-32nd-St-LOT-53-Phoenix-AZ-85050/2134656494_zpid/
8057453,21942766,"10632 W Coggins Dr, Sun City, AZ 85351 ",85351,-5241.4296875,75758.5703125,81000,https://www.zillow.com/homedetails/10632-W-Coggins-Dr-Sun-City-AZ-85351/7917064_zpid/
345471,22114111,"2841 W Pima St, Phoenix, AZ 85009 ",85009,-5711.48046875,50788.51953125,56500,https://www.zillow.com/homedetails/2841-W-Pima-St-Phoenix-AZ-85009/7501053_zpid/
8985289,22489771,"345 S Oregon St, Chandler, AZ 85225 ",85225,-5778.9609375,89121.0390625,94900,https://www.zillow.com/homedetails/345-S-Oregon-St-Chandler-AZ-85225/8206564_zpid/
8952614,21942687,"10608 W Connecticut Ave, Sun City, AZ 85351 ",85351,-6221.9765625,93778.0234375,100000,https://www.zillow.com/homedetails/10608-W-Connecticut-Ave-Sun-City-AZ-85351/7919747_zpid/
8977553,22378522,"17200 W Bell Rd LOT 49, Surprise, AZ 85374 ",85374,-6631.671875,88368.328125,95000,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-49-Surprise-AZ-85374/2094855909_zpid/
8956559,21943280,"10944 W Coggins Dr, Sun City, AZ 85351 ",85351,-7562.34375,71937.65625,79500,https://www.zillow.com/homedetails/10944-W-Coggins-Dr-Sun-City-AZ-85351/67084888_zpid/
5187874,22128128,"9747 W Royal Ridge Dr, Sun City, AZ 85351 ",85351,-7643.7421875,80856.2578125,88500,https://www.zillow.com/homedetails/9747-W-Royal-Ridge-Dr-Sun-City-AZ-85351/2124330228_zpid/
384179,22380690,"3419 W Echo Ln, Phoenix, AZ 85051 ",85051,-7682.375,64317.625,72000,https://www.zillow.com/homedetails/3419-W-Echo-Ln-Phoenix-AZ-85051/7751649_zpid/
7415052,22325743,"24 E Kinderman Dr, Avondale, AZ 85323 ",85323,-7905.6953125,100094.3046875,108000,https://www.zillow.com/homedetails/24-E-Kinderman-Dr-Avondale-AZ-85323/8291868_zpid/
397130,22383113,"8424 N 34th Ave, Phoenix, AZ 85051 ",85051,-8099.796875,63900.203125,72000,https://www.zillow.com/homedetails/8424-N-34th-Ave-Phoenix-AZ-85051/7751634_zpid/
397163,22382978,"8426 N 34th Ave, Phoenix, AZ 85051 ",85051,-8099.796875,63900.203125,72000,https://www.zillow.com/homedetails/8426-N-34th-Ave-Phoenix-AZ-85051/2108608876_zpid/
8980525,22433652,"18927 W Portland St, Buckeye, AZ 85326 ",85326,-8185.984375,71814.015625,80000,https://www.zillow.com/homedetails/18927-W-Portland-St-Buckeye-AZ-85326/8307884_zpid/
37153,13637947,"4517 E Riverside St, Phoenix, AZ 85040 ",85040,-8503.421875,56396.578125,64900,https://www.zillow.com/homedetails/4517-E-Riverside-St-Phoenix-AZ-85040/7556983_zpid/
1559439,22454408,"59 N Adams St, Wickenburg, AZ 85390 ",85390,-8774.484375,86225.515625,95000,https://www.zillow.com/homedetails/59-N-Adams-St-Wickenburg-AZ-85390/8316521_zpid/
1342740,21982964,"4468 W Palmaire Ave, Glendale, AZ 85301 ",85301,-8977.9375,114022.0625,123000,https://www.zillow.com/homedetails/4468-W-Palmaire-Ave-Glendale-AZ-85301/7725501_zpid/
7428452,13344675,"3800 S Cantabria Cir, Chandler, AZ 85248 ",85248,-9093.21875,215906.78125,225000,https://www.zillow.com/homedetails/3800-S-Cantabria-Cir-Chandler-AZ-85248/2104266213_zpid/
39197,17879099,"5811 S 9th St, Phoenix, AZ 85040 ",85040,-10161.5703125,68838.4296875,79000,https://www.zillow.com/homedetails/5811-S-9th-St-Phoenix-AZ-85040/7525240_zpid/
7444805,22199318,"8817 N 12th Pl, Phoenix, AZ 85020 ",85020,-10215.0625,77284.9375,87500,https://www.zillow.com/homedetails/8817-N-12th-Pl-Phoenix-AZ-85020/2142287555_zpid/
8983020,22450071,"6756 N 43rd Ave, Glendale, AZ 85301 ",85301,-10400.703125,84499.296875,94900,https://www.zillow.com/homedetails/6756-N-43rd-Ave-Glendale-AZ-85301/7723185_zpid/
202089,21637091,"750 W Jones Ave, Phoenix, AZ 85041 ",85041,-10707.921875,87792.078125,98500,https://www.zillow.com/homedetails/750-W-Jones-Ave-Phoenix-AZ-85041/7523382_zpid/
8977557,22378606,"17200 W Bell Rd LOT 836, Surprise, AZ 85374 ",85374,-11421.765625,88478.234375,99900,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-836-Surprise-AZ-85374/109584302_zpid/
8981171,22438346,"12220 N Hacienda Dr, Sun City, AZ 85351 ",85351,-11546.375,113453.625,125000,https://www.zillow.com/homedetails/12220-N-Hacienda-Dr-Sun-City-AZ-85351/7916857_zpid/
1355576,22243064,"6629 N 54th Dr, Glendale, AZ 85301 ",85301,-11718.171875,108281.828125,120000,https://www.zillow.com/homedetails/6629-N-54th-Dr-Glendale-AZ-85301/7722242_zpid/
7515622,21987654,"6024 W Augusta Ave, Glendale, AZ 85301 ",85301,-11736.546875,78163.453125,89900,https://www.zillow.com/homedetails/6024-W-Augusta-Ave-Glendale-AZ-85301/7705377_zpid/
396491,22382860,"8213 N 34th Ave, Phoenix, AZ 85051 ",85051,-11844.390625,60155.609375,72000,https://www.zillow.com/homedetails/8213-N-34th-Ave-Phoenix-AZ-85051/7751768_zpid/
1517947,20854860,"129 W Mohave St, Wickenburg, AZ 85390 ",85390,-12079.9296875,107920.0703125,120000,http://www.zillow.com/homedetails/129-W-Mohave-St-Wickenburg-AZ-85390/8315407_zpid/
8956561,22066482,"13033 N 111th Ave, Sun City, AZ 85351 ",85351,-12304.3203125,75695.6796875,88000,https://www.zillow.com/homedetails/13033-N-111th-Ave-Sun-City-AZ-85351/7918615_zpid/
7487144,22096130,"5833 S 42nd Pl, Phoenix, AZ 85040 ",85040,-12318.0625,93681.9375,106000,https://www.zillow.com/homedetails/5833-S-42nd-Pl-Phoenix-AZ-85040/7550688_zpid/
8977546,22378489,"17200 W Bell Rd LOT 280, Surprise, AZ 85374 ",85374,-12784.796875,86215.203125,99000,https://www.zillow.com/homedetails/17200-W-Bell-Rd-LOT-280-Surprise-AZ-85374/8317459_zpid/
397185,22382992,"8428 N 34th Ave, Phoenix, AZ 85051 ",85051,-13276.29296875,58723.70703125,72000,https://www.zillow.com/homedetails/8428-N-34th-Ave-Phoenix-AZ-85051/7751636_zpid/
