property_id,transaction_id,address,zipcode,good_sell_prob,list,url,lat,long,date_listed,transaction_date,price,discount,good_sell,outcome,probability_bin
210159,22244762,"3720 E Fillmore St, Phoenix, AZ 85008 ",85008,0.5098006129264832,75000,https://www.zillow.com/homedetails/3720-E-Fillmore-St-Phoenix-AZ-85008/7544460_zpid/,33.454,-112.001,2017-07-03,2017-07-03,66000.0,0.12,False,bad_sell,"(0.5, 0.51]"
8046996,22422845,"1425 S 10th Ave, Phoenix, AZ 85007 ",85007,0.5098006129264832,69000,https://www.zillow.com/homedetails/1425-S-10th-Ave-Phoenix-AZ-85007/7500613_zpid/,33.434,-112.086,2017-07-10,2017-07-10,65000.0,0.05797101449275366,False,bad_sell,"(0.5, 0.51]"
7444805,22199318,"8817 N 12th Pl, Phoenix, AZ 85020 ",85020,0.5054327249526978,87500,https://www.zillow.com/homedetails/8817-N-12th-Pl-Phoenix-AZ-85020/2142287555_zpid/,33.5651,-112.055,2017-04-27,2017-04-27,,,,no_sell,"(0.5, 0.51]"
8984289,22463223,"3802 W Grant St, Phoenix, AZ 85009 ",85009,0.5054327249526978,59900,https://www.zillow.com/homedetails/3802-W-Grant-St-Phoenix-AZ-85009/7506190_zpid/,33.4417,-112.141,2017-06-05,2017-06-05,60000.0,-0.0016694490818029983,True,good_sell,"(0.5, 0.51]"
345471,22114111,"2841 W Pima St, Phoenix, AZ 85009 ",85009,0.5054327249526978,56500,https://www.zillow.com/homedetails/2841-W-Pima-St-Phoenix-AZ-85009/7501053_zpid/,33.433,-112.121,2017-06-02,2017-06-02,56500.0,0.0,True,good_sell,"(0.5, 0.51]"
345957,22215964,"2934 W Holly St, Phoenix, AZ 85009 ",85009,0.5054327249526978,75000,https://www.zillow.com/homedetails/2934-W-Holly-St-Phoenix-AZ-85009/7510765_zpid/,33.4707,-112.123,2017-05-22,2017-05-22,,,,no_sell,"(0.5, 0.51]"
36021,22092805,"4003 S 44th St, Phoenix, AZ 85040 ",85040,0.5054327249526978,67800,https://www.zillow.com/homedetails/4003-S-44th-St-Phoenix-AZ-85040/7557236_zpid/,33.4103,-111.986,2017-06-14,2017-06-14,,,,no_sell,"(0.5, 0.51]"
37153,13637947,"4517 E Riverside St, Phoenix, AZ 85040 ",85040,0.5054327249526978,64900,https://www.zillow.com/homedetails/4517-E-Riverside-St-Phoenix-AZ-85040/7556983_zpid/,33.4089,-111.983,2017-04-18,2017-04-18,,,,no_sell,"(0.5, 0.51]"
8799154,22037371,"5825 S 36th Dr, Phoenix, AZ 85041 ",85041,0.5054327249526978,70000,https://www.zillow.com/homedetails/5825-S-36th-Dr-Phoenix-AZ-85041/7502848_zpid/,33.3929,-112.138,2017-06-16,2017-06-16,,,,no_sell,"(0.5, 0.51]"
382618,22380511,"3212 W Royal Palm Rd, Phoenix, AZ 85051 ",85051,0.5043688416481018,69900,https://www.zillow.com/homedetails/3212-W-Royal-Palm-Rd-Phoenix-AZ-85051/7751887_zpid/,33.5554,-112.129,2017-07-19,2017-07-19,,,,no_sell,"(0.5, 0.51]"
8977705,22384581,"3821 W Fillmore St, Phoenix, AZ 85009 ",85009,0.5043688416481018,89000,https://www.zillow.com/homedetails/3821-W-Fillmore-St-Phoenix-AZ-85009/7505655_zpid/,33.455,-112.142,2017-07-26,2017-07-26,89000.0,0.0,True,good_sell,"(0.5, 0.51]"
351961,22316000,"816 S 31st Ave, Phoenix, AZ 85009 ",85009,0.5043688416481018,144900,https://www.zillow.com/homedetails/816-S-31st-Ave-Phoenix-AZ-85009/68533253_zpid/,33.4398,-112.126,2017-07-14,2017-07-14,,,,no_sell,"(0.5, 0.51]"
8983020,22450071,"6756 N 43rd Ave, Glendale, AZ 85301 ",85301,0.5043688416481018,94900,https://www.zillow.com/homedetails/6756-N-43rd-Ave-Glendale-AZ-85301/7723185_zpid/,33.536,-112.152,2017-07-21,2017-07-21,,,,no_sell,"(0.5, 0.51]"
501251,22304516,"7745 W Granada Rd, Phoenix, AZ 85035 ",85035,0.5043688416481018,162000,https://www.zillow.com/homedetails/7745-W-Granada-Rd-Phoenix-AZ-85035/95098639_zpid/,33.4675,-112.226,2017-07-11,2017-07-11,,,,no_sell,"(0.5, 0.51]"
351442,22405468,"6606 W Hayes St, Phoenix, AZ 85043 ",85043,0.5043688416481018,160221,https://www.zillow.com/homedetails/6606-W-Hayes-St-Phoenix-AZ-85043/67788357_zpid/,33.4548,-112.202,2017-07-27,2017-07-27,160221.0,0.0,True,good_sell,"(0.5, 0.51]"
193727,22434650,"251 W Buist Ave, Phoenix, AZ 85041 ",85041,0.5043688416481018,145000,https://www.zillow.com/homedetails/251-W-Buist-Ave-Phoenix-AZ-85041/8132958_zpid/,33.3585,-112.079,2017-07-29,2017-07-29,,,,no_sell,"(0.5, 0.51]"
498144,22543126,"6853 W Vernon Ave, Phoenix, AZ 85035 ",85035,0.5043688416481018,150000,https://www.zillow.com/homedetails/6853-W-Vernon-Ave-Phoenix-AZ-85035/7475737_zpid/,33.4741,-112.208,2017-08-21,2017-08-21,150000.0,0.0,True,good_sell,"(0.5, 0.51]"
