,test-mae-mean,alpha,colsample_bytree,gamma,max_delta_step,max_depth,min_child_weight,subsample
0,193157.49479166666,0.8043643813768842,0.8609764471688753,0.2275677738994164,3.165663024094056,5.756394194645433,19.95061003831273,0.5372076038756204
1,192858.453125,9.203778361902147,0.13285454916293565,0.08865237438307472,4.904904457992426,14.886726836368352,1.3119667615461024,0.6523296846640949
2,27857.927083333332,0.2082503541460734,0.2632600769188274,9.986369268602083,0.62666064228038,5.649088797554254,19.934027009976592,0.6059873611138029
3,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
4,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
5,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
6,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
7,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
8,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
9,193457.72916666666,9.99437912773472,0.26467482205195547,6.417811142881344,2.8567339088646717,9.996819662914094,6.3381577144228505,0.7964743895201556
